trait,drop_count,I2_LL,Ip_LL,Ir_LL,Ipr_LL,I2_I2,Ip_Ip,Ir_r,Ir_II,Ipr_r,Ipr_II
arthrosis,0,49.11580380081286,48.99171804089995,49.46514265154104,49.426626499739335,0.5007366447930488,1.381673008083295,3.821092972759339,100.0,4.675233051678811,4990.891142290432
arthrosis,1,50.54544232610854,50.19796258125983,50.95193780760199,50.76842588736612,0.6015848282870868,1.8376289008552085,3.164697114447564,19.8892878356587,4.544053702816686,4997.784450234638
arthrosis,2,51.62118054178727,51.147295291536444,52.021953635121015,51.76759829361144,0.669396741174185,2.305129414199171,2.9459783228839656,12.32471152118496,4.444546022164996,5004.696826282806
arthrosis,5,54.34742932909878,53.662409724900805,54.622815187059565,54.35145753844508,0.8932572761616859,4.133643395250116,2.745044277491479,8.22004469123256,4.239140879851716,5027.438732170552
asthma,0,39.24416723304836,39.11095049298872,39.96996448743897,39.85761483630828,0.0486310965730943,0.081435811734765,5.462345123290991,100.0,6.604944283796478,2464.128068004087
asthma,1,40.07650402129792,39.936255728247744,40.58374630340812,40.51824134587822,0.0599963734850775,0.1074728654252466,4.747515154574273,29.01664965581592,6.451542989839783,2467.334247922009
asthma,2,40.07650402129792,39.936255728247744,40.58374630340812,40.51824134587822,0.0599963734850775,0.1074728654252466,4.747515154574273,29.01664965581592,6.451542989839783,2467.334247922009
asthma,5,39.50149588224362,39.23110309685882,40.127083104642175,39.94327329146384,0.0777539849612912,0.1391337905537902,4.524017643807318,21.50871308522489,6.26285713717802,2574.226939865316
bc,0,76.50928876345233,77.97737846041515,78.9304173823129,79.1324694860385,0.0258639774228569,0.0472407089198176,0.2602209428502593,0.0008645309034788,0.1298606221998876,0.001124348038681
bc,1,79.39498471967077,80.25716407815203,80.59320338600591,80.6853349704365,0.0317153516622002,0.0652381974907654,0.5104976914528871,0.0016775794313778,0.7512477108290108,0.0051684526967562
bc,2,81.28122873388334,81.89134280265687,81.88154868436051,81.99602775975087,0.0386377402696781,0.0809019490178584,1.0846422162690046,0.0060087207333881,1.3240253487241438,0.0202637201592862
bc,5,84.63156768543271,85.2735177500197,85.3154642972205,85.33007702947157,0.047485662338596,0.1243102202526779,1.076147922560452,0.0079179504217656,1.5799183832750876,0.0507973487036453
bmi,0,445.2181360808487,456.6079558826136,448.8319501971516,456.60889708926,0.8147702372115841,3.7598532848966144,1.602365684251072,0.2856796182891816,2.020610417811257,4.033452011791616
bmi,1,451.71898079120274,457.0119267293882,451.7594893871447,457.40502539939695,1.1235332706524888,3.986446476768998,1.959204075847805,1.0043782866344082,2.486198534988146,21.228289606511375
bmi,2,456.644248576136,459.7639841170387,456.6521159840538,460.9442636790892,1.152965749775273,4.244553688445157,1.9842955494765189,1.09781060200349,2.8845876448499226,89.84556573132382
bmi,5,472.6253147805804,470.7463108421515,472.70022898326897,476.0728664355267,1.3012341986255913,5.12181429746122,2.06655273635769,1.5293854010548655,3.6395933933899687,1380.23982170771
cad,0,23.347725754165037,23.96651368557481,24.14359208823002,24.232391925227983,0.0437046195205856,0.1622667329301374,0.918718334752772,0.0066887263383765,0.7945396767450179,0.0138658523284059
cad,1,25.698975116538055,26.555282568274546,26.713363810407376,26.614835527704365,0.0506626030354131,0.2942396341305327,1.228492413807914,0.0160991851570796,1.5454036164460243,0.1168142857365106
cad,2,26.06995276359492,26.96711934620626,26.901780844152803,27.04192333430452,0.0669999099120973,0.45586672253032,1.4189269812587533,0.0296074246632256,2.4708089414660126,1.229042955141044
cad,5,27.140504369849108,28.939093811135592,28.853216910518416,28.94678920998533,0.068047551037236,0.7499785253626594,1.1924800984270871,0.0242636456677156,2.137138931745003,0.997917569668304
