Trait,n_variants,I2_ud,I2_std,Ip_ud,Ip_std,ll_I2_ud,ll_I2_std,ll_Ip_ud,ll_Ip_std,ll_neut
arthrosis,133,-0.7175781249999988,-0.871484374999999,-0.3526611328124937,-0.6166992187499944,33.76375013819472,33.55581570495473,33.05560617341333,32.8875268412871,29.003280448329715
asthma,98,-1.5521484374999996,-1.7234374999999997,-1.643554687499997,-1.8185302734374973,23.135591622503252,23.207733670580524,22.37283932957833,22.355405268697165,21.24970328756363
bc,204,-1.7597656249999998,-1.8976562499999998,-1.5771972656249966,-1.7548828124999973,56.0711660452839,55.74177916751266,55.97051528401565,55.884812622445544,50.03941651097472
bmi,1078,-0.3171874999999985,-0.5100585937499985,0.08378906250000731,-0.18339843749999332,274.5712776911194,270.89248857199124,276.519576293068,274.8555433914639,231.8649083289514
cad,59,-1.4874999999999996,-1.6092773437499996,-1.0771728515624954,-1.3283203124999963,19.534034809220422,19.372709297684626,19.560040985512405,19.442501352763426,15.275615381871173
dbp,584,-0.3366210937499985,-0.5341796874999987,-0.1383544921874932,-0.37316894531249384,155.65640262521103,154.9955838013936,152.0437212887963,151.44748148326988,134.86982791983257
diverticulitis,122,-1.3083007812499994,-1.3578124999999992,-1.1305664062499956,-1.228198242187496,30.825153038223206,31.42437622162807,30.4106155432379,30.78360489712852,27.398381273000208
fvc,957,-0.13896484374999835,-0.2527343749999984,0.13652343750000742,-0.05624999999999303,257.196337694053,259.2413428085036,253.06613632108142,253.61364204439468,213.4580403307947
gallstones,87,-1.7705078124999998,-1.8326171874999992,-1.7845458984374971,-1.9062011718749976,20.488365972498762,20.637856514989682,19.798985912793466,19.88163788787135,18.30776127907458
glaucoma,65,-2.1228515625,-2.3449218750000007,-2.702709960937499,-2.857910156249999,14.272728063206289,14.337319731998281,13.991364630708555,13.985049874398054,13.888239863881937
grip_strength,414,0.258398437500002,0.08671875000000186,0.5712158203125084,0.3422607421875079,102.73190038174236,102.69455135849833,101.50188879512292,101.62156625320311,88.9199253110879
hdl,788,-1.0251708984374988,-1.1933593749999991,-0.4426757812499939,-0.6506103515624944,273.02880413568096,268.3479012696864,286.0173185893743,285.1848470203983,226.81512263102485
height,3260,-0.6151367187499988,-0.6702148437499988,-0.09594726562499312,-0.30168457031249357,1278.6681098747267,1281.588017138991,1311.7943809248147,1306.421385321007,1005.005464597347
hypothyroidism,277,-2.3940429687500013,-2.5256835937500015,-3.1377685546875007,-3.2356201171875005,57.88322302469577,57.97488754865036,57.29027608227308,57.289549433167075,57.12189551879919
ibd,199,-2.509570312500001,-2.6077148437500015,-2.84443359375,-2.9566406250000004,39.477480618155674,39.70589482141258,38.27554339922693,38.32184843911107,37.51924493750837
ldl,583,-1.6486328124999998,-2.02236328125,-0.8278564453124948,-1.0213623046874953,184.50254068709586,180.36667326540174,203.4393807276091,203.3378208914989,169.66036346922303
malignant_neoplasms,61,-1.0605468749999991,-1.1502929687499992,-0.890112304687495,-1.0022460937499953,19.390262015591194,19.808924326862172,18.7757656699154,19.100745830920047,15.236597358372531
pulse_rate,606,-0.6932617187499988,-0.836425781249999,-0.46501464843749396,-0.6568359374999945,173.8573498649066,173.84258713653094,172.61058578107094,172.4227300420939,146.0283631964291
rbc,997,-0.6567382812499988,-0.9407226562499992,-0.41770019531249386,-0.6209472656249944,296.0856345617969,290.5022501176238,301.277585497871,300.22987148674997,258.16114664975004
sbp,928,-0.3015624999999985,-0.4958984374999987,-0.03669433593749298,-0.2745117187499935,271.33997087137345,269.29217315417236,267.3776314671646,265.91531251368565,221.9621168953087
scz,205,-1.2458984374999995,-1.4512695312499995,-1.0038574218749954,-1.2797607421874957,39.196954663574544,39.208487346554854,38.05672000433433,37.92288796689623,34.9765482691135
t2d,247,-2.4117187500000012,-2.5615234375000018,-2.5816406249999995,-2.7289306640624993,42.515433734500114,42.44676557913988,42.26431624309875,42.25391905059882,41.817707647732625
triglycerides,625,-0.9886718749999992,-1.4171874999999994,-0.5225097656249942,-0.7577636718749948,187.9801342187857,183.2908976004451,201.15974197041658,199.6155242792794,163.89999295692922
urate,614,-1.062304687499999,-1.7101562499999996,-0.5227294921874941,-0.8234619140624948,170.9083050311482,162.13766829743284,180.8599268268839,178.30401612954617,156.76585210055427
uterine_fibroids,73,-1.7502929687499997,-1.7619140624999998,-1.767626953124997,-1.8850341796874972,18.211411153052538,18.36377933852414,16.97571610713419,17.02726333782712,14.848136288457944
varicose_veins,175,-1.6898437499999996,-1.8390624999999994,-1.5845947265624964,-1.8021972656249972,45.139277693710895,44.96526112593044,45.550180758727905,45.40058693306925,43.27114317253442
wbc,761,-0.5030273437499987,-0.7188476562499988,-0.33925781249999365,-0.5645507812499941,220.95288354317555,218.20418926106356,219.7494327985036,218.4633605546917,193.85794215355222
