Trait,n_variants,I2_ud,I2_std,Ip_ud,Ip_std,ll_I2_ud,ll_I2_std,ll_Ip_ud,ll_Ip_std,ll_neut
arthrosis,133,-0.30039062499999847,-0.5773437499999987,0.14040527343750742,-0.20383300781249336,49.11580380081286,48.58478356152403,48.99171804089995,48.71958677655991,42.85845283890451
asthma,98,-1.3130859374999992,-1.4816406249999994,-1.0891845703124956,-1.303124999999996,39.24416723304836,39.11039206069043,39.110950492988714,39.01037163016459,36.144630931226345
bc,204,-1.5873046874999996,-1.80322265625,-1.325683593749996,-1.5209472656249963,76.50928876345233,75.87188022920103,77.97737846041515,77.81610266852964,69.81534933231451
bmi,1078,-0.0889648437499983,-0.40029296874999853,0.5751708984375086,0.2153320312500076,445.2181360808487,431.6288663152657,456.60795588261357,450.6966722582124,359.4816834756452
cad,59,-1.3594726562499995,-1.5403320312499997,-0.7897705078124948,-1.0858886718749954,23.347725754165033,23.09131709161014,23.96651368557481,23.772128918847535,18.434610273321386
dbp,584,-0.15302734374999835,-0.3523437499999985,0.2061035156250076,-0.06760253906249306,202.8171894682066,201.19259746211972,201.46933407141478,200.48832680619722,176.78449177201085
diverticulitis,122,-1.2150390624999996,-1.2634765624999993,-0.8709228515624949,-0.9685546874999952,36.65716773307748,37.20093780097372,36.81073910058767,37.33908664462564,33.10092639768312
fvc,957,0.01562500000000179,-0.1035156249999983,0.5104248046875082,0.27041015625000775,357.5033560193311,359.1007497652354,361.0867385043125,361.18876549651196,297.88357249546914
gallstones,87,-2.1362304687500004,-2.2603515625000004,-1.7201660156249972,-1.8353027343749972,32.88023096165315,33.03992613869847,33.29880823165858,33.46182070448069,31.116384288750336
glaucoma,65,-1.9309570312499997,-2.0843750000000005,-1.9116210937499973,-2.116479492187498,21.9319306146284,21.91210419088794,21.77628659372501,21.748105996268947,21.22357922948325
grip_strength,414,0.5092773437500021,0.2977539062500021,0.9843017578125095,0.6738281250000087,117.36307240644516,116.75561365479551,117.89923035125,117.78614990175916,102.3293578666188
hdl,788,-1.023464965820312,-1.0987304687499995,-0.05705566406249303,-0.3225585937499937,394.5701683118451,388.71064518362397,435.9952058497036,432.2630139196634,332.4920368338017
height,3260,-0.6078124999999986,-0.6667480468749987,0.2625732421875077,0.009667968750007128,1935.7051141651973,1946.1667960419618,2092.680624410553,2074.4686570136555,1539.5852830308486
hypothyroidism,277,-2.24296875,-2.4422851562500005,-2.273144531249998,-2.4443847656249984,78.35036575907336,78.31948509060202,78.37595903160947,78.33261308270224,77.18503194659931
ibd,199,-2.437011718750001,-2.465332031250001,-2.4281249999999988,-2.575048828124999,70.30947892427571,70.4974758596049,69.64795801860006,69.68684146553466,67.9747174380579
ldl,583,-1.6472656249999997,-2.0205078125,-0.5411132812499941,-0.7842773437499948,272.90091219982355,267.6732391910735,305.9449709369418,304.63418243528577,256.2003957126363
malignant_neoplasms,61,-0.9335937499999987,-1.0590820312499991,-0.6884033203124945,-0.8120361328124948,25.72683219494342,26.169127265243485,25.44559319148779,25.865374878535103,20.981083877833687
pulse_rate,606,-0.6079101562499988,-0.767871093749999,-0.2561279296874935,-0.467431640624994,224.71022160241841,223.8073625002339,226.9086977968283,226.42171988194536,191.58809237711398
rbc,997,-0.41909179687499865,-0.845605468749999,-0.05126953124999302,-0.3027099609374936,416.7029536325135,403.2955685379509,433.6686459508414,430.54793016988793,358.8129808374305
sbp,928,-0.0909179687499983,-0.2987304687499984,0.38935546875000804,0.0843017578125073,431.28807224974395,424.90759077793757,433.12876966164526,429.0413403870657,347.28010314583537
scz,205,-0.9929687499999992,-1.1829101562499993,-0.5449218749999942,-0.8618408203124949,50.802398230604815,50.753168469153024,50.436494468001385,50.34830885914962,46.08192788768627
t2d,247,-2.0218749999999996,-2.13564453125,-1.7909179687499972,-1.9830322265624976,64.74886281899924,64.61806046337527,65.63294235619125,65.54062364039274,63.737963036714326
triglycerides,625,-0.954589843749999,-1.3237304687499996,-0.17519531249999332,-0.466186523437494,285.95658444823266,275.51992557860484,312.44123346874045,308.4172833670459,248.53660424919755
urate,614,-1.0575195312499988,-1.7010742187499996,-0.07148437499999306,-0.46171874999999396,252.06420545124232,238.64354944054315,278.0835666667879,271.6544904581388,231.77512901508948
uterine_fibroids,73,-1.68544921875,-1.7451171874999996,-1.4297607421874963,-1.5514160156249965,21.609590417814925,21.76688753575511,20.737545883289616,20.836354810789015,17.86666541827646
varicose_veins,175,-1.5112304687499996,-1.7149414062499997,-1.1811767578124956,-1.4325439453124957,56.85113599591167,56.308280020701325,58.01903573819491,57.70918814963345,53.33661434609476
wbc,761,-0.4270507812499986,-0.6285156249999987,-0.09719238281249312,-0.3531005859374937,281.28166987675434,276.7636410280788,284.28313197541956,282.3069637935353,251.11894073701325
