trait,sample,ll_neut,ll_dir,I1_dir,ll_stab,I2_stab,ll_plei,Ip_plei,ll_full,I1_full,I2_full
Atrial fibrillation,0,34.29060259363375,37.03286545575172,-0.00018359375,35.83599987892419,0.0070113360195105424,36.19899058673064,0.009935560742330877,38.23262664821142,-0.0001621746327728033,0.007484467888073256
Basal cell carcinoma,0,24.36805365989121,25.725198296649182,-9.66796875e-05,30.39296558285807,0.009694455858015566,29.32348687598285,0.013640002600664091,31.280915131390355,-5.513888315181247e-05,0.009421892077215784
Cancer of prostate,0,45.88827209245274,46.170210674959854,-5.6640624999999996e-05,51.88625296713713,0.015012908709529699,51.12618091258116,0.02401828490860402,52.050570164243524,-2.3521003465702965e-05,0.01548243721207592
Coronary atherosclerosis,0,34.98484304941173,35.91662778608402,-0.00013769531250000001,41.04129162335561,0.041445794446481395,41.74172853134467,0.10657043015663326,41.595181929131286,-8.453356923951108e-05,0.036365816948609936
Diverticulosis and diverticulitis,0,23.680603024879836,25.048328223254064,0.0003515625,25.63468814065714,0.046723056990437425,25.85849981661409,0.11477922320967782,26.329822548605936,0.00018497207086329602,0.04598023591668025
Glaucoma,0,33.90181687282776,34.02501292924843,7.031250000000001e-05,35.503826140764666,0.017119697783676276,35.510468009217384,0.02509487061870582,35.58111634523964,5.254675596209779e-05,0.01737185505765171
Gout,0,12.196543184229856,12.241070427240007,-2.1484375e-05,12.600689770739727,0.0012493372456577141,12.35024935341618,0.00046550025355516784,12.645358844404413,-1.691630043127345e-05,0.001356503393861887
Hyperlipidemia,0,32.796261079423985,32.79567260745327,3.90625e-06,38.92865708676675,0.011917135434683418,38.18396954207639,0.018543361998021337,38.93139046947067,2.6642460359198592e-06,0.011895650925764162
Hypertension,0,25.7904352580062,26.926968624089596,0.00042968750000000006,28.087357548261817,0.0805117701047556,28.02480911965246,0.18140221184386365,28.799223983488325,0.0002394625667709042,0.084783550836286
Hypothyroidism,0,25.276700555711574,25.860353414852597,-9.66796875e-05,26.013754325762076,0.004503141823517005,25.49352013761609,0.001136555951099943,26.454937714902325,-7.012260284170675e-05,0.004204893850774629
Type 2 diabetes,0,58.28449912316487,59.20607008182316,0.00015039062500000003,61.81616127965097,0.029374382786821078,61.96625104995254,0.036830781788202115,62.32950327333916,7.718169430154375e-05,0.0332251700204151
