trait,Ip_ci_lower,Ip_ci,Ip_ci_upper,I2_ci_lower,I2_ci,I2_ci_upper,I1_ci_lower,I1_ci,I1_ci_upper
arthrosis,0.47473598759100877,1.4273846288110827,4.291705141008653,0.2029395518967703,0.3893426954880606,0.7469600337297344,-0.0006464530830231689,-0.00014062500000000002,0.0003652030830231689
asthma,0.01865998823715722,0.08851096389896303,0.4198389961856183,0.017129573995061757,0.05002864610575241,0.14611369972750987,-0.00036703058333881114,-4.6875e-05,0.00027328058333881116
bc,0.029993651689454007,0.08049366811645665,0.216020065643438,0.019164103942096004,0.03695521908161136,0.07126282666261334,-0.0003994527815922767,-0.00022851562499999999,-5.757846840772325e-05
bmi,6.421218636944294,8.971826353449966,12.535575046976497,0.6786174811699119,0.8201929191264917,0.9913042962369568,-0.00041167263824156374,-0.00020507812500000002,1.5163882415637254e-06
cad,0.06653013318827525,0.2580153284813418,1.0006279341564108,0.025113717373363348,0.047304487726669876,0.08910327873069376,-0.0003823515443899226,-0.00011328124999999999,0.0001557890443899226
dbp,3.942963247998695,6.190818145788102,9.720158901727585,1.0875293505454562,1.3543729810000542,1.6866911874543495,-2.489732349813845e-05,0.00028515625000000004,0.0005952098234981386
diverticulitis,0.10204014226214471,0.33043937866555123,1.0700708618414323,0.05079098124514721,0.09650955486235524,0.1833808670632813,-0.00027764792292998293,2.734375e-05,0.000332335422929983
fvc,5.992350279798834,8.172932830812535,11.147017103148345,1.162464416898066,1.65184293429896,2.347241807946593,-0.0004460386462570536,-0.00016015624999999998,0.00012572614625705366
gallstones,0.0039632234052299434,0.0262462573470724,0.1738145833060311,0.0026356843052182653,0.008171554611584513,0.025334712749134982,-0.0003884577930535043,-0.00013671875,0.00011502029305350428
glaucoma,0.002831355390979913,0.02635714935209113,0.24535928064050183,0.0048607529730807005,0.018513156342904746,0.07051108329819333,-0.0005119664304236445,-0.00020996093750000002,9.204455542364447e-05
grip_strength,10.332957250128823,18.341199482904084,32.55598473200758,3.357710238137411,4.477898226739555,5.971799561882462,0.0005557660543303353,0.0013671875,0.0021786089456696644
hdl,1.0235356445583232,1.452640683584992,2.061642862000036,0.08422777825731269,0.09437060319283931,0.10573484106126382,-1.636887087046014e-05,0.0001171875,0.00025074387087046016
height,2.1846235520864443,2.5492997209581056,2.9748507751233455,0.23477074968891382,0.24626701707626386,0.25832623433712487,-5.555986593532239e-05,3.125e-05,0.00011805986593532239
hypothyroidism,0.0036190847005110145,0.016192047076130762,0.0724443913895175,0.004197800245210331,0.01197623509020361,0.03416794477047292,-0.0003622832428089068,-0.00019335937500000004,-2.4435507191093275e-05
ibd,0.002399378656660056,0.010958373376665746,0.050048768554762715,0.003159534000710746,0.00707786612299248,0.01585556251134987,-0.00012105626027062466,2.5390625000000002e-05,0.00017183751027062465
ldl,0.31884223592231764,0.5108299677965294,0.8184212334484451,0.016502014153752725,0.02265051729879919,0.031089897822353375,8.945296013600923e-05,0.00022656249999999998,0.00036367203986399074
malignant_neoplasms,0.04354374565926226,0.20862211865981098,0.9995278939640411,0.047721154822766114,0.1114976271518211,0.26050754443511015,-0.0010505598462955121,-0.0006093750000000001,-0.00016819015370448813
pulse_rate,1.1530364000627629,1.7638431423747862,2.6982171861471262,0.3490320564081503,0.44708554124166483,0.5726851660685593,-0.0003217848174821165,-0.000109375,0.0001030348174821165
rbc,1.2766164110204758,1.7838863711100648,2.492722604504569,0.3149332688496591,0.4116714804729627,0.538124817533022,-0.0002613173410186783,-8.7890625e-05,8.553609101867831e-05
sbp,3.5056737234329125,4.9277806423378845,6.926777553964991,0.928318195697042,1.164167912964584,1.459937913377511,1.8418821870329333e-05,0.000232421875,0.0004464249281296706
scz,0.30869186356411593,0.7753138444708266,1.9472866906428226,0.11245735149317995,0.1857570530211574,0.3068334998908248,-0.000387220302657022,-0.00014794921875000002,9.132186515702198e-05
t2d,0.057435350820809694,0.1351103056833632,0.31783203969284113,0.02285928355044343,0.037914784662624726,0.06288608708321995,-9.672602050388109e-05,9.08203125e-05,0.0002783666455038811
triglycerides,0.9979004025577715,1.5474763606698203,2.3997215360310236,0.08552195794104869,0.11207576676024471,0.14687429751731362,-0.00014157426409969095,1.5625e-05,0.00017282426409969098
urate,1.1919437815745813,1.9003474297588612,3.0297740628509207,0.06720448257939234,0.08820796696775343,0.11577569141154506,-0.00012387667127885643,6.640625e-05,0.00025668917127885644
uterine_fibroids,0.009460589051220058,0.0617899677793687,0.4035689635713587,0.010356165643125949,0.025540333418533984,0.0629874659800235,-0.00040577107776488657,-0.0001318359375,0.00014209920276488656
varicose_veins,0.04601011651521332,0.1278394928417106,0.35520309809739226,0.027441390458746908,0.0535560568322444,0.1045228093572912,-0.0002327376487223126,-2.5390625000000002e-05,0.00018195639872231262
wbc,1.2909357197394409,1.9872027866175996,3.0590019741167316,0.441280164996158,0.6191514224252394,0.8687190458572613,-0.0001937907877609398,4.6875e-05,0.00028754078776093984
