trait,sample,ll_neut,ll_dir,I1_dir,ll_stab,I2_stab,ll_plei,Ip_plei,ll_full,I1_full,I2_full
bmi,0,275.3606164213203,275.6191602452532,-0.00010546875000000001,330.48835456019657,0.6620616583078893,336.84750890783556,2.0818864148469918,330.7109146031276,-8.045946281573398e-05,0.6624861348895658
bmi,1,278.9285983977104,279.00617475355244,-6.25e-05,335.3159194086981,0.7370220289688358,342.0938150877293,2.184762822241437,335.3980031515094,-3.6286906196258275e-05,0.7385830956383769
bmi,2,270.67535936153325,271.17300440985935,-0.00014648437500000002,324.89056591124506,0.661169026241484,331.3605046696949,2.0818864148469918,325.247081749697,-8.433083266604611e-05,0.6618560571113411
bmi,3,280.2691189965376,280.7038758241199,-0.00013671875,337.37096876044814,0.7348707093284145,343.79367158602486,2.1678795881271133,337.6833419702368,-8.742640808206707e-05,0.7319414901374792
bmi,4,280.93662784587025,281.1208252880307,-9.1796875e-05,336.99052991491425,0.6648962847576635,343.4148610191251,2.104123801517237,337.13292582700007,-5.3252164050548575e-05,0.7326636818245402
bmi,5,280.89031799155407,281.1481450181215,-0.00010546875000000001,339.43738484763117,0.7380170687704498,346.2666126217819,2.2581862861396576,339.62789362829443,-5.937040947481158e-05,0.739248029431559
bmi,6,277.6648081607507,278.0096550460798,-0.00012109375,334.72075283357486,0.7337149086167702,341.1586579790792,2.11372667469701,334.9852584473418,-8.129888044876631e-05,0.7287954806736356
bmi,7,275.1939233815048,275.40073001774624,-9.765625e-05,330.57244521642514,0.6645973324009736,336.9127257105843,2.0920933291663055,330.7357571865824,-5.812491882476633e-05,0.7303260009060988
bmi,8,277.41353616733005,277.5977053753883,-9.1796875e-05,334.92231034243224,0.7386811748511881,341.73359133892626,2.240735656096651,335.07077910268265,-5.295296605449332e-05,0.7390943378362183
bmi,9,280.96912831306724,281.09162573559775,-7.421875000000001e-05,338.2073067536896,0.7376852396610922,345.1383921784766,2.241113579896042,338.3164976928577,-4.1437548592535836e-05,0.7389183468541518
bmi,10,279.9624787260328,280.2435514623073,-0.000109375,339.3936528846056,0.7396784546349531,346.31154330256226,2.298142493724672,339.58336898840224,-5.951806228042971e-05,0.7396730475857171
bmi,11,278.86650122671705,279.04872841699495,-8.984375e-05,336.5684909154247,0.7376852396610922,343.15963149445065,2.177773432176971,336.7019745584081,-4.943546356689016e-05,0.7388599737305983
bmi,12,276.8726325215042,276.93556994565307,-5.6640624999999996e-05,332.24041927485746,0.7330552674225311,339.00364602074103,2.144245039545549,332.31286972571803,-3.591993291382312e-05,0.7288934540968044
bmi,13,281.21360713363356,281.42745267173007,-9.375e-05,338.5086780634706,0.7335499426909959,344.89615309150105,2.1460538977838723,338.67409717675446,-5.738086146137304e-05,0.7324035492251377
bmi,14,277.7224185580182,277.99370240910474,-0.000109375,334.0982230551897,0.7347054835364002,340.4534085204232,2.113013850261039,334.3038330094793,-6.409387181821086e-05,0.7322326785334443
bmi,15,279.02578039050144,279.2997179612017,-0.000109375,337.6386344753794,0.7386811748511881,344.20053686073385,2.216680623346727,337.8406960924507,-6.011098269971442e-05,0.7389475158898667
bmi,16,282.35669295457535,282.8096160570793,-0.00013867187500000001,341.02850546882013,0.7390134519568853,347.8649641205463,2.2826917311263624,341.37046301730476,-8.742488738829327e-05,0.7394421863911081
bmi,17,278.53526574764516,278.83499864962613,-0.00011328124999999999,334.90227989012914,0.7356973958128972,341.57872383572766,2.174470477213362,335.14149018442754,-8.07593690100085e-05,0.7350020378418707
bmi,18,276.3422441383094,276.36056179412225,-3.90625e-05,329.7146796980763,0.661169026241484,336.06348385035284,2.051563486500745,329.2170894927069,-3.37380258130423e-05,0.5488118530202711
bmi,19,278.32497530261855,278.5116840314456,-8.984375e-05,335.61669420295874,0.7371877757220547,342.4557323563927,2.23281396142606,335.76481093735316,-5.3181944211591134e-05,0.7365287234832893
dbp,0,70.6153259022303,75.34906789377237,0.00078125,86.75042458927152,0.5391855953400365,85.18477819431985,1.047470019609643,90.11383603155565,0.0004887714430254245,0.5111077820877868
dbp,1,73.49596040086686,78.71032750630248,0.0008515625000000001,89.7154664122306,0.536524852401539,88.30921901033075,1.0859640029392739,93.42943511273108,0.0005201801743788475,0.5110610442905399
dbp,2,69.77306097787107,74.85828014052478,0.0008437500000000001,85.26501902331235,0.4831500527039927,83.61423160379894,0.970099780344236,88.85377920114045,0.0005315619894189457,0.49320929533687186
dbp,3,70.80263164765825,75.59566448966928,0.00079296875,87.73999290417417,0.5670394586471776,86.27556386245936,1.127012442876124,91.11615862870796,0.0004821799484545588,0.5366168010008537
dbp,4,69.82847828739504,74.9964652005308,0.0008593750000000001,85.27187096437176,0.48751533509532097,83.69404683476861,0.9849364346719294,88.92664665581184,0.0005347436789925377,0.49432664834263235
dbp,5,72.29521410461471,77.12005637284065,0.0007949218750000001,89.11084686368923,0.5385797247105737,87.69133140160409,1.1363642912273353,92.51962930165959,0.00048432747952437626,0.5418175891639404
dbp,6,70.18475718528047,74.79060723694764,0.00076953125,86.67138973926328,0.48949255840205236,85.05622127727221,1.044647397273311,89.93749688459654,0.0004858675893355721,0.511117971113945
dbp,7,70.73857599786068,75.5517857110748,0.0008046875000000001,86.95501409343368,0.5385797247105737,85.46906906163208,1.067083100971803,90.36640097278537,0.0004987196949759451,0.5110375088324338
dbp,8,72.8679717695636,77.74696509506222,0.0008125000000000001,89.84685519480374,0.5670394586471775,88.38318062641899,1.1308201920256484,93.29485289889793,0.00048172767165729715,0.5397653797305934
dbp,9,72.04833515976527,77.10265787163112,0.0008281250000000001,88.42514569439962,0.5450367436821058,87.02528567661984,1.1119092315288885,91.98290327894217,0.0004909832369079056,0.5221238750404903
