trait	fit_name	n_loci	n_replaced	stab_ll_gain	plei_ll_gain	dir_ll_gain	full_ll_gain	stab_aic_gain	plei_aic_gain	dir_aic_gain	full_aic_gain	plei_vs_stab_ll_gain
bmi	raw_all	791	791	12.831619448970116	22.210934292269258	1.5691986969897584	13.770408423114247	23.663238897940232	42.421868584538515	1.138397393979517	23.540816846228495	9.379314843299142
cad	raw_all	49	49	-inf	2.2841863613647995	1.9109338690020259	-inf	-inf	2.568372722729599	1.8218677380040518	-inf	inf
dbp	raw_all	400	400	0.058838340266021305	0.3545594871430069	1.8581087276957362	1.0887025070472873	-1.8823233194679574	-1.2908810257139862	1.7162174553914724	-1.8225949859054253	0.2957211468769856
hdl	raw_all	488	488	-0.0025869451021662826	0.14606498365392895	-0.0033321348789456806	-0.001128971149512381	-2.0051738902043326	-1.707870032692142	-2.0066642697578914	-4.002257942299025	0.14865192875609523
height	raw_all	2034	2034	7.602819957508018	13.483722598799204	0.6739300941062538	7.941268206325049	13.205639915016036	24.96744519759841	-0.6521398117874924	11.882536412650097	5.880902641291186
ldl	raw_all	390	390	2.424582111310116	2.026113691414082	1.258174269928105	3.245678622007432	2.8491642226202316	2.052227382828164	0.5163485398562102	2.491357244014864	-0.39846841989603377
rbc	raw_all	666	666	-0.0037298239782899145	0.23407820956089154	0.32451485907114375	0.32759978689477975	-2.00745964795658	-1.531843580878217	-1.3509702818577125	-3.3448004262104405	0.23780803353918145
sbp	raw_all	699	699	0.016023515866265825	5.279820116066219	0.5827478832879365	0.5864426277411212	-1.9679529682674683	8.559640232132438	-0.834504233424127	-2.8271147445177576	5.263796600199953
scz	raw_all	172	172	-inf	13.360060257484974	3.7527105254567203	-inf	-inf	24.72012051496995	5.505421050913441	-inf	inf
t2d	raw_all	208	208	-0.0007427227072724918	0.04691701465991116	1.2327041062454782	1.2335694274928244	-2.001485445414545	-1.9061659706801777	0.46540821249095643	-1.5328611450143512	0.04765973736718365
triglycerides	raw_all	417	417	0.5596332981682792	0.39428025042994364	1.4059983542639145	0.6951551183165634	-0.8807334036634415	-1.2114394991401127	0.811996708527829	-2.609689763366873	-0.1653530477383356
wbc	raw_all	557	557	-0.002654539225687813	0.7184106392769252	-0.004550773346608139	0.022584637957322684	-2.0053090784513756	-0.5631787214461497	-2.0091015466932163	-3.9548307240853546	0.721065178502613
