trait	fit_name	n_loci	n_replaced	plei_ll_gain	stab_ll_gain	dir_ll_gain	full_ll_gain	plei_aic_gain	stab_aic_gain	dir_aic_gain	full_aic_gain	trait_label
bmi	full_original		0	240.64148045847526	181.94895046708587	1.9477011821577435	189.833567230776	479.2829609169505	361.89790093417173	1.895402364315487	375.667134461552	BMI
cad	full_original		0	8.920095613543719	7.048999533897014	0.5646989460250502	7.410764905367142	15.840191227087438	12.097999067794028	-0.8706021079498996	10.821529810734283	CAD
dbp	full_original		0	98.44324569457638	89.6369039189538	1.3963680593387267	90.42594427049505	194.88649138915275	177.2738078379076	0.7927361186774533	176.8518885409901	DBP
hdl	full_original		0	146.44822523481832	73.62534347248629	1.8675156425783825	75.06814217945168	290.89645046963665	145.25068694497259	1.735031285156765	146.13628435890337	HDL
height	full_original		0	753.2873121478724	480.04416764393545	0.10722984955873471	479.12747571168165	1504.5746242957448	958.0883352878709	-1.7855403008825306	954.2549514233633	Height
ldl	full_original		0	70.34006134271522	18.89489016750315	7.205839545713786	23.856535651549393	138.68012268543043	35.7897803350063	12.411679091427573	43.713071303098786	LDL
rbc	full_original		0	130.80403773928447	94.55487518774657	0.40674054601595344	94.86115651040632	259.60807547856894	187.10975037549315	-1.1865189079680931	185.72231302081263	RBC
sbp	full_original		0	171.43823393691275	156.42515126755882	2.0857017745864823	157.88845212551712	340.8764678738255	310.85030253511763	2.1714035491729646	311.77690425103424	SBP
scz	full_original		0	22.98259939334065	21.341970126277914	0.8085284943052784	21.782097655419847	43.9651987866813	40.68394025255583	-0.3829430113894432	39.56419531083969	SCZ
t2d	full_original		0	11.292705827916592	5.44379506097647	0.6639137848607106	5.837630976945391	20.585411655833184	8.88759012195294	-0.6721724302785788	7.675261953890782	T2D
triglycerides	full_original		0	103.52386297025095	48.69866891248347	-0.015853284726688344	48.7104159256304	205.0477259405019	95.39733782496694	-2.0317065694533767	93.4208318512608	Triglycerides
wbc	full_original		0	73.06922090904482	58.247933601327134	0.07634899353075753	58.289647092602706	144.13844181808963	114.49586720265427	-1.847302012938485	112.57929418520541	WBC
bmi	matched_original_post	791.0	0	39.07334474071615	24.22970862081144	1.8226338932569768	25.721964749095832	76.1466894814323	46.45941724162287	1.6452677865139549	47.44392949819167	BMI
bmi	raw_all	791.0	791	22.210934292269258	12.831619448970116	1.5691986969897584	13.770408423114247	42.42186858453852	23.663238897940232	1.138397393979517	23.54081684622849	BMI
bmi	raw_z2	791.0	471	34.02896161993897	23.737537229545183	2.199750310072261	25.612543728688934	66.05792323987794	45.475074459090365	2.399500620144522	47.22508745737787	BMI
bmi	raw_z5	791.0	13	41.54370490112058	31.35415993568114	1.9904368105189287	32.9207358625917	81.08740980224115	60.70831987136228	1.9808736210378584	61.8414717251834	BMI
cad	matched_original_post	49.0	0	2.808125178133917	1.817313204049977	0.1966634900740977	1.9467189123101207	3.616250356267834	1.6346264080999546	-1.6066730198518044	-0.1065621753797572	CAD
cad	raw_all	49.0	49	2.2841863613647995	-inf	1.9109338690020257	-inf	2.568372722729599	-inf	1.821867738004052	-inf	CAD
cad	raw_z2	49.0	43	1.2376199764054725	0.1831902798558395	0.6342204980309063	0.7629143170943458	0.475239952810945	-1.6336194402883208	-0.7315590039381874	-2.4741713658113085	CAD
cad	raw_z5	49.0	35	1.585948992504047	0.2437000147735482	0.1443497149509092	0.377343806055002	1.1718979850080942	-1.5125999704529036	-1.7113005700981816	-3.245312387889996	CAD
dbp	matched_original_post	400.0	0	8.429268133275343	5.813913170418402	0.1659479407687172	5.9452830469879245	14.858536266550686	9.627826340836805	-1.6681041184625656	7.890566093975849	DBP
dbp	raw_all	400.0	400	0.3545594871430069	0.0588383402660213	1.858108727695736	1.088702507047287	-1.2908810257139862	-1.8823233194679567	1.7162174553914724	-1.822594985905425	DBP
dbp	raw_z2	400.0	344	8.9146829621709	6.116386271389615	1.1269215032635884	7.060591335720858	15.8293659243418	10.23277254277923	0.2538430065271768	10.121182671441716	DBP
dbp	raw_z5	400.0	40	10.204123570885656	7.576550648167398	0.0744641881221923	7.594648149781364	18.408247141771312	13.153101296334796	-1.8510716237556155	11.189296299562727	DBP
hdl	matched_original_post	488.0	0	0.8976845411331453	-0.0025869451021662	1.1116202162820343	1.1277435497949853	-0.2046309177337093	-2.005173890204333	0.2232404325640686	-1.7445129004100297	HDL
hdl	raw_all	488.0	488	0.1460649836539289	-0.0025869451021662	-0.0033321348789456	-0.0011289711495123	-1.707870032692142	-2.005173890204333	-2.006664269757892	-4.002257942299025	HDL
hdl	raw_z2	488.0	226	0.9638640783363428	-0.0025869451021662	0.0623767326105166	0.0645290811828545	-0.0722718433273144	-2.005173890204333	-1.8752465347789664	-3.870941837634291	HDL
hdl	raw_z5	488.0	26	1.850906432004536	0.0299977788756393	0.7712985879012138	0.7667688865360276	1.7018128640090708	-1.9400044422487213	-0.4574028241975725	-2.466462226927945	HDL
height	matched_original_post	2034.0	0	18.49261698691293	10.477403721542828	-0.014386323597364	10.496045473797835	34.98523397382587	18.954807443085656	-2.028772647194728	16.99209094759567	Height
height	raw_all	2034.0	2034	13.483722598799204	7.602819957508018	0.6739300941062538	7.941268206325049	24.96744519759841	13.205639915016036	-0.6521398117874924	11.882536412650095	Height
height	raw_z2	2034.0	1636	26.61685717222917	29.77123398216088	0.0039435108936913	29.8194881564408	51.23371434445835	57.54246796432176	-1.9921129782126168	55.6389763128816	Height
height	raw_z5	2034.0	277	40.04672766876274	42.16099261761747	0.1026366088068471	42.233759331263855	78.09345533752548	82.32198523523493	-1.7947267823863058	80.46751866252771	Height
ldl	matched_original_post	390.0	0	0.1141143911427775	-0.0019324516376286	3.0500237263713075	3.1101923049144773	-1.771771217714445	-2.0038649032752573	4.100047452742615	2.2203846098289546	LDL
ldl	raw_all	390.0	390	2.026113691414082	2.424582111310116	1.258174269928105	3.245678622007432	2.052227382828164	2.849164222620232	0.5163485398562102	2.491357244014864	LDL
ldl	raw_z2	390.0	102	1.8671234133170744	-0.0019282374058207	3.420242085407409	3.6032134319683	1.7342468266341484	-2.0038564748116414	4.840484170814818	3.206426863936599	LDL
ldl	raw_z5	390.0	11	0.1155405108111722	0.3256693928479137	3.661787177284453	3.849707668592629	-1.7689189783776555	-1.3486612143041723	5.323574354568905	3.6994153371852576	LDL
rbc	matched_original_post	666.0	0	3.3709865588366483	1.070339034762526	0.1589244201172732	1.2487256919169454	4.741973117673297	0.1406780695250518	-1.6821511597654537	-1.5025486161661092	RBC
rbc	raw_all	666.0	666	0.2340782095608915	-0.0037298239782899	0.3245148590711437	0.3275997868947797	-1.531843580878217	-2.00745964795658	-1.3509702818577125	-3.3448004262104405	RBC
rbc	raw_z2	666.0	446	0.2374039346702829	-0.0036100480770642	0.3421029997055598	0.8935567824164536	-1.525192130659434	-2.0072200961541284	-1.3157940005888804	-2.2128864351670927	RBC
rbc	raw_z5	666.0	44	5.2642570087765534	2.9365380231199083	0.0591573410825958	3.0092290593455573	8.528514017553107	3.8730760462398166	-1.8816853178348083	2.0184581186911146	RBC
sbp	matched_original_post	699.0	0	21.80290857833836	14.47812271574395	1.4409838108580857	15.872241053602975	41.60581715667672	26.9562454314879	0.8819676217161714	27.74448210720596	SBP
sbp	raw_all	699.0	699	5.279820116066219	0.0160235158662658	0.5827478832879365	0.5864426277411212	8.559640232132438	-1.9679529682674683	-0.834504233424127	-2.8271147445177576	SBP
sbp	raw_z2	699.0	427	17.518111837564675	12.57677861303216	2.0915097622421968	14.130725282880974	33.03622367512935	23.15355722606432	2.183019524484393	24.261450565761947	SBP
sbp	raw_z5	699.0	16	25.79534540360873	20.64062876378261	0.8294600332046116	21.46214435999548	49.59069080721747	39.28125752756523	-0.3410799335907768	38.92428871999096	SBP
scz	matched_original_post	172.0	0	8.738858185707727	7.826890326379811	0.4968912241753997	8.172797744060873	15.477716371415454	13.653780652759622	-1.0062175516492005	12.345595488121743	SCZ
scz	raw_all	172.0	172	13.360060257484974	-inf	3.75271052545672	-inf	24.72012051496995	-inf	5.505421050913441	-inf	SCZ
scz	raw_z2	172.0	1	8.499439411423566	7.472704398409476	0.8255090154904536	8.057479728988255	14.998878822847132	12.945408796818953	-0.3489819690190927	12.11495945797651	SCZ
scz	raw_z5	172.0	0	8.738858185707727	7.826890326379811	0.4968912241753997	8.172797744060873	15.477716371415454	13.653780652759622	-1.0062175516492005	12.345595488121743	SCZ
t2d	matched_original_post	208.0	0	0.2754222312526906	-0.000753615234089	0.5961488446933316	0.5970365710352041	-1.4491555374946188	-2.001507230468178	-0.8077023106133367	-2.805926857929592	T2D
