trait	fit_name	n_loci	n_replaced	stab_ll_gain	plei_ll_gain	dir_ll_gain	full_ll_gain	stab_aic_gain	plei_aic_gain	dir_aic_gain	full_aic_gain	plei_vs_stab_ll_gain
bmi	matched_original_post	791	0	24.22970862081144	39.07334474071615	1.8226338932569772	25.721964749095832	46.45941724162287	76.1466894814323	1.6452677865139549	47.44392949819167	14.843636119904716
bmi	raw_all	791	791	12.831619448970116	22.210934292269258	1.5691986969897584	13.770408423114247	23.663238897940232	42.42186858453852	1.138397393979517	23.54081684622849	9.379314843299142
bmi	raw_z2	791	471	23.737537229545183	34.02896161993897	2.199750310072261	25.612543728688934	45.475074459090365	66.05792323987794	2.399500620144522	47.22508745737787	10.291424390393786
bmi	raw_z5	791	13	31.35415993568114	41.54370490112058	1.9904368105189287	32.9207358625917	60.70831987136228	81.08740980224115	1.9808736210378584	61.8414717251834	10.189544965439438
cad	matched_original_post	49	0	1.817313204049977	2.808125178133917	0.1966634900740977	1.9467189123101212	1.6346264080999546	3.616250356267834	-1.6066730198518044	-0.1065621753797572	0.9908119740839396
cad	raw_all	49	49	-inf	2.2841863613647995	1.9109338690020257	-inf	-inf	2.568372722729599	1.821867738004052	-inf	inf
cad	raw_z2	49	43	0.1831902798558395	1.2376199764054725	0.6342204980309063	0.7629143170943458	-1.6336194402883208	0.475239952810945	-0.7315590039381874	-2.4741713658113085	1.054429696549633
cad	raw_z5	49	35	0.2437000147735482	1.585948992504047	0.1443497149509092	0.377343806055002	-1.5125999704529036	1.1718979850080942	-1.7113005700981816	-3.245312387889996	1.342248977730499
dbp	matched_original_post	400	0	5.813913170418402	8.429268133275343	0.1659479407687172	5.9452830469879245	9.627826340836805	14.858536266550686	-1.6681041184625656	7.890566093975849	2.615354962856941
dbp	raw_all	400	400	0.0588383402660213	0.3545594871430069	1.858108727695736	1.088702507047287	-1.8823233194679572	-1.2908810257139862	1.7162174553914724	-1.8225949859054251	0.2957211468769856
dbp	raw_z2	400	344	6.116386271389615	8.9146829621709	1.1269215032635884	7.060591335720858	10.23277254277923	15.8293659243418	0.2538430065271768	10.121182671441716	2.798296690781285
dbp	raw_z5	400	40	7.576550648167398	10.204123570885656	0.0744641881221923	7.594648149781364	13.153101296334796	18.408247141771312	-1.8510716237556155	11.189296299562727	2.627572922718258
hdl	matched_original_post	488	0	-0.0025869451021662	0.8976845411331453	1.1116202162820343	1.1277435497949853	-2.005173890204333	-0.2046309177337093	0.2232404325640686	-1.7445129004100297	0.9002714862353116
hdl	raw_all	488	488	-0.0025869451021662	0.1460649836539289	-0.0033321348789456	-0.0011289711495123	-2.005173890204333	-1.707870032692142	-2.006664269757892	-4.002257942299025	0.1486519287560952
hdl	raw_z2	488	226	-0.0025869451021662	0.9638640783363428	0.0623767326105166	0.0645290811828545	-2.005173890204333	-0.0722718433273144	-1.8752465347789664	-3.870941837634291	0.9664510234385092
hdl	raw_z5	488	26	0.0299977788756393	1.8509064320045356	0.7712985879012138	0.7667688865360276	-1.9400044422487213	1.7018128640090708	-0.4574028241975725	-2.466462226927945	1.820908653128896
height	matched_original_post	2034	0	10.477403721542828	18.49261698691293	-0.014386323597364	10.496045473797835	18.954807443085656	34.98523397382587	-2.028772647194728	16.99209094759567	8.015213265370107
height	raw_all	2034	2034	7.602819957508018	13.483722598799204	0.6739300941062538	7.941268206325049	13.205639915016036	24.96744519759841	-0.6521398117874924	11.882536412650095	5.880902641291186
height	raw_z2	2034	1636	29.77123398216088	26.61685717222917	0.0039435108936913	29.8194881564408	57.54246796432176	51.23371434445835	-1.9921129782126168	55.6389763128816	-3.154376809931705
