trait	fit_name	n_loci	n_replaced	plei_vs_stab_ll_gain	plei_vs_stab_aic_gain	trait_label
bmi	full_original		0	58.69252999138939	117.38505998277878	BMI
cad	full_original		0	1.8710960796467049	3.7421921592934098	CAD
dbp	full_original		0	8.80634177562257	17.61268355124514	DBP
hdl	full_original		0	72.82288176233203	145.64576352466406	HDL
height	full_original		0	273.24314450393695	546.4862890078739	Height
ldl	full_original		0	51.44517117521207	102.89034235042413	LDL
rbc	full_original		0	36.24916255153789	72.49832510307579	RBC
sbp	full_original		0	15.013082669353935	30.02616533870787	SBP
scz	full_original		0	1.6406292670627352	3.2812585341254703	SCZ
t2d	full_original		0	5.848910766940122	11.697821533880244	T2D
triglycerides	full_original		0	54.825194057767476	109.65038811553495	Triglycerides
wbc	full_original		0	14.821287307717682	29.642574615435365	WBC
bmi	matched_original_post	791.0	0	14.843636119904716	29.687272239809424	BMI
bmi	raw_all	791.0	791	9.379314843299142	18.758629686598283	BMI
bmi	raw_z2	791.0	471	10.291424390393786	20.58284878078757	BMI
bmi	raw_z5	791.0	13	10.189544965439438	20.379089930878877	BMI
cad	matched_original_post	49.0	0	0.9908119740839396	1.9816239481678797	CAD
cad	raw_all	49.0	49	inf	inf	CAD
cad	raw_z2	49.0	43	1.054429696549633	2.108859393099266	CAD
cad	raw_z5	49.0	35	1.342248977730499	2.684497955460998	CAD
dbp	matched_original_post	400.0	0	2.615354962856941	5.230709925713882	DBP
dbp	raw_all	400.0	400	0.2957211468769856	0.5914422937539712	DBP
dbp	raw_z2	400.0	344	2.798296690781285	5.59659338156257	DBP
dbp	raw_z5	400.0	40	2.627572922718258	5.255145845436516	DBP
hdl	matched_original_post	488.0	0	0.9002714862353116	1.800542972470623	HDL
hdl	raw_all	488.0	488	0.1486519287560952	0.2973038575121902	HDL
hdl	raw_z2	488.0	226	0.9664510234385092	1.932902046877018	HDL
hdl	raw_z5	488.0	26	1.820908653128896	3.6418173062577934	HDL
height	matched_original_post	2034.0	0	8.015213265370107	16.030426530740208	Height
height	raw_all	2034.0	2034	5.880902641291186	11.761805282582372	Height
height	raw_z2	2034.0	1636	-3.154376809931705	-6.308753619863417	Height
height	raw_z5	2034.0	277	-2.114264948854725	-4.22852989770945	Height
ldl	matched_original_post	390.0	0	0.1160468427804062	0.2320936855608122	LDL
ldl	raw_all	390.0	390	-0.3984684198960337	-0.7969368397920675	LDL
ldl	raw_z2	390.0	102	1.869051650722895	3.7381033014457903	LDL
ldl	raw_z5	390.0	11	-0.2101288820367415	-0.420257764073483	LDL
rbc	matched_original_post	666.0	0	2.3006475240741224	4.601295048148245	RBC
rbc	raw_all	666.0	666	0.2378080335391814	0.4756160670783628	RBC
rbc	raw_z2	666.0	446	0.2410139827473472	0.4820279654946942	RBC
rbc	raw_z5	666.0	44	2.327718985656645	4.65543797131329	RBC
sbp	matched_original_post	699.0	0	7.32478586259441	14.649571725188821	SBP
sbp	raw_all	699.0	699	5.263796600199953	10.527593200399906	SBP
sbp	raw_z2	699.0	427	4.941333224532514	9.882666449065031	SBP
sbp	raw_z5	699.0	16	5.15471663982612	10.309433279652247	SBP
scz	matched_original_post	172.0	0	0.911967859327916	1.8239357186558323	SCZ
scz	raw_all	172.0	172	inf	inf	SCZ
scz	raw_z2	172.0	1	1.0267350130140898	2.0534700260281795	SCZ
scz	raw_z5	172.0	0	0.911967859327916	1.8239357186558323	SCZ
t2d	matched_original_post	208.0	0	0.2761758464867796	0.5523516929735592	T2D
t2d	raw_all	208.0	208	0.0476597373671836	0.095319474734367	T2D
t2d	raw_z2	208.0	189	0.0474186537673517	0.09483730753470339	T2D
t2d	raw_z5	208.0	67	0.0474186537673517	0.09483730753470339	T2D
triglycerides	matched_original_post	417.0	0	0.1519045159962502	0.3038090319925002	Triglycerides
triglycerides	raw_all	417.0	417	-0.1653530477383356	-0.3307060954766713	Triglycerides
triglycerides	raw_z2	417.0	216	0.1505051981788767	0.3010103963577532	Triglycerides
triglycerides	raw_z5	417.0	24	0.1505051987897729	0.3010103975795458	Triglycerides
wbc	matched_original_post	557.0	0	2.032113788578357	4.064227577156714	WBC
wbc	raw_all	557.0	557	0.721065178502613	1.442130357005226	WBC
wbc	raw_z2	557.0	406	0.1645953564217279	0.3291907128434558	WBC
wbc	raw_z5	557.0	26	0.1645953709243031	0.32919074184860597	WBC
