trait	trait_label	original_fit_loci	matched_loci	median_maf_matched	median_maf_unmatched	frac_unmatched	frac_matched_maf_lt_005	frac_unmatched_maf_lt_005	unmatched_loci
bmi	BMI	1078	791	0.3086	0.10619999999999996	0.2662337662337662	0.015170670037926675	0.3170731707317073	287
cad	CAD	59	49	0.23736999999999997	0.06802	0.1694915254237288	0.02040816326530612	0.4	10
dbp	DBP	584	400	0.31975	0.15594999999999998	0.3150684931506849	0.005	0.24456521739130435	184
hdl	HDL	788	488	0.3029	0.066345	0.38071065989847713	0.028688524590163935	0.4	300
height	Height	3260	2034	0.27925	0.050425	0.37607361963190183	0.04523107177974434	0.49755301794453505	1226
ldl	LDL	583	390	0.28525	0.06548	0.33104631217838765	0.035897435897435895	0.43005181347150256	193
rbc	RBC	997	666	0.29000000000000004	0.08414999999999995	0.3319959879638917	0.028528528528528527	0.32628398791540786	331
sbp	SBP	928	699	0.30169999999999997	0.09255999999999998	0.24676724137931033	0.01859799713876967	0.3537117903930131	229
scz	SCZ	205	172	0.3305	0.18300000000000005	0.16097560975609757	0.011627906976744186	0.12121212121212122	33
t2d	T2D	247	208	0.29775	0.0857	0.15789473684210525	0.02403846153846154	0.3076923076923077	39
triglycerides	Triglycerides	625	417	0.2933	0.067585	0.3328	0.019184652278177457	0.4182692307692308	208
wbc	WBC	761	557	0.3046	0.13094999999999998	0.2680683311432326	0.017953321364452424	0.2696078431372549	204
