model	beta	cut	rep	ll_neut	I2_stab	ll_stab	Ip_plei	ll_plei	Ip_plei_ssd	ll_plei_ssd
plei	True	1.0	0	242.98	-3e-05	294.56	7e-05	295.5	7e-05	295.6
plei	True	1.0	1	226.48	-3e-05	280.34	7e-05	281.45	8e-05	281.9
plei	True	1.0	2	226.46	-3e-05	274.5	8e-05	276.37	9e-05	276.27
plei	True	1.0	3	231.8	-3e-05	291.26	9e-05	293.48	0.0001	293.53
plei	True	1.0	4	235.02	-3e-05	285.66	8e-05	290.42	9e-05	289.97
plei	True	1.0	5	226.24	-3e-05	268.53	6e-05	269.8	7e-05	269.67
plei	True	1.0	6	225.58	-3e-05	271.61	7e-05	270.2	7e-05	270.74
plei	True	1.0	7	237.28	-4e-05	304.93	0.00011	307.61	0.00011	307.75
plei	True	1.0	8	223.22	-4e-05	276.26	0.0001	278.42	0.0001	278.16
plei	True	1.0	9	228.44	-0.00502	277.31	9e-05	281.42	9e-05	280.6
plei	True	1.0	10	204.71	-2e-05	235.43	4e-05	236.27	4e-05	236.22
plei	True	1.0	11	235.66	-4e-05	293.44	9e-05	294.01	0.0001	294.26
plei	True	1.0	12	236.16	-4e-05	295.46	9e-05	296.13	9e-05	296.19
plei	True	1.0	13	214.23	-3e-05	261.12	7e-05	261.99	7e-05	262.0
plei	True	1.0	14	223.67	-3e-05	276.86	8e-05	277.67	9e-05	278.13
plei	True	1.0	15	240.08	-4e-05	303.07	0.00011	305.76	0.00012	305.53
plei	True	1.0	16	234.29	-4e-05	289.42	9e-05	292.0	0.0001	291.8
plei	True	1.0	17	240.57	-4e-05	295.74	0.00011	301.25	0.00012	300.27
plei	True	1.0	18	235.51	-3e-05	285.25	7e-05	287.9	8e-05	287.52
plei	True	1.0	19	237.79	-4e-05	303.89	0.0001	306.35	0.00011	306.18
plei	True	1.0	20	226.01	-3e-05	266.95	6e-05	269.9	7e-05	269.88
plei	True	1.0	21	221.3	-4e-05	279.06	8e-05	282.19	8e-05	282.31
plei	True	1.0	22	242.65	-4e-05	304.62	0.0001	306.41	0.00011	306.34
plei	True	1.0	23	230.55	-4e-05	299.78	0.0001	298.54	0.00011	298.95
plei	True	1.0	24	221.32	-3e-05	263.56	6e-05	265.12	6e-05	265.18
plei	True	1.0	25	226.28	-4e-05	288.36	8e-05	286.71	9e-05	287.29
plei	True	1.0	26	243.42	-3e-05	293.25	7e-05	298.11	8e-05	297.64
plei	True	1.0	27	246.96	-4e-05	325.6	0.00013	328.14	0.00014	328.55
plei	True	1.0	28	237.01	-4e-05	293.03	0.0001	293.56	0.00011	293.63
plei	True	1.0	29	216.9	-4e-05	273.27	8e-05	272.53	9e-05	273.14
plei	True	1.0	30	228.25	-0.00451	263.8	5e-05	265.52	6e-05	265.17
plei	True	1.0	31	251.79	-3e-05	320.44	0.0001	326.58	0.00011	326.18
plei	True	1.0	32	210.89	-0.01464	245.51	6e-05	250.13	6e-05	249.78
plei	True	1.0	33	236.75	-3e-05	287.69	6e-05	289.28	7e-05	289.27
plei	True	1.0	34	243.66	-4e-05	299.29	0.0001	302.36	0.00011	301.8
plei	True	1.0	35	219.3	-4e-05	275.08	9e-05	277.41	0.0001	277.2
plei	True	1.0	36	234.81	-3e-05	286.78	0.0001	294.09	0.00011	293.34
plei	True	1.0	37	211.09	-0.01872	242.08	4e-05	242.92	5e-05	242.55
plei	True	1.0	38	225.38	-4e-05	280.93	0.0001	283.27	0.0001	283.0
plei	True	1.0	39	233.2	-4e-05	294.93	0.0001	295.36	0.00011	295.49
plei	True	1.0	40	238.76	-4e-05	292.17	9e-05	294.7	9e-05	294.6
plei	True	1.0	41	235.1	-4e-05	290.59	0.00011	294.51	0.00011	294.03
