model	beta	cut	rep	ll_neut	I2_stab	ll_stab	Ip_plei	ll_plei	Ip_plei_ssd	ll_plei_ssd
plei	True	1.0	0	447.47	-3e-05	610.44	0.00011	622.52	8e-05	621.91
plei	True	1.0	1	435.23	-3e-05	577.31	0.0001	593.59	8e-05	592.44
plei	True	1.0	2	416.86	-3e-05	570.1	0.0001	572.02	7e-05	572.32
plei	True	1.0	3	427.43	-4e-05	601.68	0.00012	600.18	8e-05	600.98
plei	True	1.0	4	440.0	-4e-05	610.84	0.00011	614.73	8e-05	614.49
plei	True	1.0	5	418.62	-3e-05	572.56	9e-05	572.06	7e-05	572.3
plei	True	1.0	6	429.71	-3e-05	580.67	9e-05	583.65	6e-05	583.94
plei	True	1.0	7	432.95	-4e-05	598.47	0.00012	605.91	8e-05	605.3
plei	True	1.0	8	423.76	-4e-05	583.99	0.00011	586.38	8e-05	586.64
plei	True	1.0	9	426.16	-3e-05	568.26	8e-05	577.25	6e-05	577.01
plei	True	1.0	10	462.91	-4e-05	649.19	0.00013	658.76	9e-05	658.16
plei	True	1.0	11	425.66	-3e-05	574.26	9e-05	581.35	7e-05	581.07
plei	True	1.0	12	412.28	-3e-05	554.23	0.00011	561.2	8e-05	560.64
plei	True	1.0	13	424.19	-4e-05	581.8	0.0001	586.19	8e-05	586.12
plei	True	1.0	14	432.21	-3e-05	594.66	0.0001	599.3	7e-05	599.37
plei	True	1.0	15	429.29	-3e-05	575.85	9e-05	583.54	6e-05	583.03
plei	True	1.0	16	421.9	-3e-05	555.09	8e-05	565.67	6e-05	564.86
plei	True	1.0	17	436.25	-3e-05	592.32	0.0001	601.04	7e-05	600.46
plei	True	1.0	18	469.23	-4e-05	662.45	0.00012	671.22	9e-05	670.84
plei	True	1.0	19	451.93	-4e-05	631.25	0.00012	633.41	9e-05	633.85
plei	True	1.0	20	431.68	-3e-05	597.52	0.0001	598.44	7e-05	599.39
plei	True	1.0	21	445.6	-3e-05	614.77	0.00011	619.56	8e-05	619.07
