model	beta	cut	rep	ll_neut	I2_stab	ll_stab	Ip_plei	ll_plei	Ip_plei_ssd	ll_plei_ssd
stab	True	1.0	0	259.97	-0.0001	335.34	0.00034	334.38	0.00032	334.67
stab	True	1.0	1	265.95	-0.00011	356.61	0.00042	355.34	0.0004	355.95
stab	True	1.0	2	265.1	-0.00012	349.15	0.00038	345.76	0.00036	346.49
stab	True	1.0	3	259.26	-0.0001	342.68	0.00034	340.53	0.00032	340.95
stab	True	1.0	4	276.25	-0.00011	357.41	0.00038	354.1	0.00036	354.69
stab	True	1.0	5	271.35	-9e-05	353.0	0.0003	351.46	0.0003	352.04
stab	True	1.0	6	272.67	-0.00012	370.57	0.00044	366.7	0.00042	367.69
stab	True	1.0	7	267.35	-0.00012	355.99	0.00043	353.62	0.00041	354.26
stab	True	1.0	8	270.16	-0.00011	362.11	0.00043	361.87	0.00039	362.28
stab	True	1.0	9	264.68	-9e-05	346.14	0.00031	344.74	0.00032	345.21
stab	True	1.0	10	266.82	-0.00013	363.06	0.00058	363.52	0.00053	363.58
stab	True	1.0	11	268.95	-0.00011	364.2	0.00043	364.44	0.00041	364.57
stab	True	1.0	12	267.77	-0.00011	360.11	0.00038	355.57	0.00036	356.48
stab	True	1.0	13	271.36	-0.00013	368.27	0.00047	365.24	0.00045	366.12
stab	True	1.0	14	256.38	-0.0001	343.6	0.00035	341.72	0.00034	342.1
stab	True	1.0	15	257.58	-9e-05	326.23	0.00026	324.2	0.00026	324.9
stab	True	1.0	16	284.43	-0.00013	385.64	0.00053	381.6	0.0005	382.55
stab	True	1.0	17	260.69	-9e-05	333.3	0.00029	332.29	0.00029	332.92
stab	True	1.0	18	267.98	-0.00011	356.31	0.00033	352.59	0.00033	353.53
stab	True	1.0	19	281.03	-0.00012	389.01	0.0005	387.86	0.00046	388.67
stab	True	1.0	20	276.89	-0.00012	374.47	0.00039	370.01	0.00037	370.96
stab	True	1.0	21	274.79	-0.00011	356.67	0.00037	354.79	0.00036	355.52
stab	True	1.0	22	258.71	-9e-05	330.88	0.00027	329.75	0.00028	330.16
stab	True	1.0	23	281.93	-0.00011	360.56	0.00038	360.82	0.00036	360.98
stab	True	1.0	24	272.77	-0.00015	404.01	0.00066	398.55	0.00057	399.46
stab	True	1.0	25	261.97	-8e-05	331.32	0.00024	329.16	0.00024	329.88
stab	True	1.0	26	259.98	-8e-05	324.81	0.00026	324.16	0.00026	324.4
stab	True	1.0	27	267.14	-0.0001	356.51	0.00037	354.48	0.00035	354.97
stab	True	1.0	28	267.33	-0.00011	350.66	0.00037	347.71	0.00037	348.43
stab	True	1.0	29	269.25	-0.00011	370.86	0.00043	368.75	0.00041	369.52
stab	True	1.0	30	274.88	-9e-05	350.39	0.00034	350.07	0.00032	350.36
stab	True	1.0	31	271.56	-0.0001	347.73	0.00033	345.76	0.00033	346.26
stab	True	1.0	32	266.24	-0.00014	367.19	0.00051	366.21	0.00046	366.72
stab	True	1.0	33	263.41	-0.0001	342.93	0.00031	339.25	0.00029	340.19
stab	True	1.0	34	259.52	-0.0001	344.75	0.00034	343.38	0.00033	343.75
stab	True	1.0	35	255.96	-0.0001	324.05	0.0003	321.77	0.0003	322.38
stab	True	1.0	36	274.38	-0.00011	377.27	0.00048	377.27	0.00044	377.55
stab	True	1.0	37	271.83	-0.00011	368.11	0.00043	366.39	0.00039	366.93
stab	True	1.0	38	269.4	-9e-05	355.07	0.0003	352.87	0.0003	353.51
stab	True	1.0	39	273.92	-0.00011	384.54	0.00043	380.67	0.00041	381.44
stab	True	1.0	40	261.06	-0.00011	325.34	0.00034	323.79	0.00034	324.2
stab	True	1.0	41	261.01	-0.00012	351.9	0.00042	349.86	0.0004	350.44
stab	True	1.0	42	274.49	-0.0001	358.29	0.00035	358.41	0.00033	358.68
stab	True	1.0	43	257.35	-9e-05	315.02	0.00029	316.45	0.00028	316.16
stab	True	1.0	44	265.25	-9e-05	345.51	0.00032	342.32	0.00032	343.11
stab	True	1.0	45	259.5	-0.0001	336.51	0.00033	336.57	0.00032	336.8
stab	True	1.0	46	252.19	-0.0001	325.0	0.00034	324.49	0.00033	324.69
stab	True	1.0	47	265.35	-0.00011	337.41	0.00036	335.78	0.00034	336.3
stab	True	1.0	48	269.76	-8e-05	341.04	0.00024	338.42	0.00024	339.16
stab	True	1.0	49	259.27	-0.00011	341.11	0.00039	340.52	0.00037	340.73
stab	True	1.0	50	272.06	-9e-05	345.9	0.00032	346.05	0.00032	346.38
stab	True	1.0	51	269.94	-0.00012	366.33	0.00051	366.27	0.00046	366.47
stab	True	1.0	52	272.17	-0.00012	352.03	0.0004	349.66	0.00038	350.1
stab	True	1.0	53	278.54	-0.00012	380.98	0.00054	383.65	0.00051	383.77
stab	True	1.0	54	256.14	-9e-05	328.32	0.00031	327.61	0.0003	327.76
stab	True	1.0	55	263.01	-0.0001	347.69	0.00035	346.03	0.00034	346.48
stab	True	1.0	56	268.35	-0.0001	346.38	0.00036	347.01	0.00034	347.24
stab	True	1.0	57	257.81	-9e-05	323.06	0.00027	320.11	0.00027	320.86
stab	True	1.0	58	282.69	-0.00012	390.61	0.00048	388.64	0.00045	389.31
stab	True	1.0	59	259.33	-9e-05	342.58	0.00029	339.01	0.00028	339.84
stab	True	1.0	60	264.09	-0.00011	344.71	0.00033	341.61	0.00032	342.3
stab	True	1.0	61	252.36	-0.00012	331.71	0.00042	333.08	0.0004	333.12
stab	True	1.0	62	264.38	-0.0001	338.02	0.00033	338.01	0.00031	338.23
stab	True	1.0	63	265.78	-0.0001	335.04	0.0003	332.88	0.0003	333.44
stab	True	1.0	64	273.58	-0.00011	375.44	0.00044	373.91	0.0004	374.38
stab	True	1.0	65	258.37	-8e-05	328.06	0.00026	327.43	0.00025	327.85
stab	True	1.0	66	242.77	-0.0001	315.81	0.00031	312.52	0.00029	313.3
stab	True	1.0	67	268.41	-0.0001	347.0	0.00032	344.53	0.00032	345.24
stab	True	1.0	68	278.16	-0.00011	361.93	0.00044	362.65	0.0004	362.63
stab	True	1.0	69	264.34	-0.00013	369.84	0.00054	371.02	0.00049	371.39
stab	True	1.0	70	274.87	-0.0001	348.17	0.00029	345.92	0.00029	346.41
stab	True	1.0	71	260.85	-0.00011	334.76	0.00037	334.26	0.00035	334.47
stab	True	1.0	72	256.82	-0.0001	339.3	0.00038	340.44	0.00036	340.3
stab	True	1.0	73	258.89	-0.00011	345.11	0.00034	342.81	0.00033	343.41
stab	True	1.0	74	254.45	-0.00011	330.49	0.0004	329.59	0.00038	329.92
stab	True	1.0	75	257.96	-0.0001	331.23	0.00029	328.02	0.00029	328.89
stab	True	1.0	76	270.96	-0.00012	356.4	0.00043	354.78	0.00039	355.2
stab	True	1.0	77	265.9	-0.00011	365.28	0.00037	362.18	0.00037	363.11
stab	True	1.0	78	266.24	-0.0001	353.73	0.00034	351.27	0.00033	351.89
stab	True	1.0	79	276.7	-0.00012	376.47	0.00049	376.6	0.00045	376.87
stab	True	1.0	80	283.67	-0.00011	381.5	0.00043	379.74	0.00041	380.24
stab	True	1.0	81	264.7	-0.00011	352.68	0.00035	349.75	0.00034	350.54
stab	True	1.0	82	274.71	-0.00012	363.44	0.00046	362.25	0.00044	362.69
stab	True	1.0	83	260.0	-0.0001	340.01	0.00035	338.74	0.00033	339.15
stab	True	1.0	84	267.11	-0.0001	347.48	0.00032	346.26	0.00032	346.76
stab	True	1.0	85	264.27	-0.00011	343.85	0.00036	341.09	0.00034	341.87
stab	True	1.0	86	268.96	-0.0001	345.07	0.00032	344.69	0.00033	344.98
stab	True	1.0	87	251.96	-0.00012	342.49	0.00044	340.32	0.0004	340.86
stab	True	1.0	88	256.67	-0.0001	330.73	0.00033	328.61	0.00034	329.12
stab	True	1.0	89	260.49	-8e-05	328.65	0.00025	326.29	0.00025	326.96
stab	True	1.0	90	271.55	-0.00012	360.19	0.00049	360.01	0.00044	360.46
stab	True	1.0	91	267.27	-0.00011	354.88	0.00048	355.64	0.00043	355.75
stab	True	1.0	92	261.7	-0.0001	345.85	0.00031	342.53	0.00031	343.46
stab	True	1.0	93	267.21	-9e-05	340.07	0.00031	339.31	0.0003	339.6
stab	True	1.0	94	273.14	-0.0001	360.87	0.00037	358.16	0.00035	358.95
stab	True	1.0	95	266.12	-0.0001	354.23	0.00037	355.99	0.00035	355.96
stab	True	1.0	96	261.64	-0.0001	345.15	0.00032	343.79	0.00032	344.27
stab	True	1.0	97	249.95	-0.0001	325.09	0.00032	323.75	0.00032	324.21
stab	True	1.0	98	267.14	-0.0001	350.04	0.00031	348.03	0.00031	348.52
stab	True	1.0	99	274.3	-0.00012	372.57	0.00042	369.28	0.0004	370.13
stab	True	3.0	0	300.84	-0.0001	415.91	0.00068	410.43	0.00056	411.12
stab	True	3.0	1	307.51	-0.0001	443.59	0.00165	440.88	0.00105	441.26
stab	True	3.0	2	310.96	-0.0001	429.46	0.00088	429.47	0.00069	429.84
stab	True	3.0	3	316.74	-0.00011	432.58	0.00089	429.65	0.00066	430.09
stab	True	3.0	4	282.23	-9e-05	377.32	0.00055	376.87	0.00046	376.99
stab	True	3.0	5	299.5	-0.00012	419.6	0.00139	419.93	0.00099	420.1
stab	True	3.0	6	321.49	-9e-05	439.73	0.001	441.13	0.00078	441.29
stab	True	3.0	7	294.22	-0.0001	403.69	0.0006	401.32	0.0005	401.67
stab	True	3.0	8	308.84	-0.00011	440.29	0.00108	437.69	0.0008	437.98
stab	True	3.0	9	302.01	-0.00012	425.77	0.0011	424.24	0.00083	424.55
stab	True	3.0	10	321.61	-0.00014	475.43	0.00386	480.45	0.00272	480.46
stab	True	3.0	11	299.23	-0.0001	421.93	0.00077	419.06	0.0006	419.46
stab	True	3.0	12	299.46	-0.0001	418.88	0.00077	419.46	0.00061	419.45
stab	True	3.0	13	306.23	-0.00013	441.56	0.00214	440.43	0.00146	440.45
stab	True	3.0	14	298.29	-0.00012	400.21	0.00082	401.37	0.00064	401.4
stab	True	3.0	15	303.26	-0.0001	416.18	0.00087	415.7	0.00065	415.84
stab	True	3.0	16	309.68	-9e-05	411.71	0.00074	412.45	0.00061	412.59
stab	True	3.0	17	318.51	-0.00013	448.19	0.00159	448.55	0.0012	448.63
stab	True	3.0	18	295.71	-0.00011	413.64	0.00112	411.45	0.00083	411.72
stab	True	3.0	19	308.81	-0.0001	446.89	0.00097	444.81	0.00076	445.15
stab	True	3.0	20	297.56	-0.00011	411.31	0.00069	407.67	0.00058	408.33
stab	True	3.0	21	308.96	-0.0001	448.89	0.0043	449.65	0.00289	449.55
