model	beta	cut	rep	ll_neut	I2_stab	ll_stab	Ip_plei	ll_plei	Ip_plei_ssd	ll_plei_ssd
stab	True	1.0	0	481.88	-0.00012	787.36	0.00059	786.11	0.00038	786.56
stab	True	1.0	1	442.08	-0.0001	686.15	0.0004	680.8	0.00026	681.23
stab	True	1.0	2	441.1	-9e-05	684.64	0.00039	682.23	0.00026	683.16
stab	True	1.0	3	444.46	-9e-05	693.59	0.0004	690.91	0.00028	691.52
stab	True	1.0	4	441.54	-8e-05	671.05	0.00033	666.95	0.00022	667.3
stab	True	1.0	5	469.16	-0.0001	740.1	0.00045	738.78	0.00028	739.11
stab	True	1.0	6	492.08	-9e-05	776.63	0.00039	776.88	0.00025	777.24
stab	True	1.0	7	466.3	-0.0001	748.84	0.00047	748.15	0.0003	748.77
stab	True	1.0	8	440.16	-9e-05	687.03	0.00036	679.41	0.00023	680.4
stab	True	1.0	9	471.76	-0.0001	754.35	0.00045	750.97	0.00029	751.28
stab	True	1.0	10	460.22	-9e-05	713.55	0.00039	711.79	0.00025	711.92
stab	True	1.0	11	445.69	-9e-05	686.57	0.00039	687.62	0.00027	687.95
stab	True	1.0	12	465.03	-9e-05	737.48	0.0004	734.71	0.00026	735.22
stab	True	1.0	13	466.21	-0.0001	733.09	0.00042	729.83	0.00028	730.5
stab	True	1.0	14	433.21	-9e-05	677.73	0.00039	670.22	0.00026	671.19
stab	True	1.0	15	468.55	-0.0001	738.71	0.0004	735.99	0.00026	736.89
stab	True	1.0	16	438.53	-9e-05	667.34	0.00038	667.57	0.00025	667.68
stab	True	1.0	17	443.22	-9e-05	681.6	0.00035	676.7	0.00024	677.93
stab	True	1.0	18	444.0	-9e-05	682.58	0.00037	679.3	0.00024	679.89
stab	True	1.0	19	446.78	-9e-05	693.03	0.00037	688.44	0.00024	689.25
stab	True	1.0	20	455.36	-9e-05	700.63	0.00035	698.38	0.00023	699.35
stab	True	1.0	21	441.33	-9e-05	677.83	0.00035	673.57	0.00023	674.17
stab	True	1.0	22	443.9	-9e-05	684.84	0.00036	682.51	0.00024	683.04
stab	True	1.0	23	451.33	-0.0001	713.37	0.00045	710.55	0.0003	711.26
stab	True	1.0	24	463.39	-9e-05	723.31	0.00038	718.92	0.00025	719.64
stab	True	1.0	25	448.93	-0.0001	708.84	0.00041	701.08	0.00027	702.64
stab	True	1.0	26	443.33	-9e-05	685.95	0.00039	682.26	0.00026	683.11
stab	True	1.0	27	443.08	-9e-05	691.85	0.00038	689.56	0.00025	690.03
stab	True	1.0	28	472.73	-0.0001	745.23	0.00041	743.88	0.00027	744.95
stab	True	1.0	29	453.13	-0.00011	720.31	0.00049	717.06	0.00032	718.05
stab	True	1.0	30	443.06	-0.0001	694.06	0.00042	689.16	0.00027	689.86
stab	True	1.0	31	450.52	-9e-05	696.21	0.00035	690.6	0.00024	691.81
stab	True	1.0	32	477.54	-0.0001	778.67	0.0005	777.93	0.00031	778.49
stab	True	1.0	33	459.68	-9e-05	723.42	0.00039	721.35	0.00026	721.75
stab	True	1.0	34	467.42	-0.00011	751.95	0.00046	744.86	0.00031	746.15
stab	True	1.0	35	464.66	-0.0001	738.82	0.00046	735.99	0.00029	736.85
stab	True	1.0	36	469.74	-0.0001	743.94	0.00044	739.28	0.00029	739.97
stab	True	1.0	37	447.84	-9e-05	706.23	0.0004	702.63	0.00026	703.62
stab	True	1.0	38	454.99	-0.0001	710.09	0.00041	706.33	0.00027	706.92
stab	True	1.0	39	454.5	-9e-05	699.23	0.00035	696.73	0.00024	697.47
stab	True	1.0	40	443.35	-9e-05	686.51	0.00037	681.81	0.00026	682.78
stab	True	1.0	41	479.09	-9e-05	753.15	0.00041	751.11	0.00027	751.92
stab	True	1.0	42	462.1	-0.0001	733.7	0.00047	733.31	0.00031	732.96
stab	True	1.0	43	460.8	-9e-05	710.34	0.00039	710.39	0.00025	710.87
stab	True	1.0	44	451.9	-9e-05	708.31	0.00035	701.76	0.00024	702.49
stab	True	1.0	45	445.64	-0.0001	702.29	0.00044	699.4	0.00029	700.38
stab	True	1.0	46	434.58	-9e-05	666.9	0.00038	662.87	0.00025	663.24
stab	True	1.0	47	444.62	-0.0001	704.64	0.00045	701.11	0.00029	701.96
stab	True	1.0	48	429.08	-9e-05	665.5	0.0004	662.85	0.00026	663.46
stab	True	1.0	49	455.73	-0.0001	722.18	0.00041	717.47	0.00027	718.03
stab	True	1.0	50	458.61	-0.0001	721.04	0.00047	719.46	0.00029	719.66
stab	True	1.0	51	457.26	-0.0001	721.23	0.00044	719.43	0.00029	719.99
stab	True	1.0	52	463.77	-9e-05	715.05	0.00036	710.6	0.00025	711.63
stab	True	1.0	53	433.06	-9e-05	664.52	0.00037	666.64	0.00024	666.8
stab	True	1.0	54	440.74	-0.0001	681.31	0.00045	680.49	0.00028	680.77
stab	True	1.0	55	458.96	-0.0001	723.0	0.00045	720.86	0.00029	721.28
stab	True	1.0	56	430.62	-9e-05	659.07	0.00035	654.61	0.00024	655.55
stab	True	1.0	57	451.5	-0.0001	715.31	0.00045	710.73	0.00029	711.76
stab	True	1.0	58	439.04	-8e-05	669.03	0.00034	668.23	0.00022	668.79
stab	True	1.0	59	454.12	-9e-05	706.9	0.00037	700.34	0.00025	701.79
stab	True	1.0	60	437.42	-8e-05	661.88	0.00031	658.37	0.00021	659.09
stab	True	1.0	61	462.19	-9e-05	725.21	0.00038	723.39	0.00027	723.9
stab	True	1.0	62	439.37	-9e-05	678.91	0.00038	674.59	0.00025	675.58
stab	True	1.0	63	456.77	-9e-05	711.5	0.00037	706.88	0.00024	708.25
stab	True	1.0	64	471.85	-0.0001	739.64	0.00042	736.75	0.00028	737.29
stab	True	1.0	65	445.73	-9e-05	684.3	0.00036	680.51	0.00024	681.37
stab	True	1.0	66	441.69	-0.0001	697.35	0.00044	693.22	0.00029	694.0
stab	True	1.0	67	446.15	-9e-05	685.28	0.00036	683.64	0.00024	684.17
stab	True	1.0	68	457.5	-0.0001	725.03	0.0004	719.39	0.00026	720.56
stab	True	1.0	69	432.65	-9e-05	670.75	0.00036	666.87	0.00025	667.81
stab	True	1.0	70	481.34	-0.00011	777.91	0.00048	776.79	0.00032	776.45
stab	True	1.0	71	436.62	-8e-05	663.97	0.00035	662.69	0.00023	663.33
stab	True	1.0	72	460.52	-0.0001	731.3	0.00043	728.14	0.00028	728.21
stab	True	1.0	73	459.14	-9e-05	722.55	0.0004	721.81	0.00026	722.37
stab	True	1.0	74	467.33	-0.0001	739.24	0.00044	739.05	0.00029	739.24
stab	True	1.0	75	468.99	-0.00011	749.07	0.00049	747.8	0.00032	748.5
stab	True	1.0	76	451.97	-9e-05	698.48	0.00037	695.66	0.00025	695.76
stab	True	1.0	77	474.64	-0.0001	752.6	0.00044	752.81	0.00029	753.07
stab	True	1.0	78	453.4	-0.0001	712.81	0.00043	709.09	0.00028	710.06
stab	True	1.0	79	456.69	-9e-05	715.68	0.00038	711.74	0.00025	712.76
stab	True	1.0	80	449.67	-0.0001	711.19	0.00045	711.68	0.0003	711.82
stab	True	1.0	81	451.23	-0.0001	708.29	0.0004	702.32	0.00026	702.83
stab	True	1.0	82	465.49	-0.0001	741.54	0.00042	737.19	0.00028	737.88
stab	True	1.0	83	475.32	-9e-05	750.44	0.00039	748.02	0.00026	748.48
stab	True	1.0	84	441.36	-0.0001	693.24	0.00045	693.47	0.00029	693.56
stab	True	1.0	85	455.01	-9e-05	710.7	0.00039	705.3	0.00025	706.02
stab	True	1.0	86	443.52	-0.0001	692.67	0.00042	690.82	0.00028	691.68
stab	True	1.0	87	457.69	-0.0001	726.19	0.00045	722.69	0.00029	723.01
stab	True	1.0	88	435.28	-9e-05	658.74	0.00038	658.04	0.00025	658.21
stab	True	1.0	89	440.65	-9e-05	686.33	0.00039	683.79	0.00025	684.26
stab	True	1.0	90	455.15	-0.0001	726.46	0.00047	720.87	0.00031	721.74
