model	beta	cut	rep	ll_neut	I2_stab	ll_stab	Ip_plei	ll_plei	Ip_plei_ssd	ll_plei_ssd
plei	True	1.0	0	218.36	-0.00334	253.34	0.14649	252.91	0.08905	253.52
plei	True	1.0	1	223.53	-3e-05	269.16	7e-05	272.41	8e-05	271.96
plei	True	1.0	2	237.16	-4e-05	289.32	8e-05	288.71	9e-05	288.93
plei	True	1.0	3	217.95	-2e-05	248.45	6e-05	251.47	6e-05	251.31
plei	True	1.0	4	229.07	-3e-05	277.58	6e-05	279.31	7e-05	279.39
plei	True	1.0	5	227.6	-4e-05	283.18	8e-05	282.79	8e-05	283.13
plei	True	1.0	6	224.89	-3e-05	272.0	7e-05	272.12	8e-05	272.29
plei	True	1.0	7	220.71	-3e-05	271.93	7e-05	271.03	7e-05	271.41
plei	True	1.0	8	240.56	-4e-05	292.72	8e-05	295.58	9e-05	295.27
plei	True	1.0	9	225.04	-3e-05	277.05	6e-05	276.38	8e-05	276.69
plei	True	1.0	10	218.78	-0.01479	258.34	7e-05	260.17	0.14897	260.35
plei	True	1.0	11	241.15	-3e-05	298.96	8e-05	299.98	8e-05	299.9
plei	True	1.0	12	231.82	-3e-05	294.49	0.0001	299.47	0.00011	299.27
plei	True	1.0	13	232.53	-3e-05	280.62	7e-05	283.84	8e-05	283.58
plei	True	1.0	14	214.34	-3e-05	261.04	6e-05	259.02	7e-05	259.59
plei	True	1.0	15	224.6	-4e-05	276.04	8e-05	276.97	9e-05	277.0
plei	True	1.0	16	248.46	-3e-05	305.06	0.0001	307.75	0.0001	308.05
plei	True	1.0	17	231.19	-3e-05	288.26	8e-05	289.56	9e-05	289.84
plei	True	1.0	18	240.98	-4e-05	302.32	0.00014	309.19	0.00014	308.66
plei	True	1.0	19	215.7	-3e-05	250.89	6e-05	253.06	6e-05	253.19
plei	True	1.0	20	225.02	-3e-05	270.52	6e-05	270.82	7e-05	270.96
plei	True	1.0	21	199.23	-2e-05	224.71	3e-05	225.68	4e-05	225.62
plei	True	1.0	22	240.0	-3e-05	294.56	7e-05	294.87	8e-05	295.11
plei	True	1.0	23	214.84	-3e-05	261.64	7e-05	260.12	8e-05	260.82
plei	True	1.0	24	201.67	-0.02	228.3	4e-05	229.54	5e-05	229.09
plei	True	1.0	25	221.33	-3e-05	268.42	8e-05	270.45	8e-05	270.38
plei	True	1.0	26	235.78	-2e-05	281.15	7e-05	285.38	8e-05	285.15
plei	True	1.0	27	232.88	-3e-05	278.61	8e-05	280.17	8e-05	280.06
plei	True	1.0	28	210.29	-2e-05	242.37	4e-05	243.03	5e-05	243.0
plei	True	1.0	29	219.61	-3e-05	262.07	6e-05	264.35	7e-05	264.2
plei	True	1.0	30	223.31	-3e-05	270.12	7e-05	272.13	8e-05	271.86
plei	True	1.0	31	220.74	-3e-05	269.54	7e-05	268.11	8e-05	268.54
plei	True	1.0	32	233.08	-0.01708	280.15	7e-05	284.87	8e-05	284.34
plei	True	1.0	33	231.7	-3e-05	274.27	7e-05	272.52	8e-05	273.01
plei	True	1.0	34	224.09	-3e-05	264.55	5e-05	265.37	6e-05	265.81
plei	True	1.0	35	224.31	-3e-05	265.2	7e-05	269.06	8e-05	268.67
plei	True	1.0	36	212.65	-3e-05	256.03	8e-05	258.49	9e-05	258.23
plei	True	1.0	37	213.14	-2e-05	240.23	3e-05	242.41	4e-05	242.29
plei	True	1.0	38	221.57	-3e-05	261.57	5e-05	260.7	6e-05	260.99
plei	True	1.0	39	211.46	-0.0218	240.11	4e-05	242.05	5e-05	241.8
plei	True	1.0	40	207.34	-3e-05	242.34	5e-05	241.42	6e-05	241.82
plei	True	1.0	41	231.4	-4e-05	284.39	7e-05	284.03	9e-05	284.19
plei	True	1.0	42	212.17	-2e-05	250.22	4e-05	250.59	5e-05	250.82
plei	True	1.0	43	232.48	-3e-05	273.56	6e-05	274.03	7e-05	274.2
plei	True	1.0	44	212.65	-3e-05	254.3	6e-05	254.96	7e-05	255.05
plei	True	1.0	45	228.17	-4e-05	283.04	0.00011	288.5	0.00011	287.99
plei	True	1.0	46	220.12	-3e-05	260.26	5e-05	264.13	6e-05	263.71
plei	True	1.0	47	240.43	-3e-05	299.88	0.0001	301.86	0.00011	302.31
plei	True	1.0	48	232.73	-3e-05	281.49	5e-05	281.07	6e-05	281.33
plei	True	1.0	49	225.4	-2e-05	260.94	5e-05	263.38	5e-05	263.07
plei	True	1.0	50	250.87	-4e-05	316.12	9e-05	317.26	0.0001	317.42
plei	True	1.0	51	217.7	-2e-05	257.85	5e-05	257.46	5e-05	257.87
plei	True	1.0	52	225.86	-3e-05	269.19	8e-05	272.01	8e-05	271.7
plei	True	1.0	53	227.38	-3e-05	268.73	6e-05	266.77	7e-05	267.42
plei	True	1.0	54	228.16	-5e-05	280.74	8e-05	285.85	9e-05	285.48
plei	True	1.0	55	214.93	-3e-05	249.29	6e-05	248.54	7e-05	249.01
plei	True	1.0	56	214.21	-3e-05	256.83	6e-05	256.53	6e-05	256.85
plei	True	1.0	57	225.63	-3e-05	279.83	8e-05	282.74	9e-05	282.59
plei	True	1.0	58	237.36	-4e-05	305.34	9e-05	303.11	0.0001	303.68
plei	True	1.0	59	237.6	-4e-05	300.75	0.0001	305.22	0.00011	304.74
plei	True	1.0	60	221.9	-3e-05	267.97	7e-05	270.54	7e-05	270.21
plei	True	1.0	61	245.77	-3e-05	308.36	9e-05	312.45	9e-05	312.17
plei	True	1.0	62	221.86	-3e-05	269.36	7e-05	270.81	7e-05	270.76
plei	True	1.0	63	237.1	-3e-05	289.92	8e-05	293.59	9e-05	293.47
plei	True	1.0	64	237.22	-4e-05	291.21	0.0001	294.78	0.00011	294.3
plei	True	1.0	65	217.46	-3e-05	261.5	5e-05	257.99	6e-05	258.79
plei	True	1.0	66	232.16	-3e-05	280.18	7e-05	281.86	8e-05	281.71
plei	True	1.0	67	228.97	-3e-05	284.55	9e-05	290.53	0.0001	290.05
plei	True	1.0	68	235.74	-4e-05	289.04	0.00011	292.07	0.00012	291.61
plei	True	1.0	69	226.73	-3e-05	271.91	6e-05	272.94	7e-05	272.94
plei	True	1.0	70	232.73	-3e-05	281.06	7e-05	282.4	8e-05	282.46
plei	True	1.0	71	218.87	-0.00401	261.03	0.1189	261.13	0.10078	262.44
plei	True	1.0	72	223.98	-4e-05	270.57	9e-05	274.47	0.0001	273.81
