model	beta	cut	rep	ll_neut	I2_stab	ll_stab	Ip_plei	ll_plei	Ip_plei_ssd	ll_plei_ssd
plei	True	1.0	0	453.19	-3e-05	620.77	0.0001	625.43	7e-05	625.13
plei	True	1.0	1	430.1	-3e-05	570.66	0.0001	580.88	7e-05	579.63
plei	True	1.0	2	424.23	-3e-05	571.81	8e-05	576.68	6e-05	576.58
plei	True	1.0	3	442.08	-3e-05	605.15	0.0001	611.58	7e-05	611.11
plei	True	1.0	4	417.71	-3e-05	563.19	9e-05	569.46	7e-05	568.78
plei	True	1.0	5	445.14	-3e-05	605.58	0.0001	614.17	7e-05	613.76
plei	True	1.0	6	423.02	-3e-05	570.93	9e-05	575.48	7e-05	575.31
plei	True	1.0	7	419.57	-3e-05	568.17	8e-05	569.03	6e-05	569.79
plei	True	1.0	8	414.41	-3e-05	553.13	9e-05	556.56	7e-05	556.83
plei	True	1.0	9	433.44	-3e-05	579.35	8e-05	583.64	6e-05	583.37
plei	True	1.0	10	425.74	-3e-05	580.89	8e-05	582.44	6e-05	583.23
plei	True	1.0	11	420.26	-3e-05	572.4	8e-05	573.98	6e-05	574.99
plei	True	1.0	12	409.03	-3e-05	544.81	9e-05	551.25	6e-05	550.8
plei	True	1.0	13	401.84	-3e-05	529.97	7e-05	531.97	5e-05	531.95
plei	True	1.0	14	420.7	-3e-05	566.17	0.0001	576.97	7e-05	575.96
plei	True	1.0	15	435.6	-3e-05	584.8	9e-05	592.82	7e-05	591.98
plei	True	1.0	16	404.28	-3e-05	533.32	7e-05	535.29	6e-05	535.85
plei	True	1.0	17	402.67	-3e-05	537.46	8e-05	538.38	6e-05	538.67
plei	True	1.0	18	419.31	-4e-05	575.26	0.00011	576.05	8e-05	576.57
plei	True	1.0	19	435.91	-4e-05	605.91	0.00013	610.89	0.0001	610.55
plei	True	1.0	20	447.41	-3e-05	607.1	0.0001	620.93	7e-05	619.43
plei	True	1.0	21	435.57	-3e-05	596.6	9e-05	596.83	6e-05	597.32
plei	True	1.0	22	424.69	-3e-05	567.35	9e-05	574.37	7e-05	573.87
plei	True	1.0	23	467.93	-4e-05	671.5	0.00013	670.09	0.0001	671.22
plei	True	1.0	24	403.31	-3e-05	526.31	8e-05	533.6	6e-05	533.05
plei	True	1.0	25	444.02	-3e-05	606.97	0.00011	616.47	8e-05	615.91
plei	True	1.0	26	438.97	-3e-05	591.94	9e-05	600.46	7e-05	599.87
plei	True	1.0	27	431.8	-3e-05	587.33	9e-05	589.77	6e-05	590.46
plei	True	1.0	28	434.61	-3e-05	588.97	8e-05	592.4	6e-05	591.97
plei	True	1.0	29	435.47	-3e-05	594.82	0.0001	601.93	7e-05	601.62
plei	True	1.0	30	410.05	-4e-05	569.09	0.0001	565.85	8e-05	567.11
plei	True	1.0	31	451.91	-4e-05	627.38	0.00012	633.93	9e-05	633.75
plei	True	1.0	32	417.98	-3e-05	560.15	8e-05	562.9	6e-05	562.4
plei	True	1.0	33	427.27	-3e-05	581.13	0.0001	586.44	8e-05	585.89
plei	True	1.0	34	449.19	-3e-05	602.74	8e-05	612.05	6e-05	611.41
plei	True	1.0	35	437.3	-3e-05	587.02	8e-05	590.12	6e-05	590.33
plei	True	1.0	36	405.07	-3e-05	545.32	8e-05	545.61	6e-05	545.91
plei	True	1.0	37	443.69	-4e-05	617.73	0.0001	620.01	7e-05	620.71
plei	True	1.0	38	439.26	-3e-05	587.57	0.0001	602.96	7e-05	601.63
plei	True	1.0	39	414.22	-3e-05	554.64	9e-05	559.25	6e-05	559.31
plei	True	1.0	40	435.78	-4e-05	607.07	0.00012	611.5	8e-05	611.97
plei	True	1.0	41	417.15	-3e-05	562.64	0.0001	569.47	7e-05	569.45
plei	True	1.0	42	440.38	-3e-05	600.22	0.0001	605.38	7e-05	605.06
plei	True	1.0	43	423.8	-3e-05	567.69	8e-05	573.18	6e-05	573.21
plei	True	1.0	44	417.89	-3e-05	552.32	9e-05	566.57	6e-05	566.13
plei	True	1.0	45	450.33	-4e-05	621.51	0.00011	630.2	8e-05	629.78
plei	True	1.0	46	408.25	-3e-05	533.37	8e-05	545.4	6e-05	544.65
plei	True	1.0	47	444.42	-3e-05	607.19	0.0001	610.23	7e-05	610.33
plei	True	1.0	48	423.87	-3e-05	563.24	8e-05	570.81	6e-05	570.4
plei	True	1.0	49	441.52	-3e-05	598.88	9e-05	604.43	7e-05	604.24
plei	True	1.0	50	432.8	-4e-05	599.14	0.0001	600.5	7e-05	600.58
plei	True	1.0	51	444.06	-3e-05	605.54	0.00011	614.54	8e-05	613.85
plei	True	1.0	52	425.4	-3e-05	562.58	7e-05	569.38	6e-05	569.82
plei	True	1.0	53	446.55	-3e-05	607.78	0.0001	615.75	7e-05	615.16
plei	True	1.0	54	446.41	-4e-05	626.92	0.00011	628.04	8e-05	628.44
plei	True	1.0	55	444.51	-3e-05	606.08	9e-05	610.29	6e-05	610.38
plei	True	1.0	56	416.8	-3e-05	562.3	9e-05	566.0	6e-05	565.94
plei	True	1.0	57	402.79	-3e-05	520.67	7e-05	528.41	5e-05	527.95
plei	True	1.0	58	444.31	-4e-05	609.83	0.00011	614.59	8e-05	614.26
plei	True	1.0	59	440.74	-3e-05	604.36	0.0001	610.27	7e-05	610.34
plei	True	1.0	60	430.69	-3e-05	572.9	9e-05	581.34	6e-05	581.16
plei	True	1.0	61	416.54	-3e-05	561.27	9e-05	567.76	7e-05	567.73
plei	True	1.0	62	449.61	-3e-05	608.79	0.0001	618.52	7e-05	617.64
plei	True	1.0	63	443.64	-3e-05	591.36	9e-05	605.2	6e-05	603.88
plei	True	1.0	64	423.87	-3e-05	569.02	9e-05	578.79	7e-05	578.02
plei	True	1.0	65	420.72	-3e-05	577.69	8e-05	574.98	6e-05	576.37
plei	True	1.0	66	426.82	-3e-05	578.22	9e-05	583.25	6e-05	583.01
plei	True	1.0	67	411.92	-3e-05	544.87	7e-05	546.36	5e-05	546.92
plei	True	1.0	68	420.92	-3e-05	566.65	9e-05	575.71	7e-05	575.29
plei	True	1.0	69	408.39	-3e-05	544.51	8e-05	544.53	6e-05	545.39
plei	True	1.0	70	416.51	-4e-05	577.37	0.00011	575.47	8e-05	575.91
plei	True	1.0	71	412.2	-3e-05	561.01	9e-05	562.77	7e-05	562.94
plei	True	1.0	72	444.3	-4e-05	611.49	0.00012	621.51	9e-05	620.68
plei	True	1.0	73	391.13	-3e-05	505.53	8e-05	516.8	6e-05	515.98
plei	True	1.0	74	419.7	-4e-05	582.29	0.00012	583.83	8e-05	584.05
plei	True	1.0	75	410.0	-2e-05	533.74	6e-05	538.07	5e-05	537.81
plei	True	1.0	76	426.03	-3e-05	579.44	9e-05	581.02	7e-05	581.2
plei	True	1.0	77	420.91	-3e-05	567.05	8e-05	571.48	6e-05	571.35
plei	True	1.0	78	417.91	-4e-05	575.62	0.0001	573.49	8e-05	573.85
plei	True	1.0	79	417.44	-3e-05	556.48	8e-05	559.95	6e-05	560.2
plei	True	1.0	80	407.81	-3e-05	530.53	7e-05	539.52	5e-05	538.88
plei	True	1.0	81	434.09	-3e-05	579.45	8e-05	585.0	6e-05	584.77
plei	True	1.0	82	420.42	-3e-05	561.07	8e-05	568.3	6e-05	567.87
plei	True	1.0	83	423.88	-3e-05	570.13	9e-05	572.99	7e-05	572.99
plei	True	1.0	84	429.89	-4e-05	594.61	0.0001	596.27	8e-05	596.1
plei	True	1.0	85	447.89	-3e-05	613.22	0.0001	620.81	7e-05	620.35
plei	True	1.0	86	441.49	-4e-05	610.72	0.0001	613.24	8e-05	613.0
plei	True	1.0	87	420.72	-3e-05	555.71	8e-05	564.13	6e-05	563.42
