model	beta	cut	rep	ll_neut	I2_stab	ll_stab	Ip_plei	ll_plei	Ip_plei_ssd	ll_plei_ssd
stab	True	1.0	0	270.39	-0.00011	343.05	0.00039	342.82	0.00037	343.01
stab	True	1.0	1	256.22	-0.00011	330.06	0.00036	327.5	0.00035	328.19
stab	True	1.0	2	262.13	-0.00012	347.35	0.0004	345.07	0.00039	345.55
stab	True	1.0	3	253.39	-0.0001	312.44	0.0003	310.5	0.00031	310.97
stab	True	1.0	4	264.1	-0.0001	331.35	0.00031	329.96	0.00031	330.45
stab	True	1.0	5	259.79	-8e-05	325.31	0.00026	324.9	0.00025	325.03
stab	True	1.0	6	255.62	-8e-05	308.76	0.00021	306.8	0.00021	307.43
stab	True	1.0	7	259.33	-0.0001	327.93	0.0003	326.29	0.00028	326.78
stab	True	1.0	8	248.06	-9e-05	310.91	0.00026	308.51	0.00027	309.09
stab	True	1.0	9	243.15	-7e-05	283.38	0.00019	283.77	0.0002	283.76
stab	True	1.0	10	262.61	-9e-05	326.8	0.00029	327.49	0.00029	327.53
stab	True	1.0	11	251.85	-0.0001	338.8	0.00039	338.7	0.00037	338.95
stab	True	1.0	12	270.23	-9e-05	326.27	0.00025	325.09	0.00025	325.67
stab	True	1.0	13	253.76	-9e-05	321.88	0.00027	319.86	0.00028	320.4
stab	True	1.0	14	255.14	-0.0001	328.95	0.00028	324.98	0.00028	325.91
stab	True	1.0	15	256.61	-0.0001	333.54	0.00033	334.21	0.00032	334.3
stab	True	1.0	16	261.41	-9e-05	326.84	0.00029	325.66	0.00029	326.16
stab	True	1.0	17	265.64	-0.0001	346.56	0.00037	345.47	0.00035	345.99
stab	True	1.0	18	258.0	-0.0001	331.42	0.00031	329.46	0.00032	330.02
stab	True	1.0	19	249.29	-9e-05	309.64	0.00031	311.39	0.0003	311.21
stab	True	1.0	20	258.56	-7e-05	306.91	0.00019	304.5	0.00019	305.01
stab	True	1.0	21	273.99	-0.0001	353.81	0.00036	353.76	0.00035	353.9
stab	True	1.0	22	257.69	-0.0001	328.9	0.00033	328.0	0.00033	328.3
stab	True	1.0	23	252.11	-9e-05	313.62	0.00026	312.31	0.00026	312.75
stab	True	1.0	24	275.19	-0.0001	353.29	0.00031	351.02	0.00032	351.65
stab	True	1.0	25	273.74	-9e-05	339.4	0.00029	339.02	0.00029	339.27
stab	True	1.0	26	240.55	-9e-05	307.64	0.00026	305.96	0.00026	306.44
stab	True	1.0	27	274.68	-9e-05	343.4	0.00028	342.97	0.00028	343.18
stab	True	1.0	28	266.09	-9e-05	337.68	0.0003	336.34	0.00029	336.85
stab	True	1.0	29	262.71	-0.0001	340.5	0.00033	339.01	0.00033	339.42
stab	True	1.0	30	258.06	-0.00013	356.11	0.0005	352.84	0.00048	353.44
stab	True	1.0	31	250.7	-8e-05	300.74	0.00022	300.2	0.00022	300.28
stab	True	1.0	32	275.67	-0.0001	345.13	0.00029	343.39	0.00029	343.9
stab	True	1.0	33	256.0	-0.0001	321.07	0.0003	320.22	0.00029	320.52
stab	True	1.0	34	249.92	-8e-05	312.6	0.00026	312.43	0.00026	312.58
stab	True	1.0	35	273.03	-0.0001	351.5	0.00034	349.43	0.00033	349.88
stab	True	1.0	36	260.14	-9e-05	329.18	0.00024	325.86	0.00024	326.67
stab	True	1.0	37	262.26	-0.0001	331.97	0.00033	331.44	0.00032	331.62
stab	True	1.0	38	268.89	-8e-05	324.77	0.00022	323.98	0.00023	324.35
stab	True	1.0	39	266.66	-0.00012	346.8	0.00043	346.26	0.00041	346.53
