model	beta	cut	rep	ll_neut	I2_stab	ll_stab	Ip_plei	ll_plei	Ip_plei_ssd	ll_plei_ssd
stab	True	1.0	0	453.51	-0.0001	718.73	0.00044	714.28	0.00028	714.63
stab	True	1.0	1	441.24	-0.00011	700.56	0.0005	697.88	0.00032	698.35
stab	True	1.0	2	441.41	-8e-05	668.21	0.00033	662.52	0.00023	663.49
stab	True	1.0	3	462.87	-0.0001	734.89	0.00043	733.72	0.00028	734.36
stab	True	1.0	4	419.42	-9e-05	639.52	0.00039	636.65	0.00026	637.29
stab	True	1.0	5	448.29	-0.00011	712.37	0.00047	708.08	0.0003	708.73
stab	True	1.0	6	460.14	-0.0001	728.13	0.00044	724.83	0.00028	725.67
stab	True	1.0	7	442.39	-0.0001	696.58	0.00045	693.74	0.00029	694.47
stab	True	1.0	8	441.77	-0.00011	704.53	0.00051	705.96	0.00032	706.43
stab	True	1.0	9	442.01	-0.0001	699.45	0.00046	697.97	0.0003	697.81
stab	True	1.0	10	450.99	-0.00011	727.93	0.00052	721.61	0.00034	722.7
stab	True	1.0	11	463.76	-0.0001	738.9	0.00047	735.56	0.00031	735.87
stab	True	1.0	12	440.59	-0.0001	695.42	0.00046	691.12	0.0003	691.53
stab	True	1.0	13	461.84	-0.0001	731.12	0.00046	728.72	0.0003	729.28
stab	True	1.0	14	473.4	-0.00011	762.43	0.00054	758.98	0.00034	760.04
stab	True	1.0	15	440.56	-0.0001	691.91	0.00043	687.61	0.00028	688.38
stab	True	1.0	16	455.5	-9e-05	702.2	0.0004	702.61	0.00027	703.4
stab	True	1.0	17	466.64	-0.00011	753.01	0.00054	752.62	0.00035	752.47
stab	True	1.0	18	426.47	-0.0001	669.29	0.00046	670.33	0.0003	670.57
stab	True	1.0	19	451.29	-0.0001	710.08	0.00042	704.98	0.00027	705.64
stab	True	1.0	20	452.93	-0.0001	716.54	0.00044	714.73	0.00029	715.15
stab	True	1.0	21	442.99	-0.00011	693.7	0.00048	689.68	0.00032	690.49
stab	True	1.0	22	443.27	-0.00011	707.29	0.00051	705.45	0.00034	706.32
stab	True	1.0	23	456.81	-0.0001	723.76	0.00048	721.43	0.0003	721.95
stab	True	1.0	24	426.68	-9e-05	654.07	0.0004	650.9	0.00026	651.29
stab	True	1.0	25	455.31	-0.00011	720.72	0.00048	718.66	0.00032	719.67
stab	True	1.0	26	435.05	-9e-05	667.55	0.00038	666.01	0.00025	666.57
stab	True	1.0	27	432.8	-9e-05	675.4	0.00039	673.28	0.00026	673.75
stab	True	1.0	28	425.96	-9e-05	661.77	0.00039	655.26	0.00027	656.39
stab	True	1.0	29	458.89	-0.00011	730.06	0.00048	726.44	0.00031	727.2
stab	True	1.0	30	446.16	-0.0001	689.93	0.00042	686.35	0.00028	687.12
stab	True	1.0	31	455.29	-0.0001	720.71	0.00047	719.73	0.0003	719.92
stab	True	1.0	32	419.59	-9e-05	627.56	0.00034	624.93	0.00022	625.62
stab	True	1.0	33	446.83	-0.0001	701.51	0.00044	698.25	0.00029	698.72
stab	True	1.0	34	444.77	-0.0001	697.36	0.00045	696.12	0.00029	696.73
stab	True	1.0	35	439.12	-0.0001	690.88	0.00045	687.39	0.00028	688.06
stab	True	1.0	36	458.06	-0.0001	726.33	0.00049	727.28	0.00031	727.82
stab	True	1.0	37	441.37	-0.0001	693.64	0.00045	690.5	0.00029	691.27
stab	True	1.0	38	445.77	-0.00011	702.5	0.00049	698.97	0.00032	699.34
stab	True	1.0	39	424.56	-8e-05	637.81	0.00033	635.78	0.00023	636.35
stab	True	1.0	40	446.38	-9e-05	694.73	0.0004	695.64	0.00026	695.89
stab	True	1.0	41	432.1	-0.0001	665.56	0.00041	661.97	0.00028	662.9
stab	True	1.0	42	453.68	-0.0001	714.14	0.00044	709.92	0.00029	710.93
stab	True	1.0	43	458.62	-0.0001	729.57	0.00048	729.22	0.00032	730.01
stab	True	1.0	44	448.14	-0.0001	694.19	0.00046	695.96	0.0003	695.65
stab	True	1.0	45	434.21	-0.0001	684.4	0.00042	679.04	0.00027	679.92
stab	True	1.0	46	449.45	-0.0001	708.05	0.00045	709.55	0.00029	709.49
stab	True	1.0	47	426.22	-9e-05	669.87	0.00041	666.96	0.00027	667.42
stab	True	1.0	48	464.9	-0.00011	759.76	0.00053	755.14	0.00033	755.79
stab	True	1.0	49	439.98	-0.0001	692.6	0.00042	690.63	0.00028	690.78
stab	True	1.0	50	431.57	-9e-05	660.44	0.0004	655.66	0.00026	656.22
stab	True	1.0	51	449.23	-0.0001	717.29	0.00046	711.89	0.0003	713.07
stab	True	1.0	52	433.69	-0.0001	677.24	0.00043	674.63	0.00028	674.84
stab	True	1.0	53	445.18	-9e-05	690.0	0.00041	688.28	0.00027	689.28
stab	True	1.0	54	435.79	-0.0001	680.58	0.00047	677.52	0.00029	677.9
stab	True	1.0	55	431.48	-9e-05	656.8	0.00037	656.2	0.00026	656.05
stab	True	1.0	56	450.32	-0.0001	708.73	0.00045	710.66	0.00029	710.54
stab	True	1.0	57	460.03	-0.00011	741.78	0.00049	737.53	0.00032	738.6
stab	True	1.0	58	452.02	-0.0001	709.89	0.00045	711.2	0.00029	711.49
stab	True	1.0	59	438.29	-0.0001	687.81	0.00044	685.89	0.00027	686.52
stab	True	1.0	60	455.95	-0.0001	723.28	0.00044	719.75	0.00029	720.44
stab	True	1.0	61	439.59	-9e-05	683.2	0.00039	681.15	0.00026	681.98
stab	True	1.0	62	448.94	-9e-05	700.85	0.00039	698.02	0.00025	698.58
stab	True	1.0	63	429.01	-0.0001	670.87	0.00046	666.96	0.0003	667.59
stab	True	1.0	64	438.57	-8e-05	669.13	0.00034	668.02	0.00023	668.66
stab	True	1.0	65	440.67	-0.0001	690.65	0.00043	685.16	0.00028	685.63
stab	True	1.0	66	443.7	-0.00011	693.74	0.00053	695.06	0.00035	695.22
stab	True	1.0	67	457.79	-0.00011	728.44	0.00051	725.42	0.00034	726.42
stab	True	1.0	68	442.58	-0.00011	700.19	0.00048	696.3	0.00032	696.44
stab	True	1.0	69	457.11	-0.0001	728.16	0.00047	725.86	0.00031	726.62
stab	True	1.0	70	458.18	-0.00011	733.1	0.00053	732.35	0.00035	732.81
stab	True	1.0	71	435.75	-0.00011	695.53	0.0005	692.02	0.00033	692.95
stab	True	1.0	72	442.56	-9e-05	672.43	0.00037	670.99	0.00024	671.33
stab	True	1.0	73	462.67	-0.0001	737.11	0.00046	733.5	0.00029	734.12
stab	True	1.0	74	432.59	-9e-05	660.22	0.00038	655.86	0.00025	656.6
stab	True	1.0	75	452.14	-0.0001	712.11	0.00044	708.68	0.00029	709.15
stab	True	1.0	76	427.32	-9e-05	654.75	0.00039	655.41	0.00026	655.58
stab	True	1.0	77	457.34	-0.0001	722.56	0.00045	721.48	0.0003	721.87
stab	True	1.0	78	470.54	-0.00012	766.01	0.00057	764.67	0.00035	764.95
stab	True	1.0	79	431.87	-0.0001	671.03	0.00043	669.4	0.00028	669.64
stab	True	1.0	80	449.21	-9e-05	709.44	0.00041	705.05	0.00027	705.67
stab	True	1.0	81	463.47	-0.00011	748.54	0.00046	743.0	0.0003	743.94
stab	True	1.0	82	418.32	-8e-05	630.34	0.00035	633.76	0.00023	633.97
stab	True	1.0	83	450.05	-0.0001	705.69	0.00042	705.32	0.00029	705.81
stab	True	1.0	84	447.45	-0.00011	703.25	0.00049	701.09	0.00033	701.05
stab	True	1.0	85	460.81	-0.0001	736.99	0.00049	736.12	0.00032	736.26
stab	True	1.0	86	422.24	-9e-05	647.7	0.00036	645.57	0.00025	645.81
stab	True	1.0	87	432.34	-9e-05	668.36	0.00038	663.65	0.00025	664.46
stab	True	1.0	88	450.77	-0.00011	714.24	0.00048	709.9	0.00031	710.82
stab	True	1.0	89	452.5	-0.0001	701.9	0.00041	700.91	0.00027	701.68
stab	True	1.0	90	439.96	-9e-05	690.23	0.00042	687.0	0.00028	687.49
stab	True	1.0	91	462.13	-0.0001	735.37	0.00046	731.14	0.0003	731.75
stab	True	1.0	92	473.08	-0.00011	759.42	0.00051	757.45	0.00032	757.32
stab	True	1.0	93	427.33	-0.0001	668.55	0.00041	667.84	0.00027	668.13
stab	True	1.0	94	452.51	-0.00011	723.44	0.00046	720.33	0.0003	720.37
stab	True	1.0	95	448.22	-0.00011	713.86	0.00052	714.36	0.00034	714.8
stab	True	1.0	96	452.18	-0.0001	714.04	0.00046	711.29	0.0003	711.79
stab	True	1.0	97	420.88	-9e-05	650.1	0.00037	646.07	0.00026	647.08
stab	True	1.0	98	452.07	-0.0001	715.97	0.00044	712.8	0.00029	713.42
stab	True	1.0	99	462.84	-0.0001	724.32	0.00045	726.79	0.00029	727.55
stab	True	3.0	0	475.38	-0.0001	889.04	0.00099	887.76	0.00055	887.25
stab	True	3.0	1	466.8	-9e-05	826.3	0.00075	824.05	0.00043	823.89
stab	True	3.0	2	476.98	-0.0001	908.45	0.00096	907.16	0.00054	906.77
stab	True	3.0	3	470.77	-9e-05	843.04	0.00078	843.79	0.00044	844.05
stab	True	3.0	4	474.07	-0.0001	854.92	0.00091	856.13	0.00054	855.88
stab	True	3.0	5	455.81	-0.0001	822.31	0.00091	826.08	0.00052	825.42
stab	True	3.0	6	469.97	-0.0001	860.6	0.00088	858.86	0.0005	859.15
stab	True	3.0	7	465.82	-0.00011	888.73	0.00105	885.3	0.0006	885.59
stab	True	3.0	8	466.29	-0.0001	872.47	0.00089	869.19	0.00053	868.88
stab	True	3.0	9	450.94	-0.00011	824.77	0.00098	825.47	0.00056	825.79
stab	True	3.0	10	474.45	-9e-05	865.1	0.00079	863.34	0.00045	863.31
stab	True	3.0	11	451.2	-9e-05	795.68	0.00073	791.5	0.00044	791.98
stab	True	3.0	12	441.67	-0.0001	801.14	0.00086	802.86	0.00049	802.44
stab	True	3.0	13	462.39	-0.0001	841.56	0.00088	840.67	0.0005	840.37
stab	True	3.0	14	466.18	-0.00011	855.01	0.00103	853.78	0.00058	853.41
stab	True	3.0	15	468.49	-0.0001	866.88	0.00091	864.43	0.00054	864.32
stab	True	3.0	16	462.53	-0.0001	823.78	0.00086	823.11	0.00049	823.6
stab	True	3.0	17	481.58	-0.00011	908.73	0.00104	910.28	0.00059	909.9
stab	True	3.0	18	453.35	-0.0001	835.05	0.00097	835.21	0.00055	835.02
stab	True	3.0	19	483.3	-0.00011	906.29	0.00108	908.45	0.00061	907.84
stab	True	3.0	20	472.29	-0.0001	862.64	0.00095	861.7	0.00054	861.69
stab	True	3.0	21	448.88	-0.0001	801.62	0.00091	800.59	0.00051	800.64
stab	True	3.0	22	448.93	-0.0001	830.68	0.00091	828.38	0.00054	829.15
stab	True	3.0	23	459.22	-0.0001	833.64	0.00089	832.34	0.00053	832.92
stab	True	3.0	24	460.94	-0.0001	825.55	0.00095	825.32	0.00054	825.24
stab	True	3.0	25	459.29	-0.0001	842.21	0.00088	840.01	0.00052	840.21
stab	True	3.0	26	460.73	-0.0001	848.17	0.00096	847.6	0.00054	848.13
stab	True	3.0	27	461.35	-0.00011	857.31	0.00109	856.73	0.00061	856.61
stab	True	3.0	28	450.98	-9e-05	800.18	0.00077	798.12	0.00046	798.74
stab	True	3.0	29	464.09	-0.0001	835.68	0.00085	834.68	0.00048	834.91
stab	True	3.0	30	472.1	-0.00012	901.23	0.0011	897.73	0.00062	897.03
stab	True	3.0	31	468.59	-9e-05	827.56	0.0008	825.64	0.00045	826.14
stab	True	3.0	32	441.17	-9e-05	790.01	0.0007	788.22	0.00042	788.88
stab	True	3.0	33	484.95	-0.00011	885.33	0.00101	884.42	0.00057	884.36
stab	True	3.0	34	474.18	-0.0001	879.58	0.00093	876.09	0.00053	875.82
stab	True	3.0	35	475.95	-0.0001	866.48	0.00089	867.54	0.0005	867.36
stab	True	3.0	36	481.3	-0.00011	898.66	0.00107	897.53	0.00061	897.93
stab	True	3.0	37	446.38	-0.0001	795.35	0.00081	793.72	0.00048	794.2
stab	True	3.0	38	463.57	-9e-05	810.31	0.00077	807.98	0.00046	808.57
stab	True	3.0	39	486.16	-0.0001	886.13	0.00094	885.4	0.00053	885.56
stab	True	3.0	40	455.36	-9e-05	817.52	0.00079	814.48	0.00047	814.63
stab	True	3.0	41	463.71	-0.0001	847.39	0.00088	846.5	0.0005	846.15
stab	True	3.0	42	466.47	-0.0001	835.11	0.00088	834.95	0.00053	835.27
stab	True	3.0	43	457.11	-0.00011	847.89	0.001	845.64	0.00056	845.83
