trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	dir	hat	1e-08	0	0	2.8408768082180875e-05			84.75	-0.00085	84.98	-1e-05	84.77	0.00037	85.0
IBD	dir	hat	1e-08	0	1	2.8408768082180875e-05			81.62	-0.0	81.62	-3e-05	81.9	0.0	81.62
IBD	dir	hat	1e-08	0	2	2.8408768082180875e-05			84.24	-0.00084	84.76	9e-05	87.3	0.00122	85.49
IBD	dir	hat	1e-08	1	0	3.6200582541764703e-05			81.05	-0.0	81.04	5e-05	82.12	0.0	81.05
IBD	dir	hat	1e-08	1	1	3.6200582541764703e-05			78.19	-0.00064	78.45	3e-05	78.63	0.00018	78.38
IBD	dir	hat	1e-08	1	2	3.6200582541764703e-05			80.26	-0.0	80.26	0.00013	85.59	0.0	80.27
IBD	dir	hat	1e-08	2	0	4.612949680085227e-05			97.24	-0.0047	102.89	8e-05	99.3	0.00796	103.1
IBD	dir	hat	1e-08	2	1	4.612949680085227e-05			89.39	-0.00221	91.71	0.00022	103.61	0.00231	91.42
IBD	dir	hat	1e-08	2	2	4.612949680085227e-05			86.88	-0.0	86.88	8e-05	89.22	0.0	86.87
IBD	dir	hat	1e-08	3	0	5.878166387639883e-05			90.08	-0.00103	90.55	0.00015	96.73	0.00079	90.74
IBD	dir	hat	1e-08	3	1	5.878166387639883e-05			76.84	-0.0	76.84	0.00011	81.94	0.0	76.84
IBD	dir	hat	1e-08	3	2	5.878166387639883e-05			80.02	-0.00077	80.55	0.00011	85.73	0.00051	80.66
IBD	dir	hat	1e-08	4	0	7.49040038957046e-05			88.0	-0.00137	89.17	4e-05	88.62	0.00112	89.23
IBD	dir	hat	1e-08	4	1	7.49040038957046e-05			86.16	-0.00151	87.82	0.00023	103.06	0.00179	88.3
IBD	dir	hat	1e-08	4	2	7.49040038957046e-05			92.47	-0.0024	95.86	0.00015	101.65	0.00329	96.12
IBD	dir	hat	1e-08	5	0	9.544829849330632e-05			91.05	-0.00132	92.39	0.0002	103.84	0.00113	92.31
IBD	dir	hat	1e-08	5	1	9.544829849330632e-05			90.07	-0.00151	91.31	0.00012	95.77	0.00203	92.25
IBD	dir	hat	1e-08	5	2	9.544829849330632e-05			87.66	-0.00253	89.85	0.0002	99.49	0.00291	89.92
IBD	dir	hat	1e-08	6	0	0.00012162737919794646			79.81	-0.0	79.81	0.00024	96.09	0.0	79.8
IBD	dir	hat	1e-08	6	1	0.00012162737919794646			86.99	-0.00242	89.31	0.00023	104.38	0.00354	90.47
IBD	dir	hat	1e-08	6	2	0.00012162737919794646			85.68	-0.00465	93.52	0.00025	106.5	0.00687	92.72
IBD	dir	hat	1e-08	7	0	0.00015498672688857282			79.38	-0.00171	81.5	0.00021	96.24	0.0021	82.06
IBD	dir	hat	1e-08	7	1	0.00015498672688857282			84.69	-0.00281	87.57	0.00031	110.3	0.00471	88.89
IBD	dir	hat	1e-08	7	2	0.00015498672688857282			89.88	-0.00415	96.18	0.00028	112.71	0.00634	95.68
IBD	dir	hat	1e-08	8	0	0.00019749570919011156			86.14	-0.0028	90.12	0.00039	121.64	0.0034	89.89
IBD	dir	hat	1e-08	8	1	0.00019749570919011156			94.31	-0.00593	101.12	0.00039	128.46	0.0107	102.24
IBD	dir	hat	1e-08	8	2	0.00019749570919011156			83.63	-0.00175	84.96	0.00033	108.99	0.00127	84.61
IBD	dir	hat	1e-08	9	0	0.00025166384200465963			97.01	-0.00987	112.83	0.00061	155.0	0.0255	113.52
