trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	plei	hat	1e-08	0	0			0.00016141162078942795	74.91	-0.00219	76.96	3e-05	75.39	0.00178	76.66
IBD	plei	hat	1e-08	0	1			0.00016141162078942795	82.1	-1e-05	82.1	-0.0	82.1	0.0	82.09
IBD	plei	hat	1e-08	0	2			0.00016141162078942795	86.2	-0.00159	87.13	1e-05	86.26	0.00065	86.66
IBD	plei	hat	1e-08	1	0			0.00017399918618662266	80.27	-0.0	80.27	2e-05	80.43	2e-05	80.3
IBD	plei	hat	1e-08	1	1			0.00017399918618662266	85.47	-0.00031	85.53	4e-05	86.04	0.00022	85.69
IBD	plei	hat	1e-08	1	2			0.00017399918618662266	88.52	-0.0007	88.91	4e-05	89.08	0.00045	89.05
IBD	plei	hat	1e-08	2	0			0.00018756838352489914	80.98	-0.00144	82.05	3e-05	81.43	0.0011	81.99
IBD	plei	hat	1e-08	2	1			0.00018756838352489914	79.13	-0.00197	80.6	-2e-05	79.27	0.00291	81.54
IBD	plei	hat	1e-08	2	2			0.00018756838352489914	79.15	-0.0	79.15	-9e-05	82.45	0.0	79.14
IBD	plei	hat	1e-08	3	0			0.00020219576464230876	83.95	-0.00225	86.58	-3e-05	84.47	0.00293	87.28
IBD	plei	hat	1e-08	3	1			0.00020219576464230876	91.05	-0.00243	94.14	-3e-05	91.55	0.00399	94.93
IBD	plei	hat	1e-08	3	2			0.00020219576464230876	79.08	-0.00011	79.09	0.0	79.09	3e-05	79.1
IBD	plei	hat	1e-08	4	0			0.0002179638512151535	86.03	-0.0013	87.23	-7e-05	88.07	0.00129	87.37
IBD	plei	hat	1e-08	4	1			0.0002179638512151535	81.81	-0.00017	81.83	1e-05	81.86	0.00017	81.98
IBD	plei	hat	1e-08	4	2			0.0002179638512151535	96.0	-0.00102	96.77	-7e-05	98.02	0.00092	97.15
IBD	plei	hat	1e-08	5	0			0.00023496160031138746	79.99	-0.00219	82.08	3e-05	80.3	0.00182	81.62
IBD	plei	hat	1e-08	5	1			0.00023496160031138746	93.06	-0.00102	94.16	-7e-05	95.17	0.00084	94.14
IBD	plei	hat	1e-08	5	2			0.00023496160031138746	81.38	-0.00033	81.42	-0.0	81.38	0.00019	81.51
IBD	plei	hat	1e-08	6	0			0.00025328490624985846	79.86	-0.0011	80.81	1e-05	79.92	0.0005	80.39
IBD	plei	hat	1e-08	6	1			0.00025328490624985846	85.05	-0.00161	86.54	-3e-05	85.32	0.00148	86.41
IBD	plei	hat	1e-08	6	2			0.00025328490624985846	72.9	-0.00135	73.81	1e-05	72.96	0.00176	74.53
IBD	plei	hat	1e-08	7	0			0.00027303714159666593	85.47	-0.00083	85.78	2e-05	85.72	0.00051	85.93
IBD	plei	hat	1e-08	7	1			0.00027303714159666593	89.92	-0.00269	93.24	-4e-05	90.52	0.00391	93.48
IBD	plei	hat	1e-08	7	2			0.00027303714159666593	92.6	-0.00024	92.63	1e-05	92.64	0.00021	92.77
IBD	plei	hat	1e-08	8	0			0.00029432974035072194	84.56	-0.00145	85.75	-2e-05	84.84	0.00143	86.1
IBD	plei	hat	1e-08	8	1			0.00029432974035072194	84.19	-0.00129	84.65	6e-05	85.55	0.00201	85.46
IBD	plei	hat	1e-08	8	2			0.00029432974035072194	90.62	-0.0	90.62	6e-05	91.72	0.0002	90.72
IBD	plei	hat	1e-08	9	0			0.00031728282660860286	80.06	-0.00061	80.44	3e-05	80.61	0.00037	80.53
IBD	plei	hat	1e-08	9	1			0.00031728282660860286	89.93	-0.0031	93.79	-3e-05	90.26	0.004	93.57
IBD	plei	hat	1e-08	9	2			0.00031728282660860286	83.07	-0.0015	83.92	2e-05	83.26	0.00144	84.26
IBD	plei	hat	1e-08	10	0			0.00034202589225536175	82.1	-0.00013	82.11	4e-05	82.84	0.0	82.11
IBD	plei	hat	1e-08	10	1			0.00034202589225536175	88.01	-0.00507	93.02	-6e-05	89.02	0.00795	92.94
IBD	plei	hat	1e-08	10	2			0.00034202589225536175	81.45	-0.00205	83.74	-3e-05	81.93	0.00198	83.61
IBD	plei	hat	1e-08	11	0			0.0003686985275045599	88.28	-0.00456	92.95	9e-05	91.13	0.00732	93.37
IBD	plei	hat	1e-08	11	1			0.0003686985275045599	81.93	-0.0	81.93	-5e-05	82.6	0.0	81.93
IBD	plei	hat	1e-08	11	2			0.0003686985275045599	92.39	-0.00012	92.39	-0.0	92.39	0.0	92.39
IBD	plei	hat	1e-08	12	0			0.000397451208408914	92.92	-0.00349	98.1	-0.00012	99.54	0.00523	98.46
IBD	plei	hat	1e-08	12	1			0.000397451208408914	84.67	-0.0015	86.17	-3e-05	85.06	0.00136	86.22
IBD	plei	hat	1e-08	12	2			0.000397451208408914	78.09	-0.00214	80.67	2e-05	78.23	0.00199	80.4
IBD	plei	hat	1e-08	13	0			0.0004284461457843834	75.01	-0.00063	75.25	1e-05	75.03	0.00031	75.3
IBD	plei	hat	1e-08	13	1			0.0004284461457843834	85.8	-0.00076	86.15	2e-05	85.92	0.00087	86.62
IBD	plei	hat	1e-08	13	2			0.0004284461457843834	78.55	-0.00191	80.87	-3e-05	79.02	0.00181	80.78
IBD	plei	hat	1e-08	14	0			0.0004618582003369647	85.01	-0.00195	86.74	-2e-05	85.11	0.00191	86.68
IBD	plei	hat	1e-08	14	1			0.0004618582003369647	83.21	-0.00055	83.38	-5e-05	84.34	9e-05	83.3
IBD	plei	hat	1e-08	14	2			0.0004618582003369647	87.0	-0.00163	88.12	0.0	87.0	0.00155	88.23
IBD	plei	hat	1e-08	15	0			0.0004978758691549769	73.64	-0.0	73.64	4e-05	74.24	0.0	73.64
IBD	plei	hat	1e-08	15	1			0.0004978758691549769	88.44	-0.00192	90.32	-6e-05	90.02	0.00236	90.84
IBD	plei	hat	1e-08	15	2			0.0004978758691549769	84.98	-0.00084	85.4	-2e-05	85.24	0.00102	86.09
IBD	plei	hat	1e-08	16	0			0.0005367023491322102	92.09	-0.00386	97.26	-5e-05	93.06	0.00542	96.96
IBD	plei	hat	1e-08	16	1			0.0005367023491322102	77.28	-0.0	77.28	3e-05	77.74	1e-05	77.28
IBD	plei	hat	1e-08	16	2			0.0005367023491322102	73.47	-0.0004	73.54	-5e-05	74.46	0.0	73.48
IBD	plei	hat	1e-08	17	0			0.0005785566833213395	83.69	-0.00169	85.55	4e-05	84.5	0.00199	86.01
IBD	plei	hat	1e-08	17	1			0.0005785566833213395	86.98	-0.00142	87.86	6e-05	88.3	0.00213	88.71
IBD	plei	hat	1e-08	17	2			0.0005785566833213395	86.62	-0.00278	87.95	-7e-05	87.95	0.00311	88.33
IBD	plei	hat	1e-08	18	0			0.0006236749966848617	84.35	-0.00118	85.07	1e-05	84.44	0.00108	85.35
IBD	plei	hat	1e-08	18	1			0.0006236749966848617	90.98	-0.00158	92.06	7e-05	92.84	0.00105	91.83
IBD	plei	hat	1e-08	18	2			0.0006236749966848617	76.41	-0.00226	79.12	-4e-05	77.05	0.00252	79.04
IBD	plei	hat	1e-08	19	0			0.0006723118282151488	95.27	-0.00329	98.74	-1e-05	95.32	0.00431	99.28
IBD	plei	hat	1e-08	19	1			0.0006723118282151488	81.35	-0.00115	82.97	3e-05	81.78	0.00079	82.5
IBD	plei	hat	1e-08	19	2			0.0006723118282151488	83.04	-0.00058	83.24	2e-05	83.15	0.00027	83.27
IBD	plei	hat	1e-08	20	0			0.0007247415669388932	79.4	-0.0	79.4	-4e-05	79.85	0.0	79.4
