trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	stab	hat	1e-08	0	0		0.00016141162078942795		80.34	-0.0	80.33	-3e-05	80.74	0.0	80.34
IBD	stab	hat	1e-08	0	1		0.00016141162078942795		82.54	-0.00105	83.05	3e-05	82.91	0.00079	83.17
IBD	stab	hat	1e-08	0	2		0.00016141162078942795		90.31	-0.00114	91.1	-8e-05	93.01	0.0005	90.82
IBD	stab	hat	1e-08	1	0		0.00017307639022406365		74.45	-0.00012	74.46	1e-05	74.49	0.0	74.45
IBD	stab	hat	1e-08	1	1		0.00017307639022406365		84.28	-0.00086	84.85	-7e-05	86.31	0.00031	84.66
IBD	stab	hat	1e-08	1	2		0.00017307639022406365		74.7	-0.0	74.7	-1e-05	74.74	0.0	74.7
IBD	stab	hat	1e-08	2	0		0.00018558414014113137		85.03	-0.00074	85.19	5e-05	85.74	0.00096	85.62
IBD	stab	hat	1e-08	2	1		0.00018558414014113137		78.59	-0.00056	78.92	1e-05	78.66	0.00017	78.79
IBD	stab	hat	1e-08	2	2		0.00018558414014113137		72.24	-0.0	72.24	3e-05	72.61	0.0	72.24
IBD	stab	hat	1e-08	3	0		0.00019899579039830544		80.83	-0.0	80.83	-5e-05	81.69	0.0	80.83
IBD	stab	hat	1e-08	3	1		0.00019899579039830544		79.02	-0.0	79.01	-6e-05	80.44	0.0	79.01
IBD	stab	hat	1e-08	3	2		0.00019899579039830544		87.83	-0.00181	88.91	-1e-05	87.87	0.0016	88.97
IBD	stab	hat	1e-08	4	0		0.0002133766633621395		89.6	-0.0	89.6	2e-05	89.82	5e-05	89.64
IBD	stab	hat	1e-08	4	1		0.0002133766633621395		81.21	-0.0	81.21	9e-05	84.34	0.00012	81.33
IBD	stab	hat	1e-08	4	2		0.0002133766633621395		88.94	-0.0013	89.52	-2e-05	89.13	0.00239	90.48
IBD	stab	hat	1e-08	5	0		0.00022879680206515325		79.97	-0.00032	80.01	-2e-05	80.14	9e-05	80.03
IBD	stab	hat	1e-08	5	1		0.00022879680206515325		80.29	-0.00189	81.81	-3e-05	80.6	0.00105	81.26
IBD	stab	hat	1e-08	5	2		0.00022879680206515325		89.92	-0.00119	91.12	-2e-05	90.23	0.0011	91.31
IBD	stab	hat	1e-08	6	0		0.00024533131135524763		79.8	-0.00048	79.93	-3e-05	80.13	0.00019	79.97
IBD	stab	hat	1e-08	6	1		0.00024533131135524763		86.52	-0.00132	87.01	-6e-05	87.64	0.00194	87.77
IBD	stab	hat	1e-08	6	2		0.00024533131135524763		75.94	-0.00017	75.96	1e-05	76.02	2e-05	75.97
IBD	stab	hat	1e-08	7	0		0.00026306072369904103		89.15	-0.0	89.15	3e-05	89.46	0.0	89.15
IBD	stab	hat	1e-08	7	1		0.00026306072369904103		83.56	-0.0023	85.94	-0.0	83.56	0.00296	86.04
IBD	stab	hat	1e-08	7	2		0.00026306072369904103		81.08	-0.0	81.08	-3e-05	81.35	4e-05	81.12
IBD	stab	hat	1e-08	8	0		0.00028207139142079617		76.78	-0.0	76.78	1e-05	76.84	0.0	76.78
IBD	stab	hat	1e-08	8	1		0.00028207139142079617		83.2	-0.00095	83.91	-0.0	83.2	0.00056	83.75
IBD	stab	hat	1e-08	8	2		0.00028207139142079617		82.39	-0.0011	83.29	2e-05	82.59	0.00126	83.75
IBD	stab	hat	1e-08	9	0		0.00030245590728736365		83.29	-0.0	83.29	3e-05	83.61	4e-05	83.33
IBD	stab	hat	1e-08	9	1		0.00030245590728736365		84.55	-0.00123	85.55	0.0	84.55	0.00105	85.68
IBD	stab	hat	1e-08	9	2		0.00030245590728736365		92.69	-0.00123	93.34	-2e-05	92.79	0.00161	93.92
IBD	stab	hat	1e-08	10	0		0.0003243135554876333		87.26	-0.00133	88.28	-6e-05	88.56	0.00119	88.31
IBD	stab	hat	1e-08	10	1		0.0003243135554876333		94.72	-0.00281	97.72	-0.0001	98.22	0.00512	98.98
IBD	stab	hat	1e-08	10	2		0.0003243135554876333		88.57	-0.0	88.57	-7e-05	90.12	0.0	88.59
IBD	stab	hat	1e-08	11	0		0.00034775079520301533		97.43	-0.00144	98.63	-3e-05	97.96	0.00146	98.88
IBD	stab	hat	1e-08	11	1		0.00034775079520301533		82.92	-0.00116	83.44	-3e-05	83.32	0.00115	83.86
IBD	stab	hat	1e-08	11	2		0.00034775079520301533		84.27	-0.0	84.27	3e-05	84.68	0.0	84.29
IBD	stab	hat	1e-08	12	0		0.00037288177912421803		83.12	-0.00156	84.42	-4e-05	83.71	0.00167	84.68
IBD	stab	hat	1e-08	12	1		0.00037288177912421803		75.95	-0.0	75.95	-1e-05	75.97	0.0	75.96
IBD	stab	hat	1e-08	12	2		0.00037288177912421803		88.38	-0.00085	88.74	-2e-05	88.49	0.00158	89.79
IBD	stab	hat	1e-08	13	0		0.00039982890943979216		84.99	-0.00165	85.91	-2e-05	85.08	0.00144	86.04
IBD	stab	hat	1e-08	13	1		0.00039982890943979216		96.17	-0.0	96.17	1e-05	96.22	0.0	96.17
IBD	stab	hat	1e-08	13	2		0.00039982890943979216		83.05	-0.00072	83.36	6e-05	84.48	0.00046	83.52
IBD	stab	hat	1e-08	14	0		0.00042872343400442305		82.48	-0.0018	84.14	-4e-05	83.15	0.00146	83.99
IBD	stab	hat	1e-08	14	1		0.00042872343400442305		79.45	-0.00088	79.71	2e-05	79.65	0.00039	79.73
IBD	stab	hat	1e-08	14	2		0.00042872343400442305		84.9	-0.0	84.9	5e-05	85.79	0.0	84.91
IBD	stab	hat	1e-08	15	0		0.0004597060855906488		93.13	-0.00085	93.75	1e-05	93.15	0.00062	93.88
IBD	stab	hat	1e-08	15	1		0.0004597060855906488		84.51	-0.00023	84.55	-4e-05	85.15	2e-05	84.54
IBD	stab	hat	1e-08	15	2		0.0004597060855906488		106.55	-0.00273	110.17	-4e-05	107.27	0.00518	111.68
IBD	stab	hat	1e-08	16	0		0.0004929277673375248		80.13	-0.0	80.13	-4e-05	81.05	0.0	80.14
IBD	stab	hat	1e-08	16	1		0.0004929277673375248		77.75	-0.00077	78.14	1e-05	77.83	0.00022	77.99
IBD	stab	hat	1e-08	16	2		0.0004929277673375248		78.78	-0.0	78.78	-3e-05	79.17	0.0	78.79
IBD	stab	hat	1e-08	17	0		0.0005285502877347587		87.95	-0.0	87.95	6e-05	89.23	1e-05	87.96
IBD	stab	hat	1e-08	17	1		0.0005285502877347587		84.16	-0.00027	84.21	-3e-05	84.6	0.00016	84.32
IBD	stab	hat	1e-08	17	2		0.0005285502877347587		85.48	-0.00347	90.04	-4e-05	86.31	0.00511	89.91
IBD	stab	hat	1e-08	18	0		0.0005667471487221066		83.23	-0.0005	83.33	-5e-05	84.07	0.00013	83.32
IBD	stab	hat	1e-08	18	1		0.0005667471487221066		86.2	-0.0	86.2	-1e-05	86.27	0.0	86.2
IBD	stab	hat	1e-08	18	2		0.0005667471487221066		90.2	-0.00197	91.66	0.0	90.2	0.00305	92.55
IBD	stab	hat	1e-08	19	0		0.0006077043907425247		80.82	-0.00161	81.44	-4e-05	81.41	0.00174	81.87
IBD	stab	hat	1e-08	19	1		0.0006077043907425247		88.02	-0.00105	88.74	3e-05	88.35	0.00153	89.53
IBD	stab	hat	1e-08	19	2		0.0006077043907425247		81.74	-0.0	81.74	-1e-05	81.79	2e-05	81.76
IBD	stab	hat	1e-08	20	0		0.000651621498864963		93.74	-0.00416	100.12	-0.0	93.75	0.00682	100.03
IBD	stab	hat	1e-08	20	1		0.000651621498864963		92.4	-0.00166	94.21	4e-05	93.24	0.0025	95.08
IBD	stab	hat	1e-08	20	2		0.000651621498864963		78.32	-0.00094	78.84	-3e-05	78.67	0.00013	78.43
IBD	stab	hat	1e-08	21	0		0.0006987123743901368		81.21	-2e-05	81.21	-4e-05	81.88	0.0	81.2
IBD	stab	hat	1e-08	21	1		0.0006987123743901368		80.4	-0.00156	82.13	-2e-05	80.55	0.00093	81.49
IBD	stab	hat	1e-08	21	2		0.0006987123743901368		83.55	-0.0021	84.96	2e-05	83.65	0.00321	85.95
IBD	stab	hat	1e-08	22	0		0.0007492063766715489		88.24	-0.00102	89.04	1e-05	88.28	0.00095	89.19
IBD	stab	hat	1e-08	22	1		0.0007492063766715489		96.74	-0.00214	98.76	0.0	96.75	0.00237	99.0
IBD	stab	hat	1e-08	22	2		0.0007492063766715489		75.82	-0.0019	77.53	2e-05	75.99	0.00147	77.33
IBD	stab	hat	1e-08	23	0		0.0008033494402260214		81.25	-0.00173	82.32	0.00011	85.49	0.00163	82.49
IBD	stab	hat	1e-08	23	1		0.0008033494402260214		83.58	-0.00096	84.22	-4e-05	84.08	0.00034	83.86
IBD	stab	hat	1e-08	23	2		0.0008033494402260214		86.16	-0.00171	87.72	3e-05	86.5	0.00183	87.84
IBD	stab	hat	1e-08	24	0		0.0008614052725747042		90.32	-0.00278	93.2	-3e-05	90.63	0.00361	93.23
IBD	stab	hat	1e-08	24	1		0.0008614052725747042		88.31	-0.00041	88.41	-1e-05	88.35	6e-05	88.36
IBD	stab	hat	1e-08	24	2		0.0008614052725747042		89.51	-0.0005	89.71	-2e-05	89.78	0.00024	89.78
IBD	stab	hat	1e-08	25	0		0.0009236566386487232		85.42	-0.00217	88.3	-2e-05	85.67	0.00294	88.86
IBD	stab	hat	1e-08	25	1		0.0009236566386487232		87.33	-0.00135	87.85	2e-05	87.47	0.00082	87.84
IBD	stab	hat	1e-08	25	2		0.0009236566386487232		87.18	-0.0011	87.94	6e-05	88.48	0.00085	87.92
IBD	stab	hat	1e-08	26	0		0.0009904067380152595		94.27	-0.00309	96.92	-1e-05	94.35	0.00456	97.55
IBD	stab	hat	1e-08	26	1		0.0009904067380152595		84.68	-0.0035	89.93	1e-05	84.72	0.00447	89.42
IBD	stab	hat	1e-08	26	2		0.0009904067380152595		79.76	-0.0011	80.7	1e-05	79.85	0.00049	80.33
IBD	stab	hat	1e-08	27	0		0.0010619806816319292		83.92	-0.00041	83.95	0.0	83.92	0.0	83.93
IBD	stab	hat	1e-08	27	1		0.0010619806816319292		79.6	-0.00109	80.74	-1e-05	79.65	0.001	80.88
IBD	stab	hat	1e-08	27	2		0.0010619806816319292		77.64	-0.00072	78.01	1e-05	77.66	0.00023	77.89
IBD	stab	hat	1e-08	28	0		0.0011387270753220981		88.22	-0.00113	88.85	4e-05	88.71	0.00122	89.24
IBD	stab	hat	1e-08	28	1		0.0011387270753220981		87.37	-0.00195	89.97	6e-05	89.16	0.00199	89.79
IBD	stab	hat	1e-08	28	2		0.0011387270753220981		78.44	-0.00107	79.45	-5e-05	79.56	0.00095	79.6
IBD	stab	hat	1e-08	29	0		0.001221019717683566		88.95	-0.00168	91.22	1e-05	88.98	0.00217	91.76
IBD	stab	hat	1e-08	29	1		0.001221019717683566		93.22	-0.00331	96.56	3e-05	93.62	0.00416	96.43
IBD	stab	hat	1e-08	29	2		0.001221019717683566		91.07	-0.00123	92.47	-1e-05	91.09	0.00134	92.62
IBD	stab	hat	1e-08	30	0		0.0013092594207003865		93.5	-0.00578	102.86	0.0	93.5	0.01177	103.06
IBD	stab	hat	1e-08	30	1		0.0013092594207003865		84.12	-0.0	84.12	1e-05	84.16	0.0	84.11
IBD	stab	hat	1e-08	30	2		0.0013092594207003865		91.58	-0.00215	93.05	-5e-05	92.43	0.00377	94.4
IBD	stab	hat	1e-08	31	0		0.0014038759619252484		95.07	-0.0023	97.3	-5e-05	96.15	0.00232	97.18
IBD	stab	hat	1e-08	31	1		0.0014038759619252484		97.86	-0.00638	106.3	4e-05	98.47	0.01283	106.64
IBD	stab	hat	1e-08	31	2		0.0014038759619252484		95.35	-0.00091	96.15	-1e-05	95.45	0.00079	96.36
IBD	stab	hat	1e-08	32	0		0.0015053301777406564		97.14	-0.00425	101.86	4e-05	97.61	0.00736	102.3
IBD	stab	hat	1e-08	32	1		0.0015053301777406564		86.82	-0.00225	89.14	4e-05	87.41	0.00327	90.09
IBD	stab	hat	1e-08	32	2		0.0015053301777406564		82.48	-0.0	82.48	4e-05	83.33	1e-05	82.49
IBD	stab	hat	1e-08	33	0		0.0016141162078942796		89.55	-0.00443	96.15	-2e-05	89.7	0.00736	96.28
IBD	stab	hat	1e-08	33	1		0.0016141162078942796		81.14	-0.00065	81.4	-0.0	81.14	0.00076	81.86
IBD	stab	hat	1e-08	33	2		0.0016141162078942796		90.92	-0.00301	94.28	-1e-05	90.95	0.00371	94.09
IBD	stab	hat	1e-08	34	0		0.0017307639022406363		96.35	-0.00274	97.85	-5e-05	97.23	0.00286	98.17
IBD	stab	hat	1e-08	34	1		0.0017307639022406363		89.28	-0.00393	94.8	1e-05	89.3	0.00596	94.9
IBD	stab	hat	1e-08	34	2		0.0017307639022406363		79.1	-0.00135	80.68	2e-05	79.23	0.00097	80.33
IBD	stab	hat	1e-08	35	0		0.0018558414014113137		92.31	-0.00218	95.59	-7e-05	94.82	0.00284	95.9
IBD	stab	hat	1e-08	35	1		0.0018558414014113137		88.29	-0.00301	91.89	-0.0	88.29	0.00593	93.42
IBD	stab	hat	1e-08	35	2		0.0018558414014113137		79.33	-0.00188	81.43	1e-05	79.39	0.00176	81.21
IBD	stab	hat	1e-08	36	0		0.0019899579039830543		87.24	-0.00443	92.36	0.0	87.25	0.00597	91.99
IBD	stab	hat	1e-08	36	1		0.0019899579039830543		97.44	-0.0031	102.7	0.0	97.45	0.00448	102.55
IBD	stab	hat	1e-08	36	2		0.0019899579039830543		88.93	-0.00035	88.95	-3e-05	89.14	1e-05	88.94
