trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	dir	ash	1e-08	0	0	2.8408768082180875e-05			84.75	-0.00049	84.81	-1e-05	84.78	0.00021	84.88
IBD	dir	ash	1e-08	0	1	2.8408768082180875e-05			81.62	-0.0	81.62	-2e-05	81.85	0.0	81.62
IBD	dir	ash	1e-08	0	2	2.8408768082180875e-05			84.24	-0.00054	84.42	9e-05	87.2	0.0009	85.08
IBD	dir	ash	1e-08	1	0	3.6200582541764703e-05			81.05	-0.0	81.04	5e-05	82.15	0.0	81.05
IBD	dir	ash	1e-08	1	1	3.6200582541764703e-05			78.19	-0.00028	78.23	3e-05	78.61	7e-05	78.26
IBD	dir	ash	1e-08	1	2	3.6200582541764703e-05			80.26	-0.0	80.26	0.00013	85.13	0.0	80.27
IBD	dir	ash	1e-08	2	0	4.612949680085227e-05			97.24	-0.00441	101.65	8e-05	99.16	0.00756	102.3
IBD	dir	ash	1e-08	2	1	4.612949680085227e-05			89.39	-0.00203	91.02	0.00024	103.34	0.00206	91.0
IBD	dir	ash	1e-08	2	2	4.612949680085227e-05			86.88	-0.0	86.88	9e-05	89.29	0.0	86.87
IBD	dir	ash	1e-08	3	0	5.878166387639883e-05			90.08	-0.00068	90.28	0.00015	96.72	0.00057	90.51
IBD	dir	ash	1e-08	3	1	5.878166387639883e-05			76.84	-0.0	76.84	0.00011	81.86	0.0	76.84
IBD	dir	ash	1e-08	3	2	5.878166387639883e-05			80.02	-0.0005	80.22	0.00012	85.63	0.00033	80.39
IBD	dir	ash	1e-08	4	0	7.49040038957046e-05			88.0	-0.00102	88.63	4e-05	88.69	0.00085	88.87
IBD	dir	ash	1e-08	4	1	7.49040038957046e-05			86.16	-0.00127	87.19	0.00023	102.76	0.00151	87.85
IBD	dir	ash	1e-08	4	2	7.49040038957046e-05			92.47	-0.0022	95.02	0.00016	101.53	0.00298	95.57
IBD	dir	ash	1e-08	5	0	9.544829849330632e-05			91.05	-0.00112	91.84	0.0002	103.36	0.00092	91.95
IBD	dir	ash	1e-08	5	1	9.544829849330632e-05			90.07	-0.00115	90.76	0.00012	95.66	0.00171	91.77
IBD	dir	ash	1e-08	5	2	9.544829849330632e-05			87.66	-0.00221	89.2	0.0002	99.36	0.0026	89.48
IBD	dir	ash	1e-08	6	0	0.00012162737919794646			79.81	-0.0	79.81	0.00025	95.53	0.0	79.8
IBD	dir	ash	1e-08	6	1	0.00012162737919794646			86.99	-0.00189	88.31	0.00024	103.8	0.00302	89.7
IBD	dir	ash	1e-08	6	2	0.00012162737919794646			85.68	-0.00446	92.36	0.00026	105.85	0.00699	92.0
IBD	dir	ash	1e-08	7	0	0.00015498672688857282			79.38	-0.00145	80.61	0.00022	95.89	0.00178	81.41
IBD	dir	ash	1e-08	7	1	0.00015498672688857282			84.69	-0.00226	86.45	0.00032	109.39	0.00412	88.0
IBD	dir	ash	1e-08	7	2	0.00015498672688857282			89.88	-0.00411	95.05	0.00031	112.73	0.00619	94.9
IBD	dir	ash	1e-08	8	0	0.00019749570919011156			86.14	-0.00259	89.31	0.0004	120.99	0.00326	89.34
IBD	dir	ash	1e-08	8	1	0.00019749570919011156			94.31	-0.00509	99.59	0.00041	128.18	0.01051	101.25
IBD	dir	ash	1e-08	8	2	0.00019749570919011156			83.63	-0.00155	84.51	0.00035	108.47	0.00097	84.33
IBD	dir	ash	1e-08	9	0	0.00025166384200465963			97.01	-0.0096	110.55	0.00065	154.35	0.02618	112.05
IBD	dir	ash	1e-08	9	1	0.00025166384200465963			98.92	-0.00818	111.5	0.0006	153.65	0.01938	112.67
IBD	dir	ash	1e-08	9	2	0.00025166384200465963			106.74	-0.0075	119.55	0.00055	153.34	0.01726	120.07
IBD	dir	ash	1e-08	10	0	0.00032068893867248324			96.7	-0.00429	101.0	0.00078	159.48	0.0102	103.53
IBD	dir	ash	1e-08	10	1	0.00032068893867248324			92.19	-0.00905	100.01	0.00069	146.24	0.02156	101.81
IBD	dir	ash	1e-08	10	2	0.00032068893867248324			99.57	-0.01097	121.43	0.00071	166.39	0.02867	121.08
IBD	dir	ash	1e-08	11	0	0.00040864589274203206			99.22	-0.00788	110.55	0.00073	166.72	0.01882	112.51
