trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	plei	ash	1e-08	0	0			0.00016141162078942795	74.91	-0.00189	76.25	3e-05	75.36	0.00145	76.24
IBD	plei	ash	1e-08	0	1			0.00016141162078942795	82.1	-0.0	82.1	-0.0	82.1	0.0	82.09
IBD	plei	ash	1e-08	0	2			0.00016141162078942795	86.2	-0.00145	86.88	1e-05	86.26	0.00053	86.54
IBD	plei	ash	1e-08	1	0			0.00017399918618662266	80.27	-0.0	80.27	2e-05	80.42	0.0	80.28
IBD	plei	ash	1e-08	1	1			0.00017399918618662266	85.47	-0.0	85.47	4e-05	86.1	0.0001	85.56
IBD	plei	ash	1e-08	1	2			0.00017399918618662266	88.52	-0.00039	88.62	4e-05	89.07	0.00027	88.81
IBD	plei	ash	1e-08	2	0			0.00018756838352489914	80.98	-0.00125	81.63	3e-05	81.4	0.00088	81.72
IBD	plei	ash	1e-08	2	1			0.00018756838352489914	79.13	-0.0016	79.97	-2e-05	79.28	0.00238	80.98
IBD	plei	ash	1e-08	2	2			0.00018756838352489914	79.15	-0.0	79.15	-9e-05	82.23	0.0	79.14
IBD	plei	ash	1e-08	3	0			0.00020219576464230876	83.95	-0.00191	85.72	-3e-05	84.47	0.00263	86.65
IBD	plei	ash	1e-08	3	1			0.00020219576464230876	91.05	-0.00218	93.25	-3e-05	91.54	0.00338	94.2
IBD	plei	ash	1e-08	3	2			0.00020219576464230876	79.08	-0.0	79.08	1e-05	79.09	0.0	79.08
IBD	plei	ash	1e-08	4	0			0.0002179638512151535	86.03	-0.0011	86.87	-7e-05	87.99	0.00108	87.08
IBD	plei	ash	1e-08	4	1			0.0002179638512151535	81.81	-0.0	81.81	1e-05	81.87	6e-05	81.86
IBD	plei	ash	1e-08	4	2			0.0002179638512151535	96.0	-0.00066	96.29	-7e-05	97.94	0.00067	96.74
IBD	plei	ash	1e-08	5	0			0.00023496160031138746	79.99	-0.00204	81.46	3e-05	80.28	0.00154	81.26
IBD	plei	ash	1e-08	5	1			0.00023496160031138746	93.06	-0.00084	93.67	-7e-05	94.95	0.00064	93.8
IBD	plei	ash	1e-08	5	2			0.00023496160031138746	81.38	-0.00012	81.38	0.0	81.38	9e-05	81.44
IBD	plei	ash	1e-08	6	0			0.00025328490624985846	79.86	-0.00093	80.53	1e-05	79.92	0.00036	80.22
IBD	plei	ash	1e-08	6	1			0.00025328490624985846	85.05	-0.00149	86.09	-3e-05	85.31	0.00125	86.11
IBD	plei	ash	1e-08	6	2			0.00025328490624985846	72.9	-0.00094	73.29	1e-05	72.95	0.00137	74.06
IBD	plei	ash	1e-08	7	0			0.00027303714159666593	85.47	-0.00048	85.57	2e-05	85.69	0.00031	85.73
IBD	plei	ash	1e-08	7	1			0.00027303714159666593	89.92	-0.00251	92.28	-4e-05	90.47	0.00356	92.76
IBD	plei	ash	1e-08	7	2			0.00027303714159666593	92.6	-0.0	92.6	1e-05	92.64	7e-05	92.66
IBD	plei	ash	1e-08	8	0			0.00029432974035072194	84.56	-0.00103	85.12	-3e-05	84.86	0.00105	85.6
IBD	plei	ash	1e-08	8	1			0.00029432974035072194	84.19	-0.00081	84.35	6e-05	85.51	0.00146	85.07
IBD	plei	ash	1e-08	8	2			0.00029432974035072194	90.62	-0.0	90.62	7e-05	91.77	5e-05	90.64
IBD	plei	ash	1e-08	9	0			0.00031728282660860286	80.06	-0.00033	80.15	3e-05	80.6	0.0002	80.3
IBD	plei	ash	1e-08	9	1			0.00031728282660860286	89.93	-0.00282	93.01	-3e-05	90.26	0.00365	93.03
IBD	plei	ash	1e-08	9	2			0.00031728282660860286	83.07	-0.00109	83.5	2e-05	83.26	0.0011	83.89
IBD	plei	ash	1e-08	10	0			0.00034202589225536175	82.1	-0.0	82.1	5e-05	82.91	0.0	82.11
IBD	plei	ash	1e-08	10	1			0.00034202589225536175	88.01	-0.00467	91.93	-5e-05	88.93	0.00737	92.2
IBD	plei	ash	1e-08	10	2			0.00034202589225536175	81.45	-0.00178	82.86	-3e-05	81.95	0.00166	83.04
IBD	plei	ash	1e-08	11	0			0.0003686985275045599	88.28	-0.0043	91.61	0.0001	91.01	0.00698	92.5
IBD	plei	ash	1e-08	11	1			0.0003686985275045599	81.93	-0.0	81.93	-4e-05	82.54	0.0	81.93
