trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	stab	ash	1e-08	0	0		0.00016141162078942795		80.34	-0.0	80.33	-4e-05	80.78	0.0	80.34
IBD	stab	ash	1e-08	0	1		0.00016141162078942795		82.54	-0.00071	82.75	3e-05	82.91	0.00057	82.95
IBD	stab	ash	1e-08	0	2		0.00016141162078942795		90.31	-0.00094	90.82	-8e-05	92.74	0.00038	90.66
IBD	stab	ash	1e-08	1	0		0.00017307639022406365		74.45	-0.0	74.45	1e-05	74.5	0.0	74.45
IBD	stab	ash	1e-08	1	1		0.00017307639022406365		84.28	-0.00052	84.45	-7e-05	86.12	0.00015	84.44
IBD	stab	ash	1e-08	1	2		0.00017307639022406365		74.7	-0.0	74.7	-1e-05	74.72	0.0	74.7
IBD	stab	ash	1e-08	2	0		0.00018558414014113137		85.03	-0.00024	85.05	5e-05	85.68	0.0006	85.37
IBD	stab	ash	1e-08	2	1		0.00018558414014113137		78.59	-0.00034	78.68	1e-05	78.65	6e-05	78.65
IBD	stab	ash	1e-08	2	2		0.00018558414014113137		72.24	-0.0	72.24	3e-05	72.61	0.0	72.24
IBD	stab	ash	1e-08	3	0		0.00019899579039830544		80.83	-0.0	80.83	-5e-05	81.7	0.0	80.83
IBD	stab	ash	1e-08	3	1		0.00019899579039830544		79.02	-0.0	79.01	-6e-05	80.41	0.0	79.01
IBD	stab	ash	1e-08	3	2		0.00019899579039830544		87.83	-0.00145	88.5	-1e-05	87.85	0.00129	88.68
IBD	stab	ash	1e-08	4	0		0.0002133766633621395		89.6	-0.0	89.6	2e-05	89.81	0.0	89.6
IBD	stab	ash	1e-08	4	1		0.0002133766633621395		81.21	-0.0	81.21	9e-05	84.3	4e-05	81.25
IBD	stab	ash	1e-08	4	2		0.0002133766633621395		88.94	-0.00084	89.18	-2e-05	89.12	0.00175	90.02
IBD	stab	ash	1e-08	5	0		0.00022879680206515325		79.97	-0.0	79.97	-2e-05	80.13	1e-05	79.98
IBD	stab	ash	1e-08	5	1		0.00022879680206515325		80.29	-0.00163	81.31	-3e-05	80.62	0.00085	81.01
IBD	stab	ash	1e-08	5	2		0.00022879680206515325		89.92	-0.00093	90.57	-3e-05	90.26	0.00087	90.91
IBD	stab	ash	1e-08	6	0		0.00024533131135524763		79.8	-0.00018	79.81	-3e-05	80.14	8e-05	79.86
IBD	stab	ash	1e-08	6	1		0.00024533131135524763		86.52	-0.00074	86.67	-6e-05	87.56	0.00135	87.34
IBD	stab	ash	1e-08	6	2		0.00024533131135524763		75.94	-0.0	75.94	1e-05	76.03	0.0	75.94
IBD	stab	ash	1e-08	7	0		0.00026306072369904103		89.15	-0.0	89.15	3e-05	89.44	0.0	89.15
IBD	stab	ash	1e-08	7	1		0.00026306072369904103		83.56	-0.0021	85.29	-0.0	83.56	0.00251	85.55
IBD	stab	ash	1e-08	7	2		0.00026306072369904103		81.08	-0.0	81.08	-3e-05	81.37	0.0	81.09
IBD	stab	ash	1e-08	8	0		0.00028207139142079617		76.78	-0.0	76.78	1e-05	76.86	0.0	76.78
IBD	stab	ash	1e-08	8	1		0.00028207139142079617		83.2	-0.00082	83.62	-1e-05	83.22	0.0004	83.55
IBD	stab	ash	1e-08	8	2		0.00028207139142079617		82.39	-0.00081	82.82	2e-05	82.58	0.00095	83.31
