trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	plei	true	1e-08	0	0			0.00016141162078942795	74.91	-0.00136	75.6	4e-05	75.43	0.00107	75.84
IBD	plei	true	1e-08	0	1			0.00016141162078942795	82.1	-0.0	82.1	-0.0	82.1	0.0	82.09
IBD	plei	true	1e-08	0	2			0.00016141162078942795	86.2	-0.00162	87.05	2e-05	86.4	0.00064	86.64
IBD	plei	true	1e-08	1	0			0.00017399918618662266	80.27	-0.0	80.27	1e-05	80.37	0.0	80.28
IBD	plei	true	1e-08	1	1			0.00017399918618662266	85.47	-0.0	85.47	4e-05	86.08	5e-05	85.52
IBD	plei	true	1e-08	1	2			0.00017399918618662266	88.52	-0.00048	88.69	3e-05	88.88	0.00027	88.81
IBD	plei	true	1e-08	2	0			0.00018756838352489914	80.98	-0.00116	81.5	3e-05	81.4	0.00079	81.62
IBD	plei	true	1e-08	2	1			0.00018756838352489914	79.13	-0.00171	80.12	-2e-05	79.31	0.00244	81.02
IBD	plei	true	1e-08	2	2			0.00018756838352489914	79.15	-0.0	79.15	-8e-05	81.82	0.0	79.14
IBD	plei	true	1e-08	3	0			0.00020219576464230876	83.95	-0.00193	85.96	-3e-05	84.5	0.00254	86.73
IBD	plei	true	1e-08	3	1			0.00020219576464230876	91.05	-0.00218	93.02	-3e-05	91.39	0.0032	93.93
IBD	plei	true	1e-08	3	2			0.00020219576464230876	79.08	-5e-05	79.08	0.0	79.08	1e-05	79.09
IBD	plei	true	1e-08	4	0			0.0002179638512151535	86.03	-0.00143	87.18	-6e-05	87.73	0.00125	87.24
IBD	plei	true	1e-08	4	1			0.0002179638512151535	81.81	-0.0	81.81	1e-05	81.83	5e-05	81.85
IBD	plei	true	1e-08	4	2			0.0002179638512151535	96.0	-0.00074	96.39	-7e-05	98.3	0.0007	96.85
IBD	plei	true	1e-08	5	0			0.00023496160031138746	79.99	-0.00194	81.49	3e-05	80.3	0.00143	81.2
IBD	plei	true	1e-08	5	1			0.00023496160031138746	93.06	-0.001	93.9	-6e-05	94.93	0.00078	93.96
IBD	plei	true	1e-08	5	2			0.00023496160031138746	81.38	-0.00024	81.41	0.0	81.38	0.00015	81.47
IBD	plei	true	1e-08	6	0			0.00025328490624985846	79.86	-0.00093	80.54	1e-05	79.94	0.0004	80.27
IBD	plei	true	1e-08	6	1			0.00025328490624985846	85.05	-0.0016	86.41	-4e-05	85.55	0.00135	86.25
IBD	plei	true	1e-08	6	2			0.00025328490624985846	72.9	-0.00117	73.51	2e-05	73.15	0.00157	74.2
IBD	plei	true	1e-08	7	0			0.00027303714159666593	85.47	-0.00071	85.71	3e-05	85.76	0.00043	85.83
IBD	plei	true	1e-08	7	1			0.00027303714159666593	89.92	-0.0028	92.96	-4e-05	90.47	0.00425	93.31
IBD	plei	true	1e-08	7	2			0.00027303714159666593	92.6	-0.00039	92.68	2e-05	92.72	0.00021	92.78
IBD	plei	true	1e-08	8	0			0.00029432974035072194	84.56	-0.00117	85.3	-2e-05	84.76	0.00104	85.64
IBD	plei	true	1e-08	8	1			0.00029432974035072194	84.19	-0.00069	84.31	6e-05	85.41	0.00137	85.01
IBD	plei	true	1e-08	8	2			0.00029432974035072194	90.62	-0.0	90.62	6e-05	91.57	5e-05	90.64
IBD	plei	true	1e-08	9	0			0.00031728282660860286	80.06	-0.00045	80.24	4e-05	80.66	0.00028	80.4
IBD	plei	true	1e-08	9	1			0.00031728282660860286	89.93	-0.00247	92.85	-3e-05	90.38	0.00323	92.88
IBD	plei	true	1e-08	9	2			0.00031728282660860286	83.07	-0.00121	83.6	2e-05	83.23	0.00126	84.0
IBD	plei	true	1e-08	10	0			0.00034202589225536175	82.1	-8e-05	82.1	4e-05	82.66	0.0	82.11
IBD	plei	true	1e-08	10	1			0.00034202589225536175	88.01	-0.00397	90.93	-6e-05	89.04	0.00636	91.53
IBD	plei	true	1e-08	10	2			0.00034202589225536175	81.45	-0.00142	82.42	-2e-05	81.69	0.00128	82.68
IBD	plei	true	1e-08	11	0			0.0003686985275045599	88.28	-0.00455	91.78	0.0001	91.3	0.00713	92.64
IBD	plei	true	1e-08	11	1			0.0003686985275045599	81.93	-0.0	81.93	-4e-05	82.51	0.0	81.93
IBD	plei	true	1e-08	11	2			0.0003686985275045599	92.39	-0.0	92.39	1e-05	92.41	0.0	92.39
IBD	plei	true	1e-08	12	0			0.000397451208408914	92.92	-0.00295	96.69	-0.00013	100.14	0.00468	97.4
IBD	plei	true	1e-08	12	1			0.000397451208408914	84.67	-0.00144	85.78	-4e-05	85.37	0.00131	86.0
IBD	plei	true	1e-08	12	2			0.000397451208408914	78.09	-0.00156	79.35	1e-05	78.11	0.00129	79.48
IBD	plei	true	1e-08	13	0			0.0004284461457843834	75.01	-0.00055	75.2	1e-05	75.04	0.00024	75.24
IBD	plei	true	1e-08	13	1			0.0004284461457843834	85.8	-0.00025	85.83	1e-05	85.84	0.00043	86.16
IBD	plei	true	1e-08	13	2			0.0004284461457843834	78.55	-0.00172	80.49	-4e-05	79.23	0.00177	80.51
IBD	plei	true	1e-08	14	0			0.0004618582003369647	85.01	-0.00183	86.38	-2e-05	85.16	0.00168	86.34
IBD	plei	true	1e-08	14	1			0.0004618582003369647	83.21	-0.0	83.21	-6e-05	84.37	0.0	83.22
IBD	plei	true	1e-08	14	2			0.0004618582003369647	87.0	-0.0013	87.58	2e-05	87.1	0.00112	87.8
IBD	plei	true	1e-08	15	0			0.0004978758691549769	73.64	-0.0	73.64	5e-05	74.42	0.0	73.64
IBD	plei	true	1e-08	15	1			0.0004978758691549769	88.44	-0.00157	89.62	-6e-05	89.75	0.00194	90.31
IBD	plei	true	1e-08	15	2			0.0004978758691549769	84.98	-0.00033	85.04	-2e-05	85.14	0.00056	85.57
IBD	plei	true	1e-08	16	0			0.0005367023491322102	92.09	-0.00405	96.5	-6e-05	93.14	0.00559	96.4
IBD	plei	true	1e-08	16	1			0.0005367023491322102	77.28	-0.0	77.28	4e-05	77.92	0.0	77.27
IBD	plei	true	1e-08	16	2			0.0005367023491322102	73.47	-0.00045	73.55	-5e-05	74.6	0.0	73.48
IBD	plei	true	1e-08	17	0			0.0005785566833213395	83.69	-0.00145	84.98	5e-05	84.65	0.00159	85.47
IBD	plei	true	1e-08	17	1			0.0005785566833213395	86.98	-0.00111	87.57	6e-05	88.32	0.00182	88.42
IBD	plei	true	1e-08	17	2			0.0005785566833213395	86.62	-0.00226	87.71	-7e-05	87.89	0.00258	88.0
IBD	plei	true	1e-08	18	0			0.0006236749966848617	84.35	-0.00064	84.54	2e-05	84.49	0.00058	84.84
IBD	plei	true	1e-08	18	1			0.0006236749966848617	90.98	-0.00138	91.71	7e-05	92.8	0.00084	91.59
IBD	plei	true	1e-08	18	2			0.0006236749966848617	76.41	-0.0019	78.59	-5e-05	77.46	0.00207	78.55
IBD	plei	true	1e-08	19	0			0.0006723118282151488	95.27	-0.00319	97.84	-1e-05	95.36	0.00401	98.69
IBD	plei	true	1e-08	19	1			0.0006723118282151488	81.35	-0.00093	82.1	3e-05	81.84	0.00053	81.99
IBD	plei	true	1e-08	19	2			0.0006723118282151488	83.04	-0.00051	83.21	1e-05	83.08	0.00018	83.2
