trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	stab	true	1e-08	0	0		0.00016141162078942795		80.34	-0.0	80.33	-4e-05	80.77	0.0	80.34
IBD	stab	true	1e-08	0	1		0.00016141162078942795		82.54	-0.00065	82.73	4e-05	82.99	0.00046	82.89
IBD	stab	true	1e-08	0	2		0.00016141162078942795		90.31	-0.00092	90.8	-7e-05	92.45	0.00036	90.64
IBD	stab	true	1e-08	1	0		0.00017307639022406365		74.45	-0.0	74.45	1e-05	74.51	0.0	74.45
IBD	stab	true	1e-08	1	1		0.00017307639022406365		84.28	-0.00029	84.33	-6e-05	85.9	6e-05	84.35
IBD	stab	true	1e-08	1	2		0.00017307639022406365		74.7	-0.0	74.7	-1e-05	74.74	0.0	74.7
IBD	stab	true	1e-08	2	0		0.00018558414014113137		85.03	-0.00028	85.05	4e-05	85.55	0.00058	85.37
IBD	stab	true	1e-08	2	1		0.00018558414014113137		78.59	-0.00034	78.67	2e-05	78.75	7e-05	78.66
IBD	stab	true	1e-08	2	2		0.00018558414014113137		72.24	-0.0	72.23	3e-05	72.67	0.0	72.24
IBD	stab	true	1e-08	3	0		0.00019899579039830544		80.83	-0.0	80.83	-6e-05	81.97	0.0	80.83
IBD	stab	true	1e-08	3	1		0.00019899579039830544		79.02	-0.0	79.01	-7e-05	80.65	0.0	79.01
IBD	stab	true	1e-08	3	2		0.00019899579039830544		87.83	-0.00173	88.71	-1e-05	87.84	0.00144	88.78
IBD	stab	true	1e-08	4	0		0.0002133766633621395		89.6	-0.0	89.6	2e-05	89.78	0.0	89.6
IBD	stab	true	1e-08	4	1		0.0002133766633621395		81.21	-0.0	81.21	8e-05	83.73	3e-05	81.24
IBD	stab	true	1e-08	4	2		0.0002133766633621395		88.94	-0.00056	89.06	-3e-05	89.26	0.00139	89.8
IBD	stab	true	1e-08	5	0		0.00022879680206515325		79.97	-0.0	79.97	-2e-05	80.09	1e-05	79.98
IBD	stab	true	1e-08	5	1		0.00022879680206515325		80.29	-0.00149	81.24	-3e-05	80.73	0.00076	80.96
IBD	stab	true	1e-08	5	2		0.00022879680206515325		89.92	-0.00095	90.85	-3e-05	90.27	0.00087	90.98
IBD	stab	true	1e-08	6	0		0.00024533131135524763		79.8	-0.00037	79.87	-3e-05	80.27	0.00013	79.91
IBD	stab	true	1e-08	6	1		0.00024533131135524763		86.52	-0.00089	86.73	-6e-05	87.78	0.00134	87.32
IBD	stab	true	1e-08	6	2		0.00024533131135524763		75.94	-0.0	75.94	2e-05	76.06	0.0	75.94
IBD	stab	true	1e-08	7	0		0.00026306072369904103		89.15	-0.0	89.15	3e-05	89.51	0.0	89.15
IBD	stab	true	1e-08	7	1		0.00026306072369904103		83.56	-0.00206	85.3	-0.0	83.56	0.00245	85.51
IBD	stab	true	1e-08	7	2		0.00026306072369904103		81.08	-0.0	81.08	-3e-05	81.5	0.0	81.09
IBD	stab	true	1e-08	8	0		0.00028207139142079617		76.78	-0.0	76.78	1e-05	76.84	0.0	76.78
IBD	stab	true	1e-08	8	1		0.00028207139142079617		83.2	-0.00077	83.66	-1e-05	83.27	0.0004	83.57
IBD	stab	true	1e-08	8	2		0.00028207139142079617		82.39	-0.00093	83.01	2e-05	82.66	0.00097	83.4
