trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	dir	hat	1e-08	0	0	0			83.32	-0.00109	84.36	2e-05	83.44	0.00047	83.89
IBD	dir	hat	1e-08	0	1	0			85.75	-0.00126	86.37	2e-05	85.98	0.00137	86.8
IBD	dir	hat	1e-08	0	2	0			78.35	-0.0	78.35	6e-05	79.84	0.0	78.34
IBD	dir	hat	1e-08	0	3	0			79.41	-0.0	79.41	4e-05	80.0	0.0	79.42
IBD	dir	hat	1e-08	0	4	0			80.07	-0.0	80.07	0.0	80.08	0.0	80.08
IBD	dir	hat	1e-08	0	5	0			71.11	-0.0	71.11	2e-05	71.35	0.0	71.11
IBD	dir	hat	1e-08	0	6	0			79.15	-0.00074	79.66	6e-05	81.05	0.00055	79.83
IBD	dir	hat	1e-08	0	7	0			86.42	-0.00122	87.1	-2e-05	86.57	0.00171	87.79
IBD	dir	hat	1e-08	0	8	0			86.82	-0.00033	86.86	0.0	86.82	0.00057	87.29
IBD	dir	hat	1e-08	0	9	0			85.81	-0.0	85.81	-4e-05	86.27	0.0	85.81
IBD	dir	hat	1e-08	0	10	0			81.34	-0.0	81.33	-1e-05	81.35	0.0	81.34
IBD	dir	hat	1e-08	0	11	0			82.11	-0.0	82.11	-2e-05	82.32	0.0	82.1
IBD	dir	hat	1e-08	0	12	0			80.43	-0.00113	81.03	1e-05	80.51	0.00112	81.34
IBD	dir	hat	1e-08	0	13	0			87.76	-0.0	87.76	1e-05	87.78	5e-05	87.79
IBD	dir	hat	1e-08	0	14	0			83.14	-0.00101	83.46	4e-05	83.83	0.00012	83.21
IBD	dir	hat	1e-08	0	15	0			81.97	-0.0	81.97	-4e-05	82.98	0.00023	82.26
IBD	dir	hat	1e-08	0	16	0			83.55	-0.0	83.55	-2e-05	83.8	0.0	83.55
IBD	dir	hat	1e-08	0	17	0			87.07	-0.00182	88.32	-5e-05	87.98	0.00151	88.33
IBD	dir	hat	1e-08	0	18	0			77.76	-0.0	77.76	-3e-05	78.2	0.0	77.76
IBD	dir	hat	1e-08	0	19	0			85.31	-0.00159	86.82	1e-05	85.36	0.00146	86.81
IBD	dir	hat	1e-08	0	20	0			84.11	-0.0	84.11	-4e-05	84.61	0.0	84.11
IBD	dir	hat	1e-08	0	21	0			86.75	-0.0	86.75	-4e-05	87.3	0.0	86.75
IBD	dir	hat	1e-08	0	22	0			89.18	-0.0	89.18	-0.0	89.18	4e-05	89.21
IBD	dir	hat	1e-08	0	23	0			83.55	-0.00146	84.33	3e-05	83.8	0.00069	84.07
IBD	dir	hat	1e-08	0	24	0			78.75	-0.0	78.75	-4e-05	79.41	0.0	78.76
IBD	dir	hat	1e-08	0	25	0			91.22	-0.00032	91.29	-3e-05	91.54	0.00044	91.66
IBD	dir	hat	1e-08	0	26	0			86.33	-0.00042	86.39	2e-05	86.48	0.00059	86.73
IBD	dir	hat	1e-08	0	27	0			81.72	-0.0	81.72	-1e-05	81.74	0.0	81.72
IBD	dir	hat	1e-08	0	28	0			80.02	-0.00071	80.22	-2e-05	80.21	0.00078	80.63
IBD	dir	hat	1e-08	0	29	0			84.13	-3e-05	84.13	-2e-05	84.27	5e-05	84.17
IBD	dir	hat	1e-08	0	30	0			83.68	-0.00113	84.05	-3e-05	83.95	0.00074	84.15
IBD	dir	hat	1e-08	0	31	0			89.61	-0.0	89.61	2e-05	89.8	2e-05	89.64
IBD	dir	hat	1e-08	0	32	0			84.37	-0.00045	84.46	6e-05	85.61	0.00014	84.47
IBD	dir	hat	1e-08	0	33	0			77.3	-0.0	77.3	0.0	77.31	0.0	77.3
