trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	plei	hat	1e-08	0	0			1e-100	79.5	-0.0	79.5	-1e-05	79.54	0.0	79.49
IBD	plei	hat	1e-08	0	1			1e-100	92.13	-0.00271	95.73	2e-05	92.3	0.00447	96.3
IBD	plei	hat	1e-08	0	2			1e-100	80.44	-0.00086	81.31	1e-05	80.5	0.00045	81.01
IBD	plei	hat	1e-08	0	3			1e-100	87.34	-0.00111	87.87	2e-05	87.48	0.00088	88.02
IBD	plei	hat	1e-08	0	4			1e-100	87.48	-0.00091	88.22	-1e-05	87.5	0.00033	87.87
IBD	plei	hat	1e-08	0	5			1e-100	79.05	-0.0	79.05	-0.0	79.05	0.0	79.05
IBD	plei	hat	1e-08	0	6			1e-100	85.5	-0.00039	85.56	-4e-05	86.09	8e-05	85.56
IBD	plei	hat	1e-08	0	7			1e-100	82.45	-0.00077	82.74	1e-05	82.52	0.0001	82.54
IBD	plei	hat	1e-08	0	8			1e-100	77.33	-0.0	77.33	-0.0	77.33	0.0	77.33
IBD	plei	hat	1e-08	0	9			1e-100	88.35	-0.00151	89.29	0.0	88.36	0.00083	88.97
IBD	plei	hat	1e-08	0	10			1e-100	75.14	-0.0004	75.23	-1e-05	75.15	5e-05	75.18
IBD	plei	hat	1e-08	0	11			1e-100	78.06	-0.0	78.06	-3e-05	78.53	0.0	78.06
IBD	plei	hat	1e-08	0	12			1e-100	80.38	-0.0	80.38	1e-05	80.4	0.0	80.39
IBD	plei	hat	1e-08	0	13			1e-100	86.9	-0.0	86.9	7e-05	88.44	1e-05	86.92
IBD	plei	hat	1e-08	0	14			1e-100	81.51	-0.00044	81.66	4e-05	82.2	0.00011	81.64
IBD	plei	hat	1e-08	0	15			1e-100	91.15	-0.00163	92.02	-0.0001	94.29	0.00078	91.64
IBD	plei	hat	1e-08	0	16			1e-100	86.18	-0.00194	87.56	-5e-05	87.04	0.00123	87.09
IBD	plei	hat	1e-08	0	17			1e-100	81.17	-0.0	81.17	2e-05	81.4	0.0	81.17
IBD	plei	hat	1e-08	0	18			1e-100	76.15	-0.0	76.14	-2e-05	76.23	0.0	76.15
IBD	plei	hat	1e-08	0	19			1e-100	75.79	-0.0	75.79	6e-05	76.94	0.0	75.79
IBD	plei	hat	1e-08	0	20			1e-100	92.74	-0.0006	92.84	-7e-05	94.16	0.00036	92.96
IBD	plei	hat	1e-08	0	21			1e-100	77.0	-0.0	77.0	-0.00012	82.19	6e-05	77.05
IBD	plei	hat	1e-08	0	22			1e-100	80.34	-0.0	80.34	5e-05	81.55	0.0	80.33
