trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	stab	hat	1e-08	0	0		0		91.46	-0.00076	92.05	-4e-05	92.1	0.00059	92.19
IBD	stab	hat	1e-08	0	1		0		80.57	-0.0	80.57	9e-05	83.93	0.0	80.57
IBD	stab	hat	1e-08	0	2		0		78.22	-0.0	78.22	0.0	78.22	0.0	78.22
IBD	stab	hat	1e-08	0	3		0		86.97	-0.00097	87.53	4e-05	87.57	0.00083	87.82
IBD	stab	hat	1e-08	0	4		0		74.79	-0.00026	74.84	-5e-05	75.99	6e-05	74.85
IBD	stab	hat	1e-08	0	5		0		80.83	-0.00094	81.26	2e-05	80.99	0.00052	81.33
IBD	stab	hat	1e-08	0	6		0		85.55	-0.00056	85.72	-1e-05	85.57	0.00041	85.91
IBD	stab	hat	1e-08	0	7		0		77.39	-0.0	77.39	9e-05	80.39	0.0	77.39
IBD	stab	hat	1e-08	0	8		0		78.31	-0.0	78.31	2e-05	78.43	0.0	78.31
IBD	stab	hat	1e-08	0	9		0		86.82	-0.0017	88.7	-3e-05	87.21	0.00236	89.58
IBD	stab	hat	1e-08	0	10		0		90.98	-0.00136	92.41	-2e-05	91.23	0.00172	92.92
IBD	stab	hat	1e-08	0	11		0		79.48	-0.00069	79.78	3e-05	79.94	0.00034	79.81
IBD	stab	hat	1e-08	0	12		0		94.98	-0.0	94.98	0.0	94.98	0.0	94.99
IBD	stab	hat	1e-08	0	13		0		70.15	-0.0	70.15	4e-05	70.71	0.0	70.15
IBD	stab	hat	1e-08	0	14		0		79.5	-0.00011	79.51	-4e-05	80.23	0.0	79.49
IBD	stab	hat	1e-08	0	15		0		82.74	-0.00113	83.68	4e-05	83.66	0.00087	83.74
IBD	stab	hat	1e-08	0	16		0		86.99	-0.00185	87.43	-2e-05	87.13	0.00328	89.4
IBD	stab	hat	1e-08	0	17		0		83.46	-0.0	83.46	-2e-05	83.67	0.0	83.46
IBD	stab	hat	1e-08	0	18		0		86.82	-0.00099	87.25	0.0	86.82	0.00226	88.62
IBD	stab	hat	1e-08	0	19		0		78.96	-0.0	78.96	-7e-05	80.54	8e-05	79.01
IBD	stab	hat	1e-08	0	20		0		78.35	-0.0	78.35	-5e-05	79.03	0.0	78.36
IBD	stab	hat	1e-08	0	21		0		84.49	-0.0	84.49	-1e-05	84.51	0.0	84.48
IBD	stab	hat	1e-08	0	22		0		77.31	-5e-05	77.31	-1e-05	77.32	0.00015	77.45
IBD	stab	hat	1e-08	0	23		0		80.76	-0.0	80.75	-0.0	80.76	0.0	80.76
IBD	stab	hat	1e-08	0	24		0		92.15	-0.00218	93.92	4e-05	92.64	0.00235	93.96
IBD	stab	hat	1e-08	0	25		0		72.18	-0.0	72.17	-5e-05	73.36	0.0	72.18
IBD	stab	hat	1e-08	0	26		0		83.17	-0.0	83.17	1e-05	83.24	0.0	83.17
IBD	stab	hat	1e-08	0	27		0		91.71	-0.00052	91.82	1e-05	91.73	0.00034	92.0
IBD	stab	hat	1e-08	0	28		0		87.67	-0.00062	87.83	-2e-05	87.76	0.00046	88.04
IBD	stab	hat	1e-08	0	29		0		72.54	-0.00068	72.74	0.0	72.54	0.00042	72.86
IBD	stab	hat	1e-08	0	30		0		77.69	-0.0	77.69	-1e-05	77.73	0.0	77.69
IBD	stab	hat	1e-08	0	31		0		85.96	-0.00157	88.02	-1e-05	85.98	0.00198	88.73
IBD	stab	hat	1e-08	0	32		0		77.09	-0.00043	77.19	-0.0	77.09	0.00021	77.28
IBD	stab	hat	1e-08	0	33		0		79.74	-0.00052	79.85	-1e-05	79.75	0.00038	80.02
IBD	stab	hat	1e-08	0	34		0		83.4	-0.00046	83.57	4e-05	84.09	0.00029	83.72
IBD	stab	hat	1e-08	0	35		0		83.89	-0.00048	84.03	1e-05	83.97	0.00053	84.4
IBD	stab	hat	1e-08	0	36		0		86.29	-0.0	86.29	-1e-05	86.34	0.0	86.28
IBD	stab	hat	1e-08	0	37		0		88.94	-0.0022	91.34	4e-05	89.5	0.00242	91.39
IBD	stab	hat	1e-08	0	38		0		86.66	-0.00196	87.46	7e-05	88.23	0.00146	87.47
IBD	stab	hat	1e-08	0	39		0		78.09	-0.0	78.09	3e-05	78.59	0.0	78.09
IBD	stab	hat	1e-08	0	40		0		86.53	-0.0	86.53	1e-05	86.6	0.0	86.53
IBD	stab	hat	1e-08	0	41		0		80.84	-0.0	80.84	-1e-05	80.93	0.0	80.84
IBD	stab	hat	1e-08	0	42		0		76.83	-0.0	76.83	-0.0	76.83	0.0	76.83
IBD	stab	hat	1e-08	0	43		0		82.96	-0.0	82.96	-0.0	82.96	0.0	82.95
IBD	stab	hat	1e-08	0	44		0		79.74	-0.0	79.74	5e-05	80.85	0.0	79.74
IBD	stab	hat	1e-08	0	45		0		78.49	-0.0	78.49	1e-05	78.5	0.0	78.47
IBD	stab	hat	1e-08	0	46		0		82.57	-0.00047	83.15	1e-05	82.61	8e-05	82.7
IBD	stab	hat	1e-08	0	47		0		74.69	-0.00212	76.71	-3e-05	75.17	0.00178	76.32
IBD	stab	hat	1e-08	0	48		0		86.98	-0.00103	87.49	7e-05	88.93	0.00058	87.45
IBD	stab	hat	1e-08	0	49		0		82.67	-0.0	82.67	1e-05	82.73	0.0	82.67
IBD	stab	hat	1e-08	0	50		0		89.77	-0.00274	91.6	-2e-05	89.93	0.00512	92.87
IBD	stab	hat	1e-08	0	51		0		78.51	-0.00097	78.93	-3e-05	78.9	0.00079	79.22
IBD	stab	hat	1e-08	0	52		0		71.93	-0.00145	72.5	3e-05	72.28	0.00061	72.33
IBD	stab	hat	1e-08	0	53		0		77.38	-0.0	77.38	-2e-05	77.6	0.0	77.38
IBD	stab	hat	1e-08	0	54		0		78.03	-0.0012	78.98	-5e-05	79.31	0.00063	78.75
IBD	stab	hat	1e-08	0	55		0		88.0	-0.00052	88.11	6e-05	89.2	0.0004	88.3
IBD	stab	hat	1e-08	0	56		0		81.23	-0.0	81.23	-0.0	81.24	0.0	81.23
IBD	stab	hat	1e-08	0	57		0		84.28	-6e-05	84.28	-2e-05	84.47	5e-05	84.32
IBD	stab	hat	1e-08	0	58		0		82.46	-0.00077	83.12	3e-05	82.77	0.00011	82.61
IBD	stab	hat	1e-08	0	59		0		79.42	-0.0	79.42	-3e-05	79.73	0.0	79.43
IBD	stab	hat	1e-08	0	60		0		84.48	-0.00116	85.54	4e-05	85.08	0.00176	86.26
IBD	stab	hat	1e-08	0	61		0		81.32	-0.0	81.32	-4e-05	82.0	0.0	81.33
IBD	stab	hat	1e-08	0	62		0		82.71	-0.00045	82.83	0.0001	86.35	5e-05	82.77
IBD	stab	hat	1e-08	0	63		0		87.45	-0.00117	88.01	-1e-05	87.54	0.00046	87.84
IBD	stab	hat	1e-08	0	64		0		83.02	-0.0	83.02	-3e-05	83.47	4e-05	83.05
IBD	stab	hat	1e-08	0	65		0		79.78	-0.00185	80.77	-1e-05	79.82	0.00226	81.53
