trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	dir	ash	1e-08	0	0	0			83.32	-0.00092	83.95	1e-05	83.41	0.00033	83.69
IBD	dir	ash	1e-08	0	1	0			85.75	-0.00086	86.01	3e-05	86.0	0.00094	86.44
IBD	dir	ash	1e-08	0	2	0			78.35	-0.0	78.35	7e-05	79.88	0.0	78.34
IBD	dir	ash	1e-08	0	3	0			79.41	-0.0	79.41	5e-05	80.0	0.0	79.42
IBD	dir	ash	1e-08	0	4	0			80.07	-0.0	80.07	0.0	80.08	0.0	80.08
IBD	dir	ash	1e-08	0	5	0			71.11	-0.0	71.11	2e-05	71.32	0.0	71.11
IBD	dir	ash	1e-08	0	6	0			79.15	-0.00052	79.36	6e-05	80.97	0.0004	79.6
IBD	dir	ash	1e-08	0	7	0			86.42	-0.00078	86.67	-2e-05	86.54	0.00126	87.34
IBD	dir	ash	1e-08	0	8	0			86.82	-0.0	86.82	0.0	86.83	0.00034	87.07
IBD	dir	ash	1e-08	0	9	0			85.81	-0.0	85.81	-4e-05	86.24	0.0	85.81
IBD	dir	ash	1e-08	0	10	0			81.34	-0.0	81.33	-0.0	81.34	0.0	81.34
IBD	dir	ash	1e-08	0	11	0			82.11	-0.0	82.1	-3e-05	82.33	0.0	82.1
IBD	dir	ash	1e-08	0	12	0			80.43	-0.00078	80.68	1e-05	80.5	0.00078	81.01
IBD	dir	ash	1e-08	0	13	0			87.76	-0.0	87.76	1e-05	87.77	0.0	87.76
IBD	dir	ash	1e-08	0	14	0			83.14	-0.00071	83.27	5e-05	83.88	3e-05	83.15
IBD	dir	ash	1e-08	0	15	0			81.97	-0.0	81.96	-4e-05	82.89	9e-05	82.08
IBD	dir	ash	1e-08	0	16	0			83.55	-0.0	83.55	-2e-05	83.79	0.0	83.55
IBD	dir	ash	1e-08	0	17	0			87.07	-0.00149	87.81	-5e-05	87.96	0.00119	87.99
IBD	dir	ash	1e-08	0	18	0			77.76	-0.0	77.76	-3e-05	78.22	0.0	77.76
IBD	dir	ash	1e-08	0	19	0			85.31	-0.00129	86.21	1e-05	85.34	0.00114	86.37
IBD	dir	ash	1e-08	0	20	0			84.11	-0.0	84.11	-4e-05	84.58	0.0	84.11
IBD	dir	ash	1e-08	0	21	0			86.75	-0.0	86.75	-4e-05	87.23	0.0	86.75
IBD	dir	ash	1e-08	0	22	0			89.18	-0.0	89.18	-0.0	89.18	0.0	89.18
IBD	dir	ash	1e-08	0	23	0			83.55	-0.00122	84.04	3e-05	83.79	0.00053	83.91
IBD	dir	ash	1e-08	0	24	0			78.75	-0.0	78.75	-4e-05	79.43	0.0	78.76
IBD	dir	ash	1e-08	0	25	0			91.22	-4e-05	91.22	-3e-05	91.51	0.00027	91.48
IBD	dir	ash	1e-08	0	26	0			86.33	-0.0	86.33	2e-05	86.52	0.00033	86.54
IBD	dir	ash	1e-08	0	27	0			81.72	-0.0	81.72	-1e-05	81.75	0.0	81.72
IBD	dir	ash	1e-08	0	28	0			80.02	-0.00018	80.03	-2e-05	80.19	0.00044	80.34
IBD	dir	ash	1e-08	0	29	0			84.13	-0.0	84.13	-2e-05	84.26	1e-05	84.13
IBD	dir	ash	1e-08	0	30	0			83.68	-0.00071	83.81	-3e-05	83.93	0.00044	83.94
IBD	dir	ash	1e-08	0	31	0			89.61	-0.0	89.61	2e-05	89.75	0.0	89.63
IBD	dir	ash	1e-08	0	32	0			84.37	-0.00017	84.38	6e-05	85.52	4e-05	84.39
IBD	dir	ash	1e-08	0	33	0			77.3	-0.0	77.3	1e-05	77.32	0.0	77.3
IBD	dir	ash	1e-08	0	34	0			82.64	-0.00033	82.7	-1e-05	82.7	0.00035	82.97
IBD	dir	ash	1e-08	0	35	0			75.09	-0.0	75.09	-4e-05	75.56	0.0	75.09
IBD	dir	ash	1e-08	0	36	0			74.35	-0.0	74.35	-0.0	74.36	0.0	74.35
IBD	dir	ash	1e-08	0	37	0			85.95	-0.00025	85.99	-6e-05	87.29	0.00024	86.18
IBD	dir	ash	1e-08	0	38	0			72.29	-0.0	72.29	1e-05	72.32	0.0	72.28
IBD	dir	ash	1e-08	0	39	0			73.37	-0.0	73.37	-2e-05	73.6	0.0	73.37
IBD	dir	ash	1e-08	0	40	0			77.04	-0.0	77.04	-2e-05	77.24	0.0	77.04
IBD	dir	ash	1e-08	0	41	0			86.6	-0.00032	86.65	-3e-05	86.94	0.0	86.6
IBD	dir	ash	1e-08	0	42	0			74.8	-0.0	74.8	-2e-05	74.9	0.0	74.8
IBD	dir	ash	1e-08	0	43	0			77.52	-0.0	77.52	3e-05	77.97	0.0	77.52
IBD	dir	ash	1e-08	0	44	0			78.88	-0.0	78.88	-4e-05	79.53	1e-05	78.89
IBD	dir	ash	1e-08	0	45	0			81.49	-0.00032	81.53	-5e-05	82.34	0.00019	81.62
IBD	dir	ash	1e-08	0	46	0			84.48	-0.0	84.48	3e-05	84.88	0.0	84.48
IBD	dir	ash	1e-08	0	47	0			76.69	-0.0	76.69	3e-05	77.08	0.0	76.69
IBD	dir	ash	1e-08	0	48	0			84.97	-0.00104	85.75	3e-05	85.27	0.00072	85.76
IBD	dir	ash	1e-08	0	49	0			86.25	-0.00036	86.29	-1e-05	86.27	0.00026	86.43
IBD	dir	ash	1e-08	0	50	0			79.74	-0.0	79.74	3e-05	80.03	0.0	79.75
IBD	dir	ash	1e-08	0	51	0			71.09	-0.0	71.09	3e-05	71.31	0.0	71.09
IBD	dir	ash	1e-08	0	52	0			81.8	-0.00012	81.8	-4e-05	82.28	0.0	81.8
IBD	dir	ash	1e-08	0	53	0			86.37	-0.0	86.37	-5e-05	87.43	0.0	86.38
IBD	dir	ash	1e-08	0	54	0			74.38	-0.0	74.38	3e-05	74.68	0.0	74.39
IBD	dir	ash	1e-08	0	55	0			77.82	-0.00061	78.06	0.0	77.82	0.0001	77.91
IBD	dir	ash	1e-08	0	56	0			77.46	-0.0	77.45	-3e-05	77.73	0.0	77.46
IBD	dir	ash	1e-08	0	57	0			79.54	-0.0	79.54	0.0	79.54	0.0	79.54
IBD	dir	ash	1e-08	0	58	0			82.59	-0.0	82.59	1e-05	82.66	0.0	82.59
IBD	dir	ash	1e-08	0	59	0			84.26	-0.0	84.25	1e-05	84.27	0.0	84.26
IBD	dir	ash	1e-08	0	60	0			92.15	-0.00259	95.12	0.00011	96.72	0.00395	95.67
IBD	dir	ash	1e-08	0	61	0			84.11	-0.0	84.1	0.00014	90.09	0.0	84.1
IBD	dir	ash	1e-08	0	62	0			85.55	-0.0	85.55	4e-05	86.13	0.0	85.56
IBD	dir	ash	1e-08	0	63	0			83.13	-0.00316	84.8	4e-05	83.85	0.00406	85.88
IBD	dir	ash	1e-08	0	64	0			84.9	-0.0	84.9	1e-05	84.96	0.0	84.9
IBD	dir	ash	1e-08	0	65	0			83.43	-0.00075	83.71	-1e-05	83.48	0.00038	83.76
IBD	dir	ash	1e-08	0	66	0			77.74	-0.00037	77.78	0.0	77.74	4e-05	77.76
IBD	dir	ash	1e-08	0	67	0			76.63	-0.0	76.63	-4e-05	77.19	0.0	76.64
IBD	dir	ash	1e-08	0	68	0			71.34	-0.0	71.34	3e-05	71.71	0.0	71.33
IBD	dir	ash	1e-08	0	69	0			90.62	-0.00309	94.73	-5e-05	91.52	0.00409	94.82
IBD	dir	ash	1e-08	0	70	0			81.78	-0.0	81.78	-1e-05	81.8	0.0	81.79
IBD	dir	ash	1e-08	0	71	0			79.14	-0.0	79.14	-0.0	79.14	0.0	79.15
IBD	dir	ash	1e-08	0	72	0			90.81	-0.00154	91.39	-2e-05	90.9	0.00271	92.38
IBD	dir	ash	1e-08	0	73	0			82.92	-0.0	82.92	-8e-05	85.47	0.0	82.92
IBD	dir	ash	1e-08	0	74	0			76.66	-0.00017	76.68	1e-05	76.69	3e-05	76.69
IBD	dir	ash	1e-08	0	75	0			81.38	-0.0	81.38	3e-05	81.77	0.0	81.38
IBD	dir	ash	1e-08	0	76	0			82.87	-6e-05	82.88	-4e-05	83.64	0.0	82.88
IBD	dir	ash	1e-08	0	77	0			85.91	-0.00111	86.61	0.0	85.91	0.00082	86.61
IBD	dir	ash	1e-08	0	78	0			75.39	-0.0	75.39	1e-05	75.4	0.0	75.38
IBD	dir	ash	1e-08	0	79	0			78.4	-0.00151	79.12	1e-05	78.42	0.00099	79.22
IBD	dir	ash	1e-08	0	80	0			77.73	-0.0	77.72	3e-05	78.16	0.0	77.73
IBD	dir	ash	1e-08	0	81	0			79.16	-0.0	79.16	3e-05	79.52	0.0	79.16
IBD	dir	ash	1e-08	0	82	0			73.99	-0.0	73.99	-5e-05	74.73	0.0	74.0
IBD	dir	ash	1e-08	0	83	0			91.13	-0.00089	91.45	5e-05	92.18	0.00072	91.73
IBD	dir	ash	1e-08	0	84	0			84.27	-0.00041	84.36	4e-05	84.93	0.00052	84.77
IBD	dir	ash	1e-08	0	85	0			87.0	-0.0	86.99	-7e-05	88.49	0.0	87.0
IBD	dir	ash	1e-08	0	86	0			91.75	-0.0	91.75	1e-05	91.77	0.0	91.75
IBD	dir	ash	1e-08	0	87	0			79.44	-0.0	79.44	-6e-05	80.66	0.0	79.44
IBD	dir	ash	1e-08	0	88	0			76.73	-0.00038	76.9	-8e-05	79.31	5e-05	76.79
IBD	dir	ash	1e-08	0	89	0			83.73	-0.00074	83.87	3e-05	83.96	0.00016	83.82
IBD	dir	ash	1e-08	0	90	0			76.68	-0.0	76.68	-2e-05	76.83	0.0	76.68
IBD	dir	ash	1e-08	0	91	0			80.35	-0.00063	80.62	1e-05	80.44	0.00029	80.65
IBD	dir	ash	1e-08	0	92	0			87.02	-0.00093	87.46	-2e-05	87.2	0.00055	87.51
IBD	dir	ash	1e-08	0	93	0			90.9	-0.00197	92.44	4e-05	91.67	0.00205	92.67
IBD	dir	ash	1e-08	0	94	0			79.5	-0.0	79.5	-5e-05	80.34	0.0	79.49
IBD	dir	ash	1e-08	0	95	0			81.09	-0.0	81.09	-1e-05	81.12	0.0	81.1
IBD	dir	ash	1e-08	0	96	0			72.3	-0.00152	73.12	1e-05	72.32	0.00104	73.21
IBD	dir	ash	1e-08	0	97	0			84.07	-0.00011	84.08	-5e-05	85.14	1e-05	84.1
IBD	dir	ash	1e-08	0	98	0			79.25	-0.00011	79.26	-1e-05	79.27	7e-05	79.32
IBD	dir	ash	1e-08	0	99	0			87.13	-0.00097	87.67	5e-05	88.33	0.00098	88.07
