trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	plei	ash	1e-08	0	0			1e-100	79.5	-0.0	79.5	-1e-05	79.52	0.0	79.49
IBD	plei	ash	1e-08	0	1			1e-100	92.13	-0.00252	94.79	2e-05	92.29	0.004	95.6
IBD	plei	ash	1e-08	0	2			1e-100	80.44	-0.0008	81.07	1e-05	80.48	0.00035	80.85
IBD	plei	ash	1e-08	0	3			1e-100	87.34	-0.00066	87.48	2e-05	87.47	0.00055	87.71
IBD	plei	ash	1e-08	0	4			1e-100	87.48	-0.00075	87.89	-1e-05	87.5	0.0002	87.7
IBD	plei	ash	1e-08	0	5			1e-100	79.05	-0.0	79.05	-0.0	79.05	0.0	79.05
IBD	plei	ash	1e-08	0	6			1e-100	85.5	-0.0	85.5	-4e-05	86.07	0.0	85.51
IBD	plei	ash	1e-08	0	7			1e-100	82.45	-0.00038	82.5	1e-05	82.52	2e-05	82.47
IBD	plei	ash	1e-08	0	8			1e-100	77.33	-0.0	77.33	-0.0	77.33	0.0	77.33
IBD	plei	ash	1e-08	0	9			1e-100	88.35	-0.00129	88.95	0.0	88.36	0.00063	88.78
IBD	plei	ash	1e-08	0	10			1e-100	75.14	-0.00015	75.15	-1e-05	75.16	1e-05	75.14
IBD	plei	ash	1e-08	0	11			1e-100	78.06	-0.0	78.06	-3e-05	78.48	0.0	78.06
IBD	plei	ash	1e-08	0	12			1e-100	80.38	-0.0	80.38	1e-05	80.4	0.0	80.39
IBD	plei	ash	1e-08	0	13			1e-100	86.9	-0.0	86.9	7e-05	88.39	0.0	86.91
IBD	plei	ash	1e-08	0	14			1e-100	81.51	-0.0002	81.54	4e-05	82.22	5e-05	81.56
IBD	plei	ash	1e-08	0	15			1e-100	91.15	-0.00129	91.61	-0.00011	94.19	0.00049	91.43
IBD	plei	ash	1e-08	0	16			1e-100	86.18	-0.00173	87.13	-5e-05	87.04	0.001	86.85
IBD	plei	ash	1e-08	0	17			1e-100	81.17	-0.0	81.17	2e-05	81.37	0.0	81.17
IBD	plei	ash	1e-08	0	18			1e-100	76.15	-0.0	76.14	-2e-05	76.23	0.0	76.15
IBD	plei	ash	1e-08	0	19			1e-100	75.79	-0.0	75.79	6e-05	76.87	0.0	75.79
IBD	plei	ash	1e-08	0	20			1e-100	92.74	-0.00019	92.75	-7e-05	94.08	0.00018	92.84
IBD	plei	ash	1e-08	0	21			1e-100	77.0	-0.0	77.0	-0.00012	82.07	0.0	77.01
IBD	plei	ash	1e-08	0	22			1e-100	80.34	-0.0	80.33	5e-05	81.51	0.0	80.33
IBD	plei	ash	1e-08	0	23			1e-100	89.39	-0.00138	90.1	-2e-05	89.5	0.00106	90.2
IBD	plei	ash	1e-08	0	24			1e-100	86.71	-0.00059	86.9	2e-05	86.89	0.00062	87.21
IBD	plei	ash	1e-08	0	25			1e-100	75.87	-0.00056	76.02	-2e-05	76.06	7e-05	75.93
IBD	plei	ash	1e-08	0	26			1e-100	71.36	-0.0	71.35	-6e-05	72.88	0.0	71.36
IBD	plei	ash	1e-08	0	27			1e-100	86.19	-0.0	86.19	1e-05	86.26	0.0	86.18
IBD	plei	ash	1e-08	0	28			1e-100	88.09	-0.0	88.09	-0.0	88.09	0.0	88.09
IBD	plei	ash	1e-08	0	29			1e-100	82.01	-0.00107	82.39	-6e-05	83.44	0.00059	82.45
IBD	plei	ash	1e-08	0	30			1e-100	75.71	-0.00016	75.73	3e-05	76.0	0.00017	75.88
IBD	plei	ash	1e-08	0	31			1e-100	68.55	-0.0	68.54	-3e-05	68.99	0.0	68.55
IBD	plei	ash	1e-08	0	32			1e-100	88.56	-0.00198	90.6	4e-05	89.51	0.00264	91.29
IBD	plei	ash	1e-08	0	33			1e-100	85.44	-0.0	85.44	5e-05	86.12	0.0	85.45
IBD	plei	ash	1e-08	0	34			1e-100	75.02	-0.00051	75.21	-0.0	75.03	0.00038	75.42
IBD	plei	ash	1e-08	0	35			1e-100	75.09	-0.0	75.09	-3e-05	75.34	5e-05	75.12
IBD	plei	ash	1e-08	0	36			1e-100	86.52	-0.00242	88.27	3e-05	86.87	0.00279	88.38
IBD	plei	ash	1e-08	0	37			1e-100	90.15	-0.0	90.15	-2e-05	90.25	0.0	90.14
IBD	plei	ash	1e-08	0	38			1e-100	86.11	-0.00085	86.6	-3e-05	86.49	0.00045	86.59
IBD	plei	ash	1e-08	0	39			1e-100	89.01	-0.00127	89.61	2e-05	89.14	0.00058	89.44
IBD	plei	ash	1e-08	0	40			1e-100	83.81	-0.0	83.81	-5e-05	84.74	0.0	83.82
IBD	plei	ash	1e-08	0	41			1e-100	78.61	-0.0	78.61	9e-05	81.27	0.0	78.62
IBD	plei	ash	1e-08	0	42			1e-100	80.35	-5e-05	80.35	2e-05	80.49	0.0	80.35
IBD	plei	ash	1e-08	0	43			1e-100	83.58	-0.00028	83.61	-6e-05	84.79	0.00038	83.85
IBD	plei	ash	1e-08	0	44			1e-100	89.37	-0.00059	89.58	6e-05	90.76	0.00043	89.82
IBD	plei	ash	1e-08	0	45			1e-100	87.29	-0.0	87.29	-1e-05	87.31	0.0	87.3
IBD	plei	ash	1e-08	0	46			1e-100	84.93	-0.00229	86.37	-3e-05	85.21	0.00278	86.82
IBD	plei	ash	1e-08	0	47			1e-100	80.13	-0.0	80.13	-2e-05	80.3	0.0	80.12
