trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	stab	ash	1e-08	0	0		0		91.46	-0.00051	91.66	-4e-05	92.06	0.00039	91.87
IBD	stab	ash	1e-08	0	1		0		80.57	-0.0	80.56	0.0001	83.76	0.0	80.57
IBD	stab	ash	1e-08	0	2		0		78.22	-0.0	78.22	0.0	78.22	0.0	78.22
IBD	stab	ash	1e-08	0	3		0		86.97	-0.0006	87.14	4e-05	87.49	0.00054	87.49
IBD	stab	ash	1e-08	0	4		0		74.79	-5e-05	74.79	-5e-05	75.95	2e-05	74.8
IBD	stab	ash	1e-08	0	5		0		80.83	-0.00063	81.01	2e-05	80.99	0.00034	81.13
IBD	stab	ash	1e-08	0	6		0		85.55	-0.00028	85.59	-1e-05	85.58	0.00024	85.75
IBD	stab	ash	1e-08	0	7		0		77.39	-0.0	77.39	9e-05	80.29	0.0	77.39
IBD	stab	ash	1e-08	0	8		0		78.31	-0.0	78.31	2e-05	78.41	0.0	78.31
IBD	stab	ash	1e-08	0	9		0		86.82	-0.00137	87.92	-3e-05	87.18	0.00202	88.94
IBD	stab	ash	1e-08	0	10		0		90.98	-0.0011	91.64	-2e-05	91.16	0.00134	92.34
IBD	stab	ash	1e-08	0	11		0		79.48	-0.00034	79.54	3e-05	79.87	0.00017	79.63
IBD	stab	ash	1e-08	0	12		0		94.98	-0.0	94.98	1e-05	94.99	0.0	94.99
IBD	stab	ash	1e-08	0	13		0		70.15	-0.0	70.15	4e-05	70.64	0.0	70.15
IBD	stab	ash	1e-08	0	14		0		79.5	-0.0	79.5	-5e-05	80.34	0.0	79.49
IBD	stab	ash	1e-08	0	15		0		82.74	-0.00089	83.2	4e-05	83.55	0.00065	83.4
IBD	stab	ash	1e-08	0	16		0		86.99	-0.00018	87.02	-2e-05	87.13	0.00249	88.71
IBD	stab	ash	1e-08	0	17		0		83.46	-0.0	83.46	-3e-05	83.68	0.0	83.46
IBD	stab	ash	1e-08	0	18		0		86.82	-0.00046	86.91	0.0	86.82	0.00172	88.09
IBD	stab	ash	1e-08	0	19		0		78.96	-0.0	78.96	-7e-05	80.53	0.0	78.97
IBD	stab	ash	1e-08	0	20		0		78.35	-0.0	78.35	-5e-05	79.06	0.0	78.36
IBD	stab	ash	1e-08	0	21		0		84.49	-0.0	84.49	-1e-05	84.51	0.0	84.48
IBD	stab	ash	1e-08	0	22		0		77.31	-0.0	77.31	-0.0	77.32	5e-05	77.36
IBD	stab	ash	1e-08	0	23		0		80.76	-0.0	80.75	-0.0	80.76	0.0	80.76
IBD	stab	ash	1e-08	0	24		0		92.15	-0.00184	93.32	4e-05	92.63	0.00191	93.51
IBD	stab	ash	1e-08	0	25		0		72.18	-0.0	72.17	-5e-05	73.38	0.0	72.18
IBD	stab	ash	1e-08	0	26		0		83.17	-0.0	83.17	1e-05	83.25	0.0	83.17
IBD	stab	ash	1e-08	0	27		0		91.71	-0.00017	91.72	1e-05	91.73	0.00018	91.85
IBD	stab	ash	1e-08	0	28		0		87.67	-0.00025	87.7	-2e-05	87.76	0.00026	87.87
IBD	stab	ash	1e-08	0	29		0		72.54	-0.00039	72.61	-0.0	72.54	0.00024	72.72
IBD	stab	ash	1e-08	0	30		0		77.69	-0.0	77.69	-1e-05	77.74	0.0	77.69
IBD	stab	ash	1e-08	0	31		0		85.96	-0.00134	87.28	-1e-05	85.99	0.00169	88.15
IBD	stab	ash	1e-08	0	32		0		77.09	-7e-05	77.09	-0.0	77.09	8e-05	77.15
