trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	dir	true	1e-08	0	0	0			83.32	-0.00093	84.0	1e-05	83.38	0.00034	83.71
IBD	dir	true	1e-08	0	1	0			85.75	-0.00095	86.08	2e-05	85.98	0.00108	86.55
IBD	dir	true	1e-08	0	2	0			78.35	-0.0	78.35	6e-05	79.79	0.0	78.34
IBD	dir	true	1e-08	0	3	0			79.41	-0.0	79.41	4e-05	79.9	0.0	79.42
IBD	dir	true	1e-08	0	4	0			80.07	-0.0	80.07	0.0	80.07	0.0	80.08
IBD	dir	true	1e-08	0	5	0			71.11	-0.0	71.11	2e-05	71.35	0.0	71.11
IBD	dir	true	1e-08	0	6	0			79.15	-0.00067	79.48	5e-05	80.52	0.00046	79.67
IBD	dir	true	1e-08	0	7	0			86.42	-0.00086	86.73	-2e-05	86.58	0.00129	87.39
IBD	dir	true	1e-08	0	8	0			86.82	-0.0	86.82	-0.0	86.82	8e-05	86.88
IBD	dir	true	1e-08	0	9	0			85.81	-0.0	85.81	-5e-05	86.57	0.0	85.81
IBD	dir	true	1e-08	0	10	0			81.34	-0.0	81.33	0.0	81.34	0.0	81.34
IBD	dir	true	1e-08	0	11	0			82.11	-0.0	82.1	-3e-05	82.4	0.0	82.1
IBD	dir	true	1e-08	0	12	0			80.43	-0.00095	80.91	1e-05	80.5	0.0009	81.18
IBD	dir	true	1e-08	0	13	0			87.76	-0.0	87.76	1e-05	87.77	0.0	87.76
IBD	dir	true	1e-08	0	14	0			83.14	-0.00101	83.45	5e-05	83.99	8e-05	83.18
IBD	dir	true	1e-08	0	15	0			81.97	-0.0	81.96	-4e-05	82.66	3e-05	82.01
IBD	dir	true	1e-08	0	16	0			83.55	-0.0	83.55	-2e-05	83.68	0.0	83.55
IBD	dir	true	1e-08	0	17	0			87.07	-0.00129	87.66	-5e-05	88.09	0.00106	87.86
IBD	dir	true	1e-08	0	18	0			77.76	-0.0	77.76	-3e-05	78.27	0.0	77.76
IBD	dir	true	1e-08	0	19	0			85.31	-0.00108	86.05	1e-05	85.38	0.00089	86.15
IBD	dir	true	1e-08	0	20	0			84.11	-0.0	84.11	-3e-05	84.44	0.0	84.11
IBD	dir	true	1e-08	0	21	0			86.75	-0.0	86.75	-4e-05	87.18	0.0	86.75
IBD	dir	true	1e-08	0	22	0			89.18	-0.0	89.18	0.0	89.18	0.0	89.18
IBD	dir	true	1e-08	0	23	0			83.55	-0.00132	84.13	2e-05	83.71	0.00064	83.99
IBD	dir	true	1e-08	0	24	0			78.75	-0.0	78.75	-3e-05	79.24	0.0	78.76
IBD	dir	true	1e-08	0	25	0			91.22	-0.0	91.22	-3e-05	91.55	0.00021	91.41
IBD	dir	true	1e-08	0	26	0			86.33	-0.00022	86.34	3e-05	86.74	0.00032	86.54
IBD	dir	true	1e-08	0	27	0			81.72	-0.0	81.72	-0.0	81.72	0.0	81.72
IBD	dir	true	1e-08	0	28	0			80.02	-8e-05	80.02	-2e-05	80.16	0.00043	80.3
IBD	dir	true	1e-08	0	29	0			84.13	-0.0	84.13	-1e-05	84.21	1e-05	84.14
IBD	dir	true	1e-08	0	30	0			83.68	-0.00111	84.03	-3e-05	83.91	0.00057	84.02
IBD	dir	true	1e-08	0	31	0			89.61	-0.0	89.61	2e-05	89.78	0.0	89.63
IBD	dir	true	1e-08	0	32	0			84.37	-0.0	84.37	5e-05	85.26	0.0	84.37
IBD	dir	true	1e-08	0	33	0			77.3	-0.0	77.3	1e-05	77.36	0.0	77.3
IBD	dir	true	1e-08	0	34	0			82.64	-0.00044	82.77	-2e-05	82.75	0.00043	83.07
IBD	dir	true	1e-08	0	35	0			75.09	-0.0	75.09	-5e-05	75.81	0.0	75.09
IBD	dir	true	1e-08	0	36	0			74.35	-0.0	74.35	-0.0	74.36	0.0	74.35
IBD	dir	true	1e-08	0	37	0			85.95	-0.00028	86.0	-6e-05	87.27	0.00026	86.2
IBD	dir	true	1e-08	0	38	0			72.29	-0.0	72.29	1e-05	72.3	0.0	72.28
IBD	dir	true	1e-08	0	39	0			73.37	-0.0	73.37	-2e-05	73.59	0.0	73.37
IBD	dir	true	1e-08	0	40	0			77.04	-0.0	77.04	-2e-05	77.29	0.0	77.04
