trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	plei	true	1e-08	0	0			1e-100	79.5	-0.0	79.5	-1e-05	79.55	0.0	79.49
IBD	plei	true	1e-08	0	1			1e-100	92.13	-0.00254	94.68	2e-05	92.34	0.00381	95.46
IBD	plei	true	1e-08	0	2			1e-100	80.44	-0.00083	81.08	1e-05	80.47	0.00036	80.86
IBD	plei	true	1e-08	0	3			1e-100	87.34	-0.00066	87.53	2e-05	87.46	0.00051	87.72
IBD	plei	true	1e-08	0	4			1e-100	87.48	-0.0007	87.76	-1e-05	87.49	0.00015	87.63
IBD	plei	true	1e-08	0	5			1e-100	79.05	-0.0	79.05	0.0	79.05	0.0	79.05
IBD	plei	true	1e-08	0	6			1e-100	85.5	-0.00028	85.53	-4e-05	85.95	5e-05	85.54
IBD	plei	true	1e-08	0	7			1e-100	82.45	-0.00035	82.51	3e-05	82.73	1e-05	82.46
IBD	plei	true	1e-08	0	8			1e-100	77.33	-0.0	77.33	0.0	77.33	0.0	77.33
IBD	plei	true	1e-08	0	9			1e-100	88.35	-0.00162	89.18	1e-05	88.37	0.00089	88.92
IBD	plei	true	1e-08	0	10			1e-100	75.14	-0.00015	75.15	-1e-05	75.16	0.0	75.14
IBD	plei	true	1e-08	0	11			1e-100	78.06	-0.0	78.06	-3e-05	78.52	0.0	78.06
IBD	plei	true	1e-08	0	12			1e-100	80.38	-0.0	80.38	1e-05	80.42	0.0	80.39
IBD	plei	true	1e-08	0	13			1e-100	86.9	-0.0	86.9	6e-05	87.94	0.0	86.91
IBD	plei	true	1e-08	0	14			1e-100	81.51	-0.00022	81.54	4e-05	82.35	5e-05	81.57
IBD	plei	true	1e-08	0	15			1e-100	91.15	-0.00143	91.75	-0.00012	94.66	0.00058	91.49
IBD	plei	true	1e-08	0	16			1e-100	86.18	-0.00207	87.71	-4e-05	86.79	0.00132	87.12
IBD	plei	true	1e-08	0	17			1e-100	81.17	-0.0	81.17	3e-05	81.54	0.0	81.17
IBD	plei	true	1e-08	0	18			1e-100	76.15	-0.0	76.15	-1e-05	76.19	0.0	76.15
IBD	plei	true	1e-08	0	19			1e-100	75.79	-0.0	75.79	6e-05	76.87	0.0	75.79
IBD	plei	true	1e-08	0	20			1e-100	92.74	-0.00029	92.77	-8e-05	94.71	0.00017	92.84
IBD	plei	true	1e-08	0	21			1e-100	77.0	-0.0	77.0	-0.00012	81.8	0.0	77.01
IBD	plei	true	1e-08	0	22			1e-100	80.34	-0.0	80.33	6e-05	81.9	0.0	80.33
IBD	plei	true	1e-08	0	23			1e-100	89.39	-0.00107	89.83	-2e-05	89.61	0.0008	89.98
IBD	plei	true	1e-08	0	24			1e-100	86.71	-0.00072	86.99	2e-05	86.87	0.00066	87.26
IBD	plei	true	1e-08	0	25			1e-100	75.87	-0.00071	76.1	-2e-05	76.07	0.00012	75.97
IBD	plei	true	1e-08	0	26			1e-100	71.36	-0.0	71.35	-7e-05	73.14	0.0	71.36
IBD	plei	true	1e-08	0	27			1e-100	86.19	-0.0	86.19	1e-05	86.2	0.0	86.18
IBD	plei	true	1e-08	0	28			1e-100	88.09	-0.0	88.09	-1e-05	88.13	0.0	88.09
IBD	plei	true	1e-08	0	29			1e-100	82.01	-0.00122	82.46	-6e-05	83.16	0.00068	82.51
IBD	plei	true	1e-08	0	30			1e-100	75.71	-0.00044	75.83	3e-05	76.09	0.00022	75.94
IBD	plei	true	1e-08	0	31			1e-100	68.55	-0.0	68.54	-3e-05	68.94	0.0	68.55
IBD	plei	true	1e-08	0	32			1e-100	88.56	-0.00185	90.48	4e-05	89.31	0.00248	91.16
IBD	plei	true	1e-08	0	33			1e-100	85.44	-0.0	85.44	4e-05	85.97	0.0	85.45
IBD	plei	true	1e-08	0	34			1e-100	75.02	-0.00057	75.25	0.0	75.03	0.00039	75.45
IBD	plei	true	1e-08	0	35			1e-100	75.09	-0.0	75.09	-3e-05	75.36	7e-05	75.13
IBD	plei	true	1e-08	0	36			1e-100	86.52	-0.00229	88.24	4e-05	86.95	0.00245	88.25
IBD	plei	true	1e-08	0	37			1e-100	90.15	-0.0	90.15	-2e-05	90.31	2e-05	90.15
IBD	plei	true	1e-08	0	38			1e-100	86.11	-0.00097	86.74	-3e-05	86.41	0.00051	86.67
IBD	plei	true	1e-08	0	39			1e-100	89.01	-0.00111	89.55	2e-05	89.19	0.00047	89.38
IBD	plei	true	1e-08	0	40			1e-100	83.81	-0.0	83.81	-5e-05	84.79	0.0	83.82
IBD	plei	true	1e-08	0	41			1e-100	78.61	-0.0	78.61	9e-05	81.27	0.0	78.62
IBD	plei	true	1e-08	0	42			1e-100	80.35	-0.00026	80.39	2e-05	80.45	0.0	80.35
IBD	plei	true	1e-08	0	43			1e-100	83.58	-0.0	83.58	-6e-05	84.7	0.00017	83.71
IBD	plei	true	1e-08	0	44			1e-100	89.37	-0.00059	89.6	6e-05	90.82	0.0004	89.8
IBD	plei	true	1e-08	0	45			1e-100	87.29	-0.0	87.29	-1e-05	87.3	1e-05	87.3
IBD	plei	true	1e-08	0	46			1e-100	84.93	-0.00229	86.32	-4e-05	85.38	0.0025	86.62
IBD	plei	true	1e-08	0	47			1e-100	80.13	-0.0	80.13	-2e-05	80.34	0.0	80.12
IBD	plei	true	1e-08	0	48			1e-100	87.8	-0.00194	89.56	-1e-05	87.86	0.00246	90.2
IBD	plei	true	1e-08	0	49			1e-100	77.33	-0.00026	77.36	-2e-05	77.5	0.00021	77.52
IBD	plei	true	1e-08	0	50			1e-100	82.77	-0.00081	82.87	6e-05	83.57	0.00015	82.83
IBD	plei	true	1e-08	0	51			1e-100	91.23	-0.00026	91.28	-0.0	91.23	0.00011	91.36
IBD	plei	true	1e-08	0	52			1e-100	76.51	-0.0	76.51	7e-05	78.22	0.0	76.52
IBD	plei	true	1e-08	0	53			1e-100	81.43	-0.0	81.43	-1e-05	81.45	0.0	81.43
IBD	plei	true	1e-08	0	54			1e-100	87.92	-0.0	87.92	3e-05	88.13	6e-05	87.96
IBD	plei	true	1e-08	0	55			1e-100	79.28	-0.0	79.28	-4e-05	79.85	0.0	79.29
IBD	plei	true	1e-08	0	56			1e-100	69.28	-0.0	69.28	-3e-05	69.79	0.0	69.27
IBD	plei	true	1e-08	0	57			1e-100	88.09	-0.0007	88.45	1e-05	88.14	0.00034	88.41
IBD	plei	true	1e-08	0	58			1e-100	81.33	-0.0	81.33	-6e-05	82.6	0.0	81.35
IBD	plei	true	1e-08	0	59			1e-100	77.46	-0.0	77.45	-4e-05	78.18	0.0	77.46
IBD	plei	true	1e-08	0	60			1e-100	89.31	-0.00124	90.44	3e-05	89.68	0.00084	90.15
IBD	plei	true	1e-08	0	61			1e-100	81.59	-0.0	81.59	5e-05	82.33	0.0	81.6
IBD	plei	true	1e-08	0	62			1e-100	84.92	-0.00181	86.7	-5e-05	85.81	0.00255	87.34
IBD	plei	true	1e-08	0	63			1e-100	77.06	-0.0	77.06	3e-05	77.34	0.0	77.06
IBD	plei	true	1e-08	0	64			1e-100	92.92	-0.00165	94.25	-7e-05	94.83	0.0025	95.09
IBD	plei	true	1e-08	0	65			1e-100	82.59	-0.0	82.59	0.0	82.59	0.0	82.59
IBD	plei	true	1e-08	0	66			1e-100	78.61	-0.0	78.61	2e-05	78.88	0.0	78.62
IBD	plei	true	1e-08	0	67			1e-100	88.67	-0.00028	88.71	0.0	88.67	0.00019	88.85
