trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	stab	true	1e-08	0	0		0		91.46	-0.00042	91.58	-4e-05	92.25	0.00035	91.81
IBD	stab	true	1e-08	0	1		0		80.57	-0.0	80.56	0.0001	84.05	0.0	80.57
IBD	stab	true	1e-08	0	2		0		78.22	-0.0	78.22	1e-05	78.24	0.0	78.22
IBD	stab	true	1e-08	0	3		0		86.97	-0.00023	87.0	3e-05	87.32	0.00029	87.24
IBD	stab	true	1e-08	0	4		0		74.79	-7e-05	74.79	-5e-05	75.87	3e-05	74.81
IBD	stab	true	1e-08	0	5		0		80.83	-0.00078	81.14	2e-05	80.98	0.00044	81.23
IBD	stab	true	1e-08	0	6		0		85.55	-0.0	85.55	-2e-05	85.67	8e-05	85.61
IBD	stab	true	1e-08	0	7		0		77.39	-0.0	77.39	9e-05	80.17	0.0	77.39
IBD	stab	true	1e-08	0	8		0		78.31	-0.0	78.31	2e-05	78.43	0.0	78.31
IBD	stab	true	1e-08	0	9		0		86.82	-0.00135	87.83	-3e-05	87.25	0.00185	88.79
IBD	stab	true	1e-08	0	10		0		90.98	-0.00118	92.02	-3e-05	91.26	0.00146	92.6
IBD	stab	true	1e-08	0	11		0		79.48	-0.0	79.48	2e-05	79.66	4e-05	79.51
IBD	stab	true	1e-08	0	12		0		94.98	-0.0	94.98	0.0	94.98	0.0	94.99
IBD	stab	true	1e-08	0	13		0		70.15	-0.0	70.15	3e-05	70.44	0.0	70.15
IBD	stab	true	1e-08	0	14		0		79.5	-0.0	79.5	-5e-05	80.39	0.0	79.49
IBD	stab	true	1e-08	0	15		0		82.74	-0.00089	83.29	5e-05	83.75	0.00065	83.45
IBD	stab	true	1e-08	0	16		0		86.99	-0.00022	87.04	-3e-05	87.25	0.00223	88.56
IBD	stab	true	1e-08	0	17		0		83.46	-0.0	83.46	-4e-05	83.9	0.0	83.46
IBD	stab	true	1e-08	0	18		0		86.82	-0.00064	87.01	0.0	86.82	0.00176	88.22
IBD	stab	true	1e-08	0	19		0		78.96	-0.0	78.96	-7e-05	80.51	0.0	78.96
IBD	stab	true	1e-08	0	20		0		78.35	-0.0	78.35	-4e-05	78.86	0.0	78.36
IBD	stab	true	1e-08	0	21		0		84.49	-0.0	84.49	-1e-05	84.5	0.0	84.48
IBD	stab	true	1e-08	0	22		0		77.31	-0.0	77.31	-1e-05	77.33	2e-05	77.33
IBD	stab	true	1e-08	0	23		0		80.76	-0.0	80.75	-0.0	80.76	0.0	80.76
IBD	stab	true	1e-08	0	24		0		92.15	-0.00156	93.06	4e-05	92.8	0.00151	93.25
IBD	stab	true	1e-08	0	25		0		72.18	-0.0	72.17	-5e-05	73.21	0.0	72.18
IBD	stab	true	1e-08	0	26		0		83.17	-0.0	83.17	2e-05	83.3	0.0	83.17
IBD	stab	true	1e-08	0	27		0		91.71	-4e-05	91.71	1e-05	91.75	0.00013	91.81
IBD	stab	true	1e-08	0	28		0		87.67	-0.00056	87.78	-1e-05	87.72	0.00041	87.96
IBD	stab	true	1e-08	0	29		0		72.54	-0.00039	72.61	-1e-05	72.56	0.00019	72.68
IBD	stab	true	1e-08	0	30		0		77.69	-0.0	77.69	-1e-05	77.75	0.0	77.69
IBD	stab	true	1e-08	0	31		0		85.96	-0.00144	87.67	-1e-05	86.02	0.00182	88.39
IBD	stab	true	1e-08	0	32		0		77.09	-0.0	77.09	0.0	77.09	6e-05	77.14
IBD	stab	true	1e-08	0	33		0		79.74	-0.00054	79.86	-0.0	79.74	0.00037	80.0
IBD	stab	true	1e-08	0	34		0		83.4	-0.00011	83.41	4e-05	84.08	9e-05	83.49
IBD	stab	true	1e-08	0	35		0		83.89	-0.00016	83.91	1e-05	83.97	0.00025	84.13
IBD	stab	true	1e-08	0	36		0		86.29	-0.0	86.29	-2e-05	86.36	0.0	86.28
IBD	stab	true	1e-08	0	37		0		88.94	-0.00196	90.86	3e-05	89.36	0.00222	91.04
IBD	stab	true	1e-08	0	38		0		86.66	-0.00137	87.0	7e-05	87.93	0.00097	87.15
IBD	stab	true	1e-08	0	39		0		78.09	-0.0	78.09	4e-05	78.81	0.0	78.09
IBD	stab	true	1e-08	0	40		0		86.53	-0.0	86.53	2e-05	86.67	0.0	86.53
IBD	stab	true	1e-08	0	41		0		80.84	-0.0	80.84	-1e-05	80.91	0.0	80.84
IBD	stab	true	1e-08	0	42		0		76.83	-0.0	76.83	0.0	76.83	0.0	76.83
IBD	stab	true	1e-08	0	43		0		82.96	-0.0	82.96	-0.0	82.96	0.0	82.95
IBD	stab	true	1e-08	0	44		0		79.74	-0.0	79.74	4e-05	80.35	0.0	79.74
IBD	stab	true	1e-08	0	45		0		78.49	-0.0	78.49	1e-05	78.53	0.0	78.47
IBD	stab	true	1e-08	0	46		0		82.57	-0.00025	82.66	0.0	82.58	0.0	82.57
IBD	stab	true	1e-08	0	47		0		74.69	-0.0018	76.05	-4e-05	75.31	0.0014	75.87
IBD	stab	true	1e-08	0	48		0		86.98	-0.00072	87.16	7e-05	88.72	0.00031	87.19
IBD	stab	true	1e-08	0	49		0		82.67	-0.0	82.67	1e-05	82.73	0.0	82.67
IBD	stab	true	1e-08	0	50		0		89.77	-0.00191	90.86	-2e-05	89.95	0.00336	91.77
IBD	stab	true	1e-08	0	51		0		78.51	-0.00012	78.52	-3e-05	78.79	0.00029	78.74
IBD	stab	true	1e-08	0	52		0		71.93	-0.00104	72.25	3e-05	72.31	0.00038	72.16
IBD	stab	true	1e-08	0	53		0		77.38	-0.0	77.38	-2e-05	77.59	0.0	77.38
IBD	stab	true	1e-08	0	54		0		78.03	-0.00101	78.62	-6e-05	79.41	0.00045	78.51
IBD	stab	true	1e-08	0	55		0		88.0	-0.0	88.0	6e-05	89.1	0.00011	88.09
IBD	stab	true	1e-08	0	56		0		81.23	-0.0	81.23	-1e-05	81.26	0.0	81.23
IBD	stab	true	1e-08	0	57		0		84.28	-0.0	84.28	-2e-05	84.45	2e-05	84.29
IBD	stab	true	1e-08	0	58		0		82.46	-0.00064	82.89	3e-05	82.88	6e-05	82.53
IBD	stab	true	1e-08	0	59		0		79.42	-0.0	79.42	-4e-05	79.96	0.0	79.43
IBD	stab	true	1e-08	0	60		0		84.48	-0.0008	84.94	5e-05	85.52	0.00113	85.59
IBD	stab	true	1e-08	0	61		0		81.32	-0.0	81.32	-4e-05	82.05	0.0	81.33
IBD	stab	true	1e-08	0	62		0		82.71	-1e-05	82.71	0.0001	85.98	0.0	82.72
IBD	stab	true	1e-08	0	63		0		87.45	-0.00087	87.76	-2e-05	87.59	0.00026	87.66
IBD	stab	true	1e-08	0	64		0		83.02	-0.0	83.02	-5e-05	83.76	0.0	83.02
IBD	stab	true	1e-08	0	65		0		79.78	-0.00191	80.93	-1e-05	79.84	0.00218	81.46
IBD	stab	true	1e-08	0	66		0		73.14	-0.0	73.14	3e-05	73.41	0.0	73.13
IBD	stab	true	1e-08	0	67		0		80.2	-0.0	80.2	-2e-05	80.35	0.0	80.22
IBD	stab	true	1e-08	0	68		0		76.28	-0.00067	76.46	4e-05	76.85	3e-05	76.31
IBD	stab	true	1e-08	0	69		0		75.47	-0.0	75.46	-2e-05	75.65	0.0	75.46
IBD	stab	true	1e-08	0	70		0		90.13	-0.00097	90.6	-7e-05	91.73	0.00071	90.72
IBD	stab	true	1e-08	0	71		0		81.19	-0.0	81.19	1e-05	81.23	0.0	81.19
IBD	stab	true	1e-08	0	72		0		83.29	-0.00045	83.44	5e-05	84.31	0.00028	83.6
IBD	stab	true	1e-08	0	73		0		81.97	-0.00199	82.89	-5e-05	82.62	0.00144	82.76
IBD	stab	true	1e-08	0	74		0		95.77	-0.00131	96.6	0.00012	99.49	0.00164	96.98
IBD	stab	true	1e-08	0	75		0		73.77	-0.0	73.77	-5e-05	74.41	0.0	73.78
IBD	stab	true	1e-08	0	76		0		86.04	-0.0	86.04	-0.0001	89.55	0.0	86.05
IBD	stab	true	1e-08	0	77		0		75.3	-0.00201	76.46	-1e-05	75.36	0.00174	76.46
IBD	stab	true	1e-08	0	78		0		76.37	-0.00066	76.62	-0.0	76.37	0.00011	76.45
IBD	stab	true	1e-08	0	79		0		67.82	-0.0	67.81	-1e-05	67.86	0.0	67.82
IBD	stab	true	1e-08	0	80		0		71.12	-0.0	71.12	-3e-05	71.44	0.0	71.12
IBD	stab	true	1e-08	0	81		0		83.33	-0.00048	83.42	3e-05	83.7	0.00041	83.65
IBD	stab	true	1e-08	0	82		0		75.9	-0.00061	76.09	3e-05	76.25	0.00022	76.12
IBD	stab	true	1e-08	0	83		0		90.31	-0.00033	90.35	-0.00013	94.78	0.00019	90.43
IBD	stab	true	1e-08	0	84		0		78.39	-0.0	78.39	-2e-05	78.48	0.0	78.4
IBD	stab	true	1e-08	0	85		0		87.19	-0.0	87.19	-1e-05	87.22	0.0	87.19
IBD	stab	true	1e-08	0	86		0		80.84	-0.0	80.84	1e-05	80.85	1e-05	80.85
IBD	stab	true	1e-08	0	87		0		79.6	-0.0	79.6	-3e-05	79.87	0.0	79.61
IBD	stab	true	1e-08	0	88		0		85.63	-0.00069	85.92	-1e-05	85.68	0.00057	86.17
