trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	plei	hat	1e-08	0	0			0.00016141162078942795	78.5	-0.00024	78.54	-2e-05	78.63	0.0	78.51
IBD	plei	hat	1e-08	0	1			0.00016141162078942795	76.91	-0.0	76.91	2e-05	77.03	0.0	76.92
IBD	plei	hat	1e-08	0	2			0.00016141162078942795	86.66	-0.0005	86.96	-5e-05	87.78	0.00047	87.3
IBD	plei	hat	1e-08	1	0			0.00017399918618662266	81.07	-0.00126	82.11	1e-05	81.12	0.00082	81.96
IBD	plei	hat	1e-08	1	1			0.00017399918618662266	78.48	-0.00029	78.52	2e-05	78.6	8e-05	78.54
IBD	plei	hat	1e-08	1	2			0.00017399918618662266	81.18	-0.00012	81.19	1e-05	81.21	4e-05	81.22
IBD	plei	hat	1e-08	2	0			0.00018756838352489914	87.34	-0.00077	87.65	1e-05	87.38	0.00011	87.43
IBD	plei	hat	1e-08	2	1			0.00018756838352489914	76.76	-0.00131	78.65	-1e-05	76.83	0.0009	78.27
IBD	plei	hat	1e-08	2	2			0.00018756838352489914	80.19	-0.00052	80.4	0.0	80.18	6e-05	80.26
IBD	plei	hat	1e-08	3	0			0.00020219576464230876	80.02	-9e-05	80.02	7e-05	81.64	0.0	80.02
IBD	plei	hat	1e-08	3	1			0.00020219576464230876	79.62	-0.0	79.62	1e-05	79.71	0.0	79.63
IBD	plei	hat	1e-08	3	2			0.00020219576464230876	82.23	-0.00162	83.33	1e-05	82.27	0.00096	83.02
IBD	plei	hat	1e-08	4	0			0.0002179638512151535	79.97	-0.00133	81.03	2e-05	80.1	0.00087	80.86
IBD	plei	hat	1e-08	4	1			0.0002179638512151535	88.11	-0.0011	88.88	-7e-05	90.28	0.00059	88.73
IBD	plei	hat	1e-08	4	2			0.0002179638512151535	82.57	-0.0	82.57	-6e-05	84.04	0.0	82.58
IBD	plei	hat	1e-08	5	0			0.00023496160031138746	71.71	-0.00059	71.95	-2e-05	71.91	0.00041	72.14
IBD	plei	hat	1e-08	5	1			0.00023496160031138746	79.79	-0.00086	80.47	-3e-05	80.31	0.00062	80.53
IBD	plei	hat	1e-08	5	2			0.00023496160031138746	82.01	-0.00071	82.3	3e-05	82.3	0.00013	82.15
IBD	plei	hat	1e-08	6	0			0.00025328490624985846	82.82	-0.00157	84.23	2e-05	82.92	0.00127	84.06
IBD	plei	hat	1e-08	6	1			0.00025328490624985846	84.79	-0.0	84.79	-3e-05	85.12	0.0	84.8
IBD	plei	hat	1e-08	6	2			0.00025328490624985846	80.11	-0.0	80.11	0.0	80.1	0.0	80.11
IBD	plei	hat	1e-08	7	0			0.00027303714159666593	79.87	-0.0	79.87	2e-05	80.05	0.0	79.88
IBD	plei	hat	1e-08	7	1			0.00027303714159666593	88.18	-0.00145	89.36	-4e-05	88.8	0.00176	89.84
IBD	plei	hat	1e-08	7	2			0.00027303714159666593	80.4	-0.0	80.4	3e-05	80.73	0.0	80.4
IBD	plei	hat	1e-08	8	0			0.00029432974035072194	89.09	-0.00256	90.96	-8e-05	91.13	0.00289	91.17
