trait	model	beta	p_thresh	param_combo	rep	I1	I2	Ip	ll_neut	I2_stab	ll_stab	I1_dir	ll_dir	Ip_plei	ll_plei
IBD	stab	hat	1e-08	0	0		0.00016141162078942795		87.71	-0.00094	88.39	-1e-05	87.73	0.00086	88.7
IBD	stab	hat	1e-08	0	1		0.00016141162078942795		76.75	-0.0	76.74	-6e-05	78.43	0.0	76.75
IBD	stab	hat	1e-08	0	2		0.00016141162078942795		81.86	-0.002	83.6	-3e-05	82.16	0.00148	83.17
IBD	stab	hat	1e-08	1	0		0.00017307639022406365		79.02	-0.0	79.01	1e-05	79.05	0.0	79.02
IBD	stab	hat	1e-08	1	1		0.00017307639022406365		73.73	-0.00049	73.83	-0.0	73.71	1e-05	73.73
IBD	stab	hat	1e-08	1	2		0.00017307639022406365		90.46	-0.0011	90.97	5e-05	91.44	0.00142	91.64
IBD	stab	hat	1e-08	2	0		0.00018558414014113137		78.44	-0.00061	78.68	3e-05	78.8	8e-05	78.52
IBD	stab	hat	1e-08	2	1		0.00018558414014113137		70.36	-0.00021	70.41	5e-05	71.8	0.00013	70.53
IBD	stab	hat	1e-08	2	2		0.00018558414014113137		83.83	-0.0	83.83	2e-05	83.94	0.0	83.84
IBD	stab	hat	1e-08	3	0		0.00019899579039830544		75.98	-0.0	75.98	2e-05	76.3	0.0	75.99
IBD	stab	hat	1e-08	3	1		0.00019899579039830544		94.25	-0.00102	94.78	-1e-05	94.3	0.00069	94.88
IBD	stab	hat	1e-08	3	2		0.00019899579039830544		82.74	-0.00084	83.21	-4e-05	83.53	0.00083	83.62
IBD	stab	hat	1e-08	4	0		0.0002133766633621395		78.82	-0.00056	78.97	-2e-05	78.91	3e-05	78.85
IBD	stab	hat	1e-08	4	1		0.0002133766633621395		85.98	-1e-05	85.98	2e-05	86.08	0.0	85.99
IBD	stab	hat	1e-08	4	2		0.0002133766633621395		81.71	-0.00064	82.0	-2e-05	81.82	0.00015	81.87
IBD	stab	hat	1e-08	5	0		0.00022879680206515325		71.24	-0.0	71.23	3e-05	71.63	0.0	71.23
IBD	stab	hat	1e-08	5	1		0.00022879680206515325		85.35	-0.0004	85.48	-4e-05	86.04	0.00024	85.59
IBD	stab	hat	1e-08	5	2		0.00022879680206515325		83.14	-0.0	83.14	-5e-05	84.07	0.0	83.15
IBD	stab	hat	1e-08	6	0		0.00024533131135524763		79.89	-0.0	79.89	1e-05	79.92	0.0	79.89
IBD	stab	hat	1e-08	6	1		0.00024533131135524763		83.41	-0.00025	83.46	-0.0	83.4	0.00034	83.75
IBD	stab	hat	1e-08	6	2		0.00024533131135524763		91.73	-0.00077	92.29	-1e-05	91.79	0.0007	92.65
IBD	stab	hat	1e-08	7	0		0.00026306072369904103		75.25	-0.0	75.25	3e-05	75.71	0.0	75.27
IBD	stab	hat	1e-08	7	1		0.00026306072369904103		80.69	-0.0	80.69	-4e-05	81.37	0.0	80.7
IBD	stab	hat	1e-08	7	2		0.00026306072369904103		79.36	-0.0	79.35	-4e-05	79.86	0.0	79.35
IBD	stab	hat	1e-08	8	0		0.00028207139142079617		80.26	-0.0016	81.78	3e-05	80.65	0.00111	81.31
IBD	stab	hat	1e-08	8	1		0.00028207139142079617		83.57	-0.00047	83.74	1e-05	83.61	0.00036	83.97
IBD	stab	hat	1e-08	8	2		0.00028207139142079617		78.13	-0.0	78.12	3e-05	78.52	0.0	78.13
IBD	stab	hat	1e-08	9	0		0.00030245590728736365		84.71	-0.0014	85.62	4e-05	85.34	0.00066	85.28
IBD	stab	hat	1e-08	9	1		0.00030245590728736365		89.34	-0.0	89.34	0.0	89.32	0.0	89.35
IBD	stab	hat	1e-08	9	2		0.00030245590728736365		80.63	-0.0	80.63	-3e-05	80.88	0.0	80.64
IBD	stab	hat	1e-08	10	0		0.0003243135554876333		88.54	-0.00077	88.76	5e-05	89.3	0.00031	88.75
IBD	stab	hat	1e-08	10	1		0.0003243135554876333		78.08	-0.00075	78.47	1e-05	78.1	0.00024	78.37
IBD	stab	hat	1e-08	10	2		0.0003243135554876333		81.31	-0.00018	81.36	-2e-05	81.43	0.0	81.31
IBD	stab	hat	1e-08	11	0		0.00034775079520301533		78.88	-0.0	78.88	-4e-05	79.45	0.0	78.88
IBD	stab	hat	1e-08	11	1		0.00034775079520301533		77.06	-0.00042	77.13	4e-05	77.81	7e-05	77.13
IBD	stab	hat	1e-08	11	2		0.00034775079520301533		81.48	-0.0	81.48	-2e-05	81.61	0.0	81.49
IBD	stab	hat	1e-08	12	0		0.00037288177912421803		86.89	-0.00019	86.92	-2e-05	87.12	0.00038	87.26
IBD	stab	hat	1e-08	12	1		0.00037288177912421803		88.3	-0.00091	88.54	-0.0	88.29	0.00054	88.68
IBD	stab	hat	1e-08	12	2		0.00037288177912421803		72.32	-0.00033	72.38	6e-05	73.74	1e-05	72.33
IBD	stab	hat	1e-08	13	0		0.00039982890943979216		91.22	-0.00025	91.27	2e-05	91.36	0.00045	91.71
IBD	stab	hat	1e-08	13	1		0.00039982890943979216		92.8	-0.00267	95.27	-5e-05	93.97	0.00378	95.91
IBD	stab	hat	1e-08	13	2		0.00039982890943979216		73.76	-0.0	73.76	1e-05	73.76	0.0	73.76
IBD	stab	hat	1e-08	14	0		0.00042872343400442305		85.2	-0.00153	85.87	1e-05	85.22	0.00066	85.62
IBD	stab	hat	1e-08	14	1		0.00042872343400442305		89.19	-0.0	89.19	-2e-05	89.33	0.0	89.2
IBD	stab	hat	1e-08	14	2		0.00042872343400442305		86.72	-0.00013	86.73	2e-05	86.85	0.0	86.73
IBD	stab	hat	1e-08	15	0		0.0004597060855906488		82.94	-0.00025	82.99	-3e-05	83.28	6e-05	83.0
IBD	stab	hat	1e-08	15	1		0.0004597060855906488		83.75	-0.00108	84.2	1e-05	83.78	0.00098	84.45
IBD	stab	hat	1e-08	15	2		0.0004597060855906488		90.96	-0.00189	92.15	-0.0	90.95	0.00152	92.12
IBD	stab	hat	1e-08	16	0		0.0004929277673375248		89.44	-0.00171	91.46	4e-05	90.32	0.00106	90.69
IBD	stab	hat	1e-08	16	1		0.0004929277673375248		79.9	-0.0	79.9	1e-05	79.94	1e-05	79.92
IBD	stab	hat	1e-08	16	2		0.0004929277673375248		77.64	-0.00057	77.9	-0.0	77.63	0.00026	77.94
IBD	stab	hat	1e-08	17	0		0.0005285502877347587		99.5	-0.00731	110.14	4e-05	100.05	0.01457	109.96
IBD	stab	hat	1e-08	17	1		0.0005285502877347587		82.19	-0.00072	82.65	1e-05	82.21	0.00023	82.48
IBD	stab	hat	1e-08	17	2		0.0005285502877347587		81.63	-0.00058	81.86	-1e-05	81.62	2e-05	81.67
IBD	stab	hat	1e-08	18	0		0.0005667471487221066		78.47	-0.0	78.47	-1e-05	78.47	0.0	78.47
IBD	stab	hat	1e-08	18	1		0.0005667471487221066		85.6	-0.0	85.6	1e-05	85.6	0.0	85.61
IBD	stab	hat	1e-08	18	2		0.0005667471487221066		86.15	-0.0006	86.51	-2e-05	86.37	0.0001	86.26
IBD	stab	hat	1e-08	19	0		0.0006077043907425247		79.9	-0.00062	80.14	-2e-05	80.11	7e-05	79.99
IBD	stab	hat	1e-08	19	1		0.0006077043907425247		95.69	-0.00074	95.88	-1e-05	95.68	0.00053	96.05
IBD	stab	hat	1e-08	19	2		0.0006077043907425247		89.03	-0.0	89.03	0.0	89.02	0.0	89.03
IBD	stab	hat	1e-08	20	0		0.000651621498864963		91.12	-0.00057	91.32	-2e-05	91.27	0.00022	91.38
IBD	stab	hat	1e-08	20	1		0.000651621498864963		92.65	-0.00201	95.06	2e-05	92.79	0.00236	95.59
IBD	stab	hat	1e-08	20	2		0.000651621498864963		78.82	-0.0	78.82	-7e-05	80.49	7e-05	78.88
IBD	stab	hat	1e-08	21	0		0.0006987123743901368		79.51	-0.00199	81.39	-3e-05	79.79	0.00188	81.24
IBD	stab	hat	1e-08	21	1		0.0006987123743901368		85.09	-0.00243	87.54	-3e-05	85.32	0.00215	86.8
IBD	stab	hat	1e-08	21	2		0.0006987123743901368		80.22	-0.0	80.22	-0.00013	85.01	0.00021	80.36
IBD	stab	hat	1e-08	22	0		0.0007492063766715489		77.71	-0.0	77.7	-8e-05	79.87	0.0	77.71
IBD	stab	hat	1e-08	22	1		0.0007492063766715489		86.24	-0.00218	88.17	-4e-05	86.87	0.00255	88.22
IBD	stab	hat	1e-08	22	2		0.0007492063766715489		94.46	-0.00425	101.56	-5e-05	95.78	0.00744	101.35
IBD	stab	hat	1e-08	23	0		0.0008033494402260214		86.65	-0.00258	89.1	-6e-05	87.8	0.00246	88.76
IBD	stab	hat	1e-08	23	1		0.0008033494402260214		94.13	-0.00118	94.57	6e-05	95.24	0.00053	94.44
IBD	stab	hat	1e-08	23	2		0.0008033494402260214		84.96	-0.00154	86.38	0.0	84.95	0.00097	86.03
IBD	stab	hat	1e-08	24	0		0.0008614052725747042		91.7	-0.00144	92.72	8e-05	93.72	0.00095	92.48
IBD	stab	hat	1e-08	24	1		0.0008614052725747042		92.4	-0.00098	93.42	5e-05	93.48	0.00122	94.06
IBD	stab	hat	1e-08	24	2		0.0008614052725747042		80.5	-0.00035	80.56	5e-05	81.49	5e-05	80.54
IBD	stab	hat	1e-08	25	0		0.0009236566386487232		89.56	-0.00035	89.64	-1e-05	89.63	2e-05	89.59
IBD	stab	hat	1e-08	25	1		0.0009236566386487232		87.38	-0.00136	88.5	1e-05	87.4	0.00144	88.85
IBD	stab	hat	1e-08	25	2		0.0009236566386487232		85.3	-0.00074	85.51	-3e-05	85.61	0.00032	85.55
IBD	stab	hat	1e-08	26	0		0.0009904067380152595		90.27	-0.00025	90.31	-3e-05	90.65	0.00012	90.38
IBD	stab	hat	1e-08	26	1		0.0009904067380152595		83.02	-0.00043	83.12	-2e-05	83.12	0.00011	83.13
IBD	stab	hat	1e-08	26	2		0.0009904067380152595		82.16	-0.00153	83.18	-1e-05	82.17	0.00111	83.13
IBD	stab	hat	1e-08	27	0		0.0010619806816319292		87.01	-0.00145	88.27	5e-05	87.91	0.00091	88.03
IBD	stab	hat	1e-08	27	1		0.0010619806816319292		95.48	-0.00194	97.92	0.0	95.46	0.00212	97.71
IBD	stab	hat	1e-08	27	2		0.0010619806816319292		80.31	-0.0	80.31	8e-05	83.47	0.0	80.32
IBD	stab	hat	1e-08	28	0		0.0011387270753220981		86.54	-0.00239	90.38	-3e-05	86.89	0.00239	89.76
IBD	stab	hat	1e-08	28	1		0.0011387270753220981		78.75	-0.00107	79.49	-2e-05	78.85	0.00041	79.19
IBD	stab	hat	1e-08	28	2		0.0011387270753220981		85.91	-0.00043	86.07	-1e-05	85.96	0.00014	86.06
IBD	stab	hat	1e-08	29	0		0.001221019717683566		84.61	-0.00064	85.02	2e-05	84.72	0.00013	84.76
IBD	stab	hat	1e-08	29	1		0.001221019717683566		83.42	-0.00039	83.51	1e-05	83.45	0.0002	83.64
IBD	stab	hat	1e-08	29	2		0.001221019717683566		91.0	-0.0	91.0	-3e-05	91.31	0.0	91.0
IBD	stab	hat	1e-08	30	0		0.0013092594207003865		84.28	-0.0009	84.78	2e-05	84.43	0.00027	84.52
IBD	stab	hat	1e-08	30	1		0.0013092594207003865		93.32	-0.00322	97.47	4e-05	94.13	0.00434	97.3
IBD	stab	hat	1e-08	30	2		0.0013092594207003865		83.97	-0.00178	85.49	-4e-05	84.57	0.00108	85.01
IBD	stab	hat	1e-08	31	0		0.0014038759619252484		96.67	-0.00088	97.01	1e-05	96.67	0.00045	97.08
IBD	stab	hat	1e-08	31	1		0.0014038759619252484		89.54	-0.00063	89.84	-0.0	89.53	0.00024	89.82
IBD	stab	hat	1e-08	31	2		0.0014038759619252484		91.62	-0.00112	92.0	-1e-05	91.67	0.0009	92.18
IBD	stab	hat	1e-08	32	0		0.0015053301777406564		86.66	-0.0015	88.0	4e-05	87.39	0.00138	88.19
IBD	stab	hat	1e-08	32	1		0.0015053301777406564		85.57	-0.00314	90.15	-2e-05	85.67	0.00371	89.5
IBD	stab	hat	1e-08	32	2		0.0015053301777406564		88.01	-0.00074	88.41	-1e-05	88.01	0.00085	88.81
IBD	stab	hat	1e-08	33	0		0.0016141162078942796		91.6	-0.00242	93.84	8e-05	94.2	0.00251	93.74
IBD	stab	hat	1e-08	33	1		0.0016141162078942796		80.55	-0.00065	80.73	2e-05	80.71	0.00026	80.78
IBD	stab	hat	1e-08	33	2		0.0016141162078942796		88.09	-0.00275	90.46	0.0	88.08	0.00318	90.57
IBD	stab	hat	1e-08	34	0		0.0017307639022406363		94.23	-0.00181	96.28	-1e-05	94.28	0.00168	96.01
IBD	stab	hat	1e-08	34	1		0.0017307639022406363		88.36	-0.00161	89.48	4e-05	88.81	0.0016	89.6
IBD	stab	hat	1e-08	34	2		0.0017307639022406363		83.89	-0.00114	84.53	1e-05	83.92	0.00017	84.05
IBD	stab	hat	1e-08	35	0		0.0018558414014113137		85.83	-0.00073	86.2	-1e-05	85.83	0.00056	86.48
IBD	stab	hat	1e-08	35	1		0.0018558414014113137		84.5	-0.00126	85.46	1e-05	84.51	0.00092	85.4
IBD	stab	hat	1e-08	35	2		0.0018558414014113137		91.7	-0.00126	92.3	4e-05	92.25	0.00111	92.48
IBD	stab	hat	1e-08	36	0		0.0019899579039830543		80.83	-0.00132	81.7	-2e-05	80.92	0.00053	81.33
IBD	stab	hat	1e-08	36	1		0.0019899579039830543		96.68	-0.0039	104.71	-0.0	96.66	0.00714	104.99
IBD	stab	hat	1e-08	36	2		0.0019899579039830543		92.05	-0.00134	93.36	-5e-05	93.1	0.00097	93.17
IBD	stab	hat	1e-08	37	0		0.002133766633621397		98.22	-0.00159	100.35	-3e-05	98.51	0.00135	99.96
IBD	stab	hat	1e-08	37	1		0.002133766633621397		84.86	-0.0012	85.68	-1e-05	84.88	0.00094	85.83
IBD	stab	hat	1e-08	37	2		0.002133766633621397		85.44	-0.0028	88.04	5e-05	86.21	0.00402	88.69
IBD	stab	hat	1e-08	38	0		0.0022879680206515348		92.53	-0.00085	93.1	-4e-05	92.97	0.00048	92.97
IBD	stab	hat	1e-08	38	1		0.0022879680206515348		87.88	-0.00246	90.46	-6e-05	89.57	0.00382	91.51
IBD	stab	hat	1e-08	38	2		0.0022879680206515348		92.71	-0.00536	100.18	-6e-05	94.04	0.00998	100.39
IBD	stab	hat	1e-08	39	0		0.002453313113552479		99.65	-0.00533	111.08	-1e-05	99.65	0.00945	110.28
IBD	stab	hat	1e-08	39	1		0.002453313113552479		89.86	-0.00188	91.75	5e-05	90.75	0.00221	91.95
IBD	stab	hat	1e-08	39	2		0.002453313113552479		90.32	-0.00389	93.29	6e-05	91.46	0.00593	94.24
IBD	stab	hat	1e-08	40	0		0.002630607236990413		85.94	-0.00378	90.04	6e-05	87.35	0.00505	90.1
IBD	stab	hat	1e-08	40	1		0.002630607236990413		92.51	-0.00071	92.94	-2e-05	92.64	0.00039	92.94
IBD	stab	hat	1e-08	40	2		0.002630607236990413		92.51	-0.00311	95.22	7e-05	94.41	0.00274	94.43
IBD	stab	hat	1e-08	41	0		0.002820713914207962		84.77	-0.00557	92.05	-2e-05	84.94	0.01131	93.18
IBD	stab	hat	1e-08	41	1		0.002820713914207962		100.14	-0.00483	106.79	3e-05	100.56	0.00794	106.7
IBD	stab	hat	1e-08	41	2		0.002820713914207962		84.98	-0.00323	91.17	4e-05	85.76	0.00424	90.25
IBD	stab	hat	1e-08	42	0		0.0030245590728736364		81.33	-0.00187	83.27	6e-05	82.8	0.00179	83.18
IBD	stab	hat	1e-08	42	1		0.0030245590728736364		91.21	-0.00227	93.38	-1e-05	91.21	0.00253	93.53
IBD	stab	hat	1e-08	42	2		0.0030245590728736364		81.45	-0.00198	82.91	3e-05	81.67	0.00121	82.35
IBD	stab	hat	1e-08	43	0		0.0032431355548763327		89.53	-0.00293	93.04	6e-05	91.0	0.00426	93.44
IBD	stab	hat	1e-08	43	1		0.0032431355548763327		96.8	-0.00642	104.2	-2e-05	96.97	0.01154	103.89
IBD	stab	hat	1e-08	43	2		0.0032431355548763327		86.16	-0.00392	91.71	-3e-05	86.45	0.00467	90.66
IBD	stab	hat	1e-08	44	0		0.003477507952030153		93.02	-0.00357	95.92	-6e-05	94.43	0.00423	95.72
IBD	stab	hat	1e-08	44	1		0.003477507952030153		95.41	-0.00446	103.8	3e-05	95.97	0.00728	103.37
IBD	stab	hat	1e-08	44	2		0.003477507952030153		84.8	-0.00195	86.35	2e-05	84.91	0.00199	86.45
IBD	stab	hat	1e-08	45	0		0.0037288177912421804		98.65	-0.00438	106.31	-1e-05	98.73	0.00786	106.75
IBD	stab	hat	1e-08	45	1		0.0037288177912421804		91.08	-0.00658	102.11	6e-05	92.49	0.01348	102.25
IBD	stab	hat	1e-08	45	2		0.0037288177912421804		89.81	-0.00275	95.8	-2e-05	90.01	0.00359	95.17
IBD	stab	hat	1e-08	46	0		0.003998289094397922		95.0	-0.00472	100.69	3e-05	95.27	0.00832	101.68
IBD	stab	hat	1e-08	46	1		0.003998289094397922		95.79	-0.00217	98.68	4e-05	96.38	0.0037	99.5
IBD	stab	hat	1e-08	46	2		0.003998289094397922		105.82	-0.00602	116.42	-4e-05	106.48	0.01173	116.47
IBD	stab	hat	1e-08	47	0		0.004287234340044231		96.79	-0.00255	99.12	4e-05	97.49	0.00424	100.5
IBD	stab	hat	1e-08	47	1		0.004287234340044231		94.83	-0.00355	104.3	0.0	94.81	0.00568	103.32
IBD	stab	hat	1e-08	47	2		0.004287234340044231		94.23	-0.00536	102.92	-0.0	94.21	0.0114	103.46
IBD	stab	hat	1e-08	48	0		0.004597060855906488		97.79	-0.00874	111.95	8e-05	100.33	0.0219	112.71
IBD	stab	hat	1e-08	48	1		0.004597060855906488		93.48	-0.00379	98.58	-0.0	93.47	0.00504	98.12
IBD	stab	hat	1e-08	48	2		0.004597060855906488		98.47	-0.00234	102.01	-6e-05	100.34	0.00293	102.06
IBD	stab	hat	1e-08	49	0		0.004929277673375248		86.64	-0.00411	91.58	1e-05	86.7	0.00656	91.95
IBD	stab	hat	1e-08	49	1		0.004929277673375248		101.4	-0.00505	107.19	-6e-05	102.53	0.00889	107.37
IBD	stab	hat	1e-08	49	2		0.004929277673375248		97.71	-0.00384	103.24	7e-05	99.96	0.0062	103.55
IBD	stab	hat	1e-08	50	0		0.005285502877347587		99.0	-0.00684	113.95	-1e-05	99.0	0.01387	113.31
IBD	stab	hat	1e-08	50	1		0.005285502877347587		102.82	-0.00715	115.12	2e-05	102.91	0.01473	114.9
IBD	stab	hat	1e-08	50	2		0.005285502877347587		98.9	-0.00677	108.51	-4e-05	99.59	0.0121	107.78
IBD	stab	hat	1e-08	51	0		0.005667471487221067		104.28	-0.00973	122.57	-0.0	104.26	0.02172	121.39
IBD	stab	hat	1e-08	51	1		0.005667471487221067		97.8	-0.00425	102.52	5e-05	98.81	0.00731	103.08
IBD	stab	hat	1e-08	51	2		0.005667471487221067		99.82	-0.00512	110.39	5e-05	101.11	0.00885	109.49
IBD	stab	hat	1e-08	52	0		0.006077043907425248		103.39	-0.00964	119.55	-1e-05	103.44	0.02118	118.32
IBD	stab	hat	1e-08	52	1		0.006077043907425248		94.93	-0.00671	104.85	-4e-05	95.72	0.01199	104.6
IBD	stab	hat	1e-08	52	2		0.006077043907425248		101.58	-0.00856	114.7	-2e-05	101.73	0.0197	114.33
IBD	stab	hat	1e-08	53	0		0.006516214988649629		99.8	-0.00793	112.71	-0.0001	104.03	0.01606	112.11
IBD	stab	hat	1e-08	53	1		0.006516214988649629		92.27	-0.00627	100.26	2e-05	92.47	0.01128	100.12
IBD	stab	hat	1e-08	53	2		0.006516214988649629		103.34	-0.00791	117.56	-4e-05	104.06	0.01736	117.91
IBD	stab	hat	1e-08	54	0		0.006987123743901368		100.95	-0.00388	107.66	-0.0	100.94	0.00526	106.26
IBD	stab	hat	1e-08	54	1		0.006987123743901368		114.09	-0.0079	133.06	-0.0	114.08	0.02115	134.31
IBD	stab	hat	1e-08	54	2		0.006987123743901368		96.45	-0.00618	107.01	-2e-05	96.63	0.01482	107.27
IBD	stab	hat	1e-08	55	0		0.007492063766715488		92.69	-0.00732	101.43	4e-05	93.17	0.0139	101.03
IBD	stab	hat	1e-08	55	1		0.007492063766715488		104.16	-0.00768	114.93	4e-05	104.84	0.02002	116.28
IBD	stab	hat	1e-08	55	2		0.007492063766715488		96.24	-0.0066	109.78	-1e-05	96.32	0.01428	109.89
IBD	stab	hat	1e-08	56	0		0.008033494402260215		103.0	-0.00826	122.53	4e-05	103.94	0.01823	121.58
IBD	stab	hat	1e-08	56	1		0.008033494402260215		96.69	-0.00662	108.78	-0.00013	103.4	0.01249	108.12
IBD	stab	hat	1e-08	56	2		0.008033494402260215		100.12	-0.00933	120.04	1e-05	100.15	0.02411	119.97
IBD	stab	hat	1e-08	57	0		0.008614052725747041		100.09	-0.01174	122.57	-1e-05	100.1	0.03079	121.56
IBD	stab	hat	1e-08	57	1		0.008614052725747041		107.37	-0.01081	124.37	3e-05	107.81	0.02479	124.44
IBD	stab	hat	1e-08	57	2		0.008614052725747041		98.14	-0.00688	110.62	-2e-05	98.43	0.01338	110.15
IBD	stab	hat	1e-08	58	0		0.009236566386487233		102.59	-0.00682	114.06	2e-05	102.69	0.01299	113.23
IBD	stab	hat	1e-08	58	1		0.009236566386487233		95.51	-0.00721	106.7	-4e-05	96.23	0.01393	105.96
IBD	stab	hat	1e-08	58	2		0.009236566386487233		109.25	-0.01164	131.32	2e-05	109.39	0.03037	130.94
IBD	stab	hat	1e-08	59	0		0.009904067380152594		96.58	-0.00725	107.05	-4e-05	97.35	0.01504	107.19
IBD	stab	hat	1e-08	59	1		0.009904067380152594		108.16	-0.01014	127.1	6e-05	110.06	0.02328	126.5
IBD	stab	hat	1e-08	59	2		0.009904067380152594		114.42	-0.00824	128.31	1e-05	114.49	0.01716	127.49
IBD	stab	hat	1e-08	60	0		0.010619806816319292		108.21	-0.01106	127.72	-6e-05	109.75	0.02762	126.85
IBD	stab	hat	1e-08	60	1		0.010619806816319292		100.47	-0.00683	115.62	4e-05	101.46	0.01443	115.48
IBD	stab	hat	1e-08	60	2		0.010619806816319292		102.13	-0.00931	122.69	1e-05	102.18	0.02391	122.03
IBD	stab	hat	1e-08	61	0		0.011387270753220982		102.48	-0.0082	118.61	-4e-05	103.2	0.01738	118.34
IBD	stab	hat	1e-08	61	1		0.011387270753220982		111.12	-0.01638	139.4	5e-05	112.19	0.0491	139.08
IBD	stab	hat	1e-08	61	2		0.011387270753220982		114.82	-0.01493	141.39	6e-05	116.37	0.03751	139.33
IBD	stab	hat	1e-08	62	0		0.012210197176835661		110.06	-0.01321	139.81	-6e-05	111.92	0.0408	139.07
IBD	stab	hat	1e-08	62	1		0.012210197176835661		100.58	-0.01117	117.19	-4e-05	101.28	0.02813	116.83
IBD	stab	hat	1e-08	62	2		0.012210197176835661		100.6	-0.00935	117.3	3e-05	101.04	0.02019	116.47
IBD	stab	hat	1e-08	63	0		0.013092594207003866		108.8	-0.01284	131.16	2e-05	108.93	0.0344	130.47
IBD	stab	hat	1e-08	63	1		0.013092594207003866		111.41	-0.01293	129.81	-1e-05	111.42	0.03363	129.01
IBD	stab	hat	1e-08	63	2		0.013092594207003866		104.34	-0.0092	123.29	-4e-05	105.21	0.02278	122.57
IBD	stab	hat	1e-08	64	0		0.014038759619252484		112.65	-0.01207	134.0	-3e-05	113.02	0.03179	134.07
IBD	stab	hat	1e-08	64	1		0.014038759619252484		111.32	-0.0134	138.0	-2e-05	111.48	0.03532	137.1
IBD	stab	hat	1e-08	64	2		0.014038759619252484		110.14	-0.01296	134.97	3e-05	110.63	0.03813	135.21
IBD	stab	hat	1e-08	65	0		0.015053301777406564		118.67	-0.02282	164.24	6e-05	120.73	0.06648	159.56
IBD	stab	hat	1e-08	65	1		0.015053301777406564		112.48	-0.01358	137.72	9e-05	116.0	0.04026	137.56
IBD	stab	hat	1e-08	65	2		0.015053301777406564		111.66	-0.01489	140.45	1e-05	111.68	0.04274	139.29
IBD	stab	hat	1e-08	66	0		0.016141162078942797		112.15	-0.01334	136.52	6e-05	113.94	0.03249	134.82
IBD	stab	hat	1e-08	66	1		0.016141162078942797		116.41	-0.01765	150.6	7e-05	119.07	0.05296	149.57
IBD	stab	hat	1e-08	66	2		0.016141162078942797		120.74	-0.01866	152.79	5e-05	121.72	0.08362	151.39
IBD	stab	hat	1e-08	67	0		0.017307639022406365		126.36	-0.0206	161.55	3e-05	126.67	0.06729	159.57
IBD	stab	hat	1e-08	67	1		0.017307639022406365		110.48	-0.0162	139.79	2e-05	110.57	0.05818	139.85
IBD	stab	hat	1e-08	67	2		0.017307639022406365		115.21	-0.01893	155.75	-2e-05	115.46	0.06894	155.14
IBD	stab	hat	1e-08	68	0		0.018558414014113137		115.47	-0.01753	148.26	-3e-05	115.9	0.08039	149.38
IBD	stab	hat	1e-08	68	1		0.018558414014113137		124.78	-0.01863	166.0	-3e-05	125.15	0.09273	165.13
IBD	stab	hat	1e-08	68	2		0.018558414014113137		123.6	-0.0211	168.25	3e-05	124.25	0.10869	167.9
IBD	stab	hat	1e-08	69	0		0.019899579039830546		129.28	-0.02615	173.99	-0.0	129.26	0.16105	171.94
IBD	stab	hat	1e-08	69	1		0.019899579039830546		117.37	-0.01903	154.16	-3e-05	117.91	0.08821	155.21
IBD	stab	hat	1e-08	69	2		0.019899579039830546		134.93	-0.02672	206.12	-0.0	134.92	0.16456	201.28
IBD	stab	hat	1e-08	70	0		0.02133766633621395		114.62	-0.02241	159.67	-6e-05	116.69	0.09615	157.49
IBD	stab	hat	1e-08	70	1		0.02133766633621395		110.41	-0.0208	147.68	-3e-05	110.88	0.08032	147.01
IBD	stab	hat	1e-08	70	2		0.02133766633621395		124.08	-0.02203	177.07	0.0	124.07	0.12135	175.26
IBD	stab	hat	1e-08	71	0		0.022879680206515325		110.59	-0.01676	141.78	-4e-05	111.31	0.05046	140.34
IBD	stab	hat	1e-08	71	1		0.022879680206515325		119.92	-0.01956	160.52	-3e-05	120.31	0.0751	159.2
IBD	stab	hat	1e-08	71	2		0.022879680206515325		114.16	-0.02372	162.81	3e-05	114.6	0.09744	160.07
IBD	stab	hat	1e-08	72	0		0.02453313113552476		121.32	-0.03166	180.33	2e-05	121.45	0.16034	176.06
IBD	stab	hat	1e-08	72	1		0.02453313113552476		131.98	-0.02528	179.7	-2e-05	132.15	0.11325	176.35
IBD	stab	hat	1e-08	72	2		0.02453313113552476		112.76	-0.01851	148.98	0.0001	118.0	0.05842	146.85
IBD	stab	hat	1e-08	73	0		0.026306072369904128		123.04	-0.02387	166.57	3e-05	123.37	0.14196	168.2
IBD	stab	hat	1e-08	73	1		0.026306072369904128		134.9	-0.0257	193.26	5e-05	136.28	0.17527	190.5
IBD	stab	hat	1e-08	73	2		0.026306072369904128		126.13	-0.02434	174.24	-7e-05	128.74	0.10137	171.25
IBD	stab	hat	1e-08	74	0		0.028207139142079618		127.83	-0.03065	188.6	2e-05	128.11	0.20811	182.23
IBD	stab	hat	1e-08	74	1		0.028207139142079618		134.42	-0.02633	191.3	-6e-05	136.57	0.19018	191.37
IBD	stab	hat	1e-08	74	2		0.028207139142079618		131.6	-0.02873	183.04	-3e-05	132.13	0.10606	176.65
IBD	stab	hat	1e-08	75	0		0.030245590728736362		128.66	-0.02771	178.92	0.0	128.64	0.14129	177.17
IBD	stab	hat	1e-08	75	1		0.030245590728736362		119.61	-0.03147	175.14	-1e-05	119.61	0.25675	170.84
IBD	stab	hat	1e-08	75	2		0.030245590728736362		128.08	-0.03066	195.84	-0.0	128.06	0.16401	191.77
IBD	stab	hat	1e-08	76	0		0.03243135554876333		130.67	-0.03276	173.97	-2e-05	130.8	0.14366	170.06
