panel_id,trait,n,count_kind
A,bc,204,retained_hits
A,cad,59,retained_hits
A,ibd,199,retained_hits
A,scz,205,retained_hits
A,t2d,247,retained_hits
B,arthrosis,133,retained_hits
B,asthma,98,retained_hits
B,bmi,1078,retained_hits
B,dbp,584,retained_hits
B,diverticulitis,122,retained_hits
B,fvc,957,retained_hits
B,gallstones,87,retained_hits
B,glaucoma,65,retained_hits
B,grip_strength,414,retained_hits
B,hdl,788,retained_hits
B,height,3260,retained_hits
B,hypothyroidism,277,retained_hits
B,ldl,583,retained_hits
B,malignant_neoplasms,61,retained_hits
B,pulse_rate,606,retained_hits
B,rbc,997,retained_hits
B,sbp,928,retained_hits
B,triglycerides,625,retained_hits
B,urate,614,retained_hits
B,uterine_fibroids,73,retained_hits
B,varicose_veins,175,retained_hits
B,wbc,761,retained_hits
C,bc,8,clumped_hits
C,bmi,86,clumped_hits
C,cad,40,clumped_hits
C,dbp,22,clumped_hits
C,gallstones,15,clumped_hits
C,hdl,40,clumped_hits
C,height,459,clumped_hits
C,ldl,30,clumped_hits
C,rbc,93,clumped_hits
C,sbp,37,clumped_hits
C,t2d,103,clumped_hits
C,triglycerides,28,clumped_hits
C,uterine_fibroids,17,clumped_hits
D,bmi,590,potential_sampled_units
D,dbp,169,potential_sampled_units
D,hdl,473,potential_sampled_units
D,height,1279,potential_sampled_units
D,ldl,197,potential_sampled_units
D,sbp,299,potential_sampled_units
D,triglycerides,373,potential_sampled_units
D,wbc,449,potential_sampled_units
E,Atrial fibrillation,120,potential_sampled_units
E,Basal cell carcinoma,60,potential_sampled_units
E,Cancer of prostate,140,potential_sampled_units
E,Coronary atherosclerosis,96,potential_sampled_units
E,Diverticulosis and diverticulitis,51,potential_sampled_units
E,Glaucoma,115,potential_sampled_units
E,Gout,57,potential_sampled_units
E,Hyperlipidemia,92,potential_sampled_units
E,Hypertension,71,potential_sampled_units
E,Hypothyroidism,99,potential_sampled_units
E,Type 2 diabetes,180,potential_sampled_units
