n,n_eff,v_cut,ll_neut,ll_plei,Ip_plei,dLL_plei,dLL_per_locus_plei,stat_plei,condition,replicate,dataset,beta_col
541,398402.0,7.458995057696262e-05,179.55168672966633,179.51414575633007,8.218082709149443e-05,-0.03754097333626305,-6.939181762710361e-05,-0.0,neutral,simulated_neutral_ldl_replicate_seed_30260517,causal,beta_true_smiles
608,398402.0,7.458995057696262e-05,267.5264605440313,287.95112333019614,1.398788177858614,20.424662786164845,0.03359319537198165,9.784018962190407,neutral,simulated_neutral_ldl_replicate_seed_30260517,beta_p,beta_p
608,398402.0,7.458995057696262e-05,128.5904876173489,128.5952116623082,0.0004217676270099516,0.004724044959289131,7.769810788304491e-06,0.0350022972433391,neutral,simulated_neutral_ldl_replicate_seed_30260517,beta_p_wc,beta_p_wc
608,398402.0,7.458995057696262e-05,220.20206477977015,221.51759595459842,0.20358240210411696,1.3155311748282656,0.0021637025901780683,0.9796736236231771,neutral,simulated_neutral_ldl_replicate_seed_30260517,beta_p_post,beta_p_post
506,398402.0,7.458995057696262e-05,115.40587644512702,115.26152524803909,5.623413251903422e-06,-0.14435119708792854,-0.00028527904562831725,-0.0,neutral,simulated_neutral_ldl_replicate_seed_30260518,causal,beta_true_smiles
571,398402.0,7.458995057696262e-05,200.1862743862129,211.37437833600038,0.38910201206101075,11.18810394978749,0.019593877320118195,5.649493306620657,neutral,simulated_neutral_ldl_replicate_seed_30260518,beta_p,beta_p
571,398402.0,7.458995057696262e-05,108.17095211405838,108.1284934528198,0.00013350215656299862,-0.04245866123858377,-7.435842598701185e-05,-0.0,neutral,simulated_neutral_ldl_replicate_seed_30260518,beta_p_wc,beta_p_wc
571,398402.0,7.458995057696262e-05,177.19211848158392,177.50093386152446,0.0188523811225111,0.3088153799405404,0.000540832539300421,0.3645875604323446,neutral,simulated_neutral_ldl_replicate_seed_30260518,beta_p_post,beta_p_post
504,398402.0,7.458995057696262e-05,120.85114260375225,120.77573398361139,5.623413251903422e-06,-0.07540862014086258,-0.00014962027805726704,-0.0,neutral,simulated_neutral_ldl_replicate_seed_30260519,causal,beta_true_smiles
554,398402.0,7.458995057696262e-05,198.40336011219114,204.47450642613566,0.22625065426026728,6.071146313944524,0.01095874785910564,3.3072310952469905,neutral,simulated_neutral_ldl_replicate_seed_30260519,beta_p,beta_p
554,398402.0,7.458995057696262e-05,100.60311888630844,100.52424170265155,9.227581520341296e-05,-0.07887718365688556,-0.0001423775878283133,-0.0,neutral,simulated_neutral_ldl_replicate_seed_30260519,beta_p_wc,beta_p_wc
554,398402.0,7.458995057696262e-05,167.47516483674215,167.48923755271957,0.0009723929396888143,0.014072715977420103,2.5402014399675274e-05,0.062097447035985465,neutral,simulated_neutral_ldl_replicate_seed_30260519,beta_p_post,beta_p_post
552,398402.0,7.458995057696262e-05,188.5207491590993,188.46605179572006,8.437160078391987e-05,-0.054697363379233366,-9.908942641165464e-05,-0.0,neutral,simulated_neutral_ldl_replicate_seed_30260520,causal,beta_true_smiles
616,398402.0,7.458995057696262e-05,269.59836202267826,284.79724667283114,1.2716573834342941,15.198884650152877,0.02467351404245597,7.4535404653385156,neutral,simulated_neutral_ldl_replicate_seed_30260520,beta_p,beta_p
616,398402.0,7.458995057696262e-05,131.25692890447797,131.20891327055955,0.00013669171345425686,-0.04801563391842478,-7.794745765978049e-05,-0.0,neutral,simulated_neutral_ldl_replicate_seed_30260520,beta_p_wc,beta_p_wc
616,398402.0,7.458995057696262e-05,224.18012805781564,224.8205042004506,0.13218037881780342,0.6403761426349774,0.0010395716601217166,0.5887858123027918,neutral,simulated_neutral_ldl_replicate_seed_30260520,beta_p_post,beta_p_post
452,398402.0,7.458995057696262e-05,194.1544442427614,194.06799252341764,7.542064364332819e-05,-0.0864517193437564,-0.00019126486580477078,-0.0,neutral,simulated_neutral_ldl_replicate_seed_30260521,causal,beta_true_smiles
598,398402.0,7.458995057696262e-05,291.81341393030436,301.1813019827445,1.1529657497752872,9.36788805244015,0.01566536463618754,4.823506332018038,neutral,simulated_neutral_ldl_replicate_seed_30260521,beta_p,beta_p
598,398402.0,7.458995057696262e-05,139.77881539120355,139.70221910928325,0.0001221695264906342,-0.07659628192030254,-0.00012808742796037215,-0.0,neutral,simulated_neutral_ldl_replicate_seed_30260521,beta_p_wc,beta_p_wc
598,398402.0,7.458995057696262e-05,223.4663416068307,223.45244378514664,0.00010631910893884352,-0.013897821684054179,-2.3240504488384916e-05,-0.0,neutral,simulated_neutral_ldl_replicate_seed_30260521,beta_p_post,beta_p_post
472,398402.0,7.458995057696262e-05,180.45442509315677,180.39547451038743,7.831108518550415e-05,-0.05895058276934151,-0.00012489530247741844,-0.0,neutral,simulated_neutral_ldl_replicate_seed_30260522,causal,beta_true_smiles
621,398402.0,7.458995057696262e-05,313.39964802184636,344.0000445898561,3.3945806618225385,30.600396568009728,0.04927600091466945,14.287849170368125,neutral,simulated_neutral_ldl_replicate_seed_30260522,beta_p,beta_p
621,398402.0,7.458995057696262e-05,137.51022015226485,137.52199816865692,0.00263764182214206,0.011778016392071322,1.896620997112934e-05,0.05649561092556389,neutral,simulated_neutral_ldl_replicate_seed_30260522,beta_p_wc,beta_p_wc
621,398402.0,7.458995057696262e-05,217.77774327612244,218.5871565617936,0.3075840897591206,0.8094132856711553,0.0013034030365074965,0.6919577298767821,neutral,simulated_neutral_ldl_replicate_seed_30260522,beta_p_post,beta_p_post
