n,n_eff,v_cut,ll_neut,ll_stab,I2_stab,dLL_stab,dLL_per_locus_stab,stat_stab,condition,replicate,dataset,beta_col
541,398402.0,7.458995057696262e-05,179.55168672966633,179.5527509924135,9.939471236256048e-05,0.0010642627471781907,1.9672139504217944e-06,0.01628267125057473,neutral,simulated_neutral_ldl_replicate_seed_30260517,causal,beta_true_smiles
608,398402.0,7.458995057696262e-05,267.5264605440313,287.8593083101818,0.7066734093102038,20.332847766150508,0.03344218382590544,9.7432088540759,neutral,simulated_neutral_ldl_replicate_seed_30260517,beta_p,beta_p
608,398402.0,7.458995057696262e-05,128.5904876173489,129.0355963371728,0.12751650654798397,0.4451087198238781,0.0007320867102366416,0.461654543612751,neutral,simulated_neutral_ldl_replicate_seed_30260517,beta_p_wc,beta_p_wc
608,398402.0,7.458995057696262e-05,220.20206477977015,221.36671910202188,0.24345897052218657,1.164654322251721,0.001915549872124541,0.8963390643578548,neutral,simulated_neutral_ldl_replicate_seed_30260517,beta_p_post,beta_p_post
506,398402.0,7.458995057696262e-05,115.40587644512702,115.40817724356286,7.943282347242691e-06,0.002300798435840079,4.547032481897389e-06,0.024147003606302807,neutral,simulated_neutral_ldl_replicate_seed_30260518,causal,beta_true_smiles
571,398402.0,7.458995057696262e-05,200.1862743862129,210.8778741298054,0.3242929444848149,10.69159974359252,0.018724342808393205,5.424752061737364,neutral,simulated_neutral_ldl_replicate_seed_30260518,beta_p,beta_p
571,398402.0,7.458995057696262e-05,108.17095211405838,108.18555072490224,0.010705078190410281,0.014598610843862048,2.5566744034784672e-05,0.06332319818218625,neutral,simulated_neutral_ldl_replicate_seed_30260518,beta_p_wc,beta_p_wc
571,398402.0,7.458995057696262e-05,177.19211848158392,177.35728023022554,0.052802714564813204,0.1651617486416228,0.0002892499976210557,0.24759145752421216,neutral,simulated_neutral_ldl_replicate_seed_30260518,beta_p_post,beta_p_post
504,398402.0,7.458995057696262e-05,120.85114260375225,120.85227155834724,7.943282347242691e-06,0.0011289545949892954,2.2399892757724114e-06,0.016779418166173756,neutral,simulated_neutral_ldl_replicate_seed_30260519,causal,beta_true_smiles
554,398402.0,7.458995057696262e-05,198.40336011219114,203.35805103004037,0.19299536319388413,4.954690917849234,0.008943485411280205,2.783996911463487,neutral,simulated_neutral_ldl_replicate_seed_30260519,beta_p,beta_p
554,398402.0,7.458995057696262e-05,100.60311888630844,100.60472601169596,9.611972065972797e-05,0.0016071253875225011,2.9009483529287023e-06,0.020092745639070358,neutral,simulated_neutral_ldl_replicate_seed_30260519,beta_p_wc,beta_p_wc
554,398402.0,7.458995057696262e-05,167.47516483674215,167.47469968970452,7.943282347242691e-06,-0.00046514703763023135,-8.396155913903093e-07,-0.0,neutral,simulated_neutral_ldl_replicate_seed_30260519,beta_p_post,beta_p_post
552,398402.0,7.458995057696262e-05,188.5207491590993,188.5217026349223,7.943282347242691e-06,0.0009534758229960971,1.7273112735436542e-06,0.015396850122813869,neutral,simulated_neutral_ldl_replicate_seed_30260520,causal,beta_true_smiles
616,398402.0,7.458995057696262e-05,269.59836202267826,285.8959949747419,0.7212826219564937,16.297632952063623,0.026457196350752634,7.945039149821477,neutral,simulated_neutral_ldl_replicate_seed_30260520,beta_p,beta_p
616,398402.0,7.458995057696262e-05,131.25692890447797,131.258885653256,0.0001952652671786797,0.0019567487780136616,3.176540224048152e-06,0.02222222008955474,neutral,simulated_neutral_ldl_replicate_seed_30260520,beta_p_wc,beta_p_wc
616,398402.0,7.458995057696262e-05,224.18012805781564,224.83096351926812,0.2214189789585196,0.6508354614524876,0.001056551073786506,0.595323212120072,neutral,simulated_neutral_ldl_replicate_seed_30260520,beta_p_post,beta_p_post
452,398402.0,7.458995057696262e-05,194.1544442427614,194.15610513231437,7.955795179245895e-05,0.0016608895529657275,3.6745344092162114e-06,0.020433658623105984,neutral,simulated_neutral_ldl_replicate_seed_30260521,causal,beta_true_smiles
598,398402.0,7.458995057696262e-05,291.81341393030436,301.6432044431973,0.6983014900524913,9.829790512892941,0.016437776777412944,5.03367919281932,neutral,simulated_neutral_ldl_replicate_seed_30260521,beta_p,beta_p
598,398402.0,7.458995057696262e-05,139.77881539120355,139.78107361899214,0.00014189043658594612,0.002258227788587419,3.776300649811738e-06,0.023916623402927984,neutral,simulated_neutral_ldl_replicate_seed_30260521,beta_p_wc,beta_p_wc
598,398402.0,7.458995057696262e-05,223.4663416068307,223.46653681068605,0.00011657396345191913,0.00019520385535543028,3.2642785176493357e-07,0.006900827205031197,neutral,simulated_neutral_ldl_replicate_seed_30260521,beta_p_post,beta_p_post
472,398402.0,7.458995057696262e-05,180.45442509315677,180.45557672847173,8.250949067393011e-05,0.0011516353149545466,2.439905328293531e-06,0.016950314453266467,neutral,simulated_neutral_ldl_replicate_seed_30260522,causal,beta_true_smiles
621,398402.0,7.458995057696262e-05,313.39964802184636,345.4119246518656,1.3115155298432923,32.012276630019244,0.051549559790691216,14.910525099828357,neutral,simulated_neutral_ldl_replicate_seed_30260522,beta_p,beta_p
621,398402.0,7.458995057696262e-05,137.51022015226485,137.9396332497055,0.19966087440379848,0.4294130974406585,0.0006914864693086288,0.45091408124129684,neutral,simulated_neutral_ldl_replicate_seed_30260522,beta_p_wc,beta_p_wc
621,398402.0,7.458995057696262e-05,217.77774327612244,218.82106071479063,0.3713013792707835,1.043317438668197,0.001680060287710462,0.8280014597077948,neutral,simulated_neutral_ldl_replicate_seed_30260522,beta_p_post,beta_p_post
548,398402.0,7.458995057696262e-05,172.14104999807466,172.14263084305875,7.943282347242691e-06,0.0015808449840903904,2.884753620602902e-06,0.0199241217383476,neutral,simulated_neutral_ldl_replicate_seed_30260523,causal,beta_true_smiles
649,398402.0,7.458995057696262e-05,270.75463983782316,284.32187007124116,0.5702360733816382,13.567230233418002,0.02090482316397227,6.721739080839489,neutral,simulated_neutral_ldl_replicate_seed_30260523,beta_p,beta_p
649,398402.0,7.458995057696262e-05,156.45749620857217,156.63647321775517,0.05670394586471765,0.17897700918300075,0.0002757735118382138,0.2599179374106091,neutral,simulated_neutral_ldl_replicate_seed_30260523,beta_p_wc,beta_p_wc
